Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
05125010517,3105,3079,0,7,0,0,0,70.2,72973,0,738,51,561,325,22,96,193,1589,1505,84,112,37,1475,34,43,1528,1491,1114,53,36,36,84,84,161,147,88,76,3042,0,0,63,0,0,0,2860,3049,1589,79,0,15.56,6,4,Aristotle Unified Communications -- Connect2First -- Optimum -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010518,3776,2564,69,38,539,0,682,40.3,100156,0,742,24,559,187,33,250,50,1212,951,261,529,0,1156,18,38,1156,1156,919,0,18,18,55,55,19,19,156,138,3386,19,0,173,198,18,139,2442,3544,1212,75,0,2306.65,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010519,5324,3933,1066,11,98,0,263,36.7,86985,27,637,80,1097,327,67,194,256,1961,1621,340,849,0,1843,4,114,1843,1843,1592,118,97,79,153,104,120,120,146,125,5082,0,19,105,118,76,0,3558,4962,1961,138,0,1452.65,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010520,1811,1175,380,0,0,0,615,36.8,65246,0,307,19,309,47,0,46,406,684,480,204,349,0,623,53,8,623,623,460,46,0,0,67,59,79,79,166,166,1438,27,24,66,256,174,0,1170,1720,684,54,0,1455.34,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010601,3352,2551,563,5,0,0,110,35.0,46975,71,759,233,225,58,0,123,746,1556,590,966,456,0,1147,298,111,1167,1167,954,343,77,20,362,138,146,120,323,276,3302,10,17,0,23,33,0,2232,3193,1556,208,0,922.99,6,5,Xfinity -- Aristotle Unified Communications -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05125010602,2270,1948,201,0,0,0,31,36.9,52841,0,434,246,119,5,7,213,306,899,537,362,261,0,822,40,37,836,836,519,63,144,133,96,96,89,81,119,119,2223,0,0,31,16,15,0,1501,2182,899,162,0,114.98,7,5,Xfinity -- Aristotle Unified Communications -- Connect2First -- Cable America -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
05127950100,3921,3490,0,46,0,0,16,47.4,46182,33,1083,212,200,39,0,204,304,1579,1384,195,414,0,1144,213,222,1163,1163,691,365,73,33,160,63,437,299,219,158,3914,0,7,0,0,0,0,2877,3713,1579,300,1,8.65,0,0,0,0,0,0,0
05127950200,3932,3170,0,0,0,5,738,37.7,41905,79,740,325,206,65,0,240,640,1452,865,587,403,0,1067,169,216,1083,1083,816,320,93,66,223,93,238,129,324,295,3684,0,0,193,55,193,5,2569,3730,1452,265,1,236.69,2,0,Optimum -- Brightspeed,0,0,1,0
05127950300,2018,1766,119,4,63,0,66,45.3,46500,39,384,136,232,51,22,90,199,870,648,222,248,0,583,175,112,611,611,317,207,18,7,145,96,160,129,151,60,1932,0,16,23,47,0,40,1463,1929,870,110,1,4.95,0,0,0,0,0,0,0
05129970100,2335,2233,0,12,0,0,0,44.5,49167,0,463,192,228,46,0,69,479,868,702,166,237,0,657,75,136,657,657,334,206,18,9,116,25,91,51,213,161,2335,0,0,0,0,0,0,1656,2295,868,110,1,6.7,7,2,Reynolds Media -- Ritter Communications Inc. -- T-Mobile US -- Verizon -- TCW -- Yelcot Video Group Inc -- Windstream Buffalo Valley Inc.,0,0,1,1
05129970200,3492,2935,33,23,0,0,91,46.1,31791,151,793,169,215,91,10,334,695,1298,879,419,288,24,915,140,219,981,957,567,295,98,59,298,155,293,213,128,122,3455,0,8,0,29,26,0,2584,3276,1298,202,1,23.71,5,2,Ritter Communications Inc. -- T-Mobile US -- Verizon -- TCW -- Windstream Buffalo Valley Inc.,0,0,1,1
05129970300,2053,1786,0,182,21,0,148,51.8,45948,14,480,147,194,21,32,98,379,782,580,202,143,0,485,136,161,508,508,251,235,36,20,141,68,133,90,127,105,2021,0,11,18,3,0,18,1494,1932,782,148,1,10.53,5,2,T-Mobile US -- ARTELCO -- Verizon -- TCW -- Windstream Buffalo Valley Inc.,0,0,1,1
05131000100,6691,1932,1197,69,1107,0,2535,30.2,34063,8,1059,314,190,66,0,1624,1229,2175,949,1226,988,0,1464,553,158,1464,1464,1226,681,226,101,460,305,418,265,415,242,4621,0,304,519,1247,736,586,3713,5997,2175,927,0,2323.33,7,5,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000200,5360,1885,588,130,443,0,2187,33.9,40846,74,1022,282,122,45,0,536,902,1910,894,1016,806,0,1501,291,118,1517,1517,1306,368,138,132,257,236,347,230,405,300,3969,0,6,607,778,835,176,3300,5128,1910,824,0,894.83,6,4,360 Communications INC -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Dobson Fiber -- AT&T Inc,0,0,1,1
05131000300,2508,946,270,24,72,0,1091,37.0,42885,38,492,121,142,97,17,213,345,942,438,504,330,0,770,158,14,770,770,606,172,54,27,98,61,254,162,161,145,1852,2,0,284,370,514,40,1709,2421,942,421,0,939.46,8,5,360 Communications INC -- TPx Communications -- Ritter Communications Inc. -- T-Mobile US -- Cox Communications -- Verizon -- Dobson Fiber -- AT&T Inc,0,0,1,1
