Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
49053271502,3570,3046,0,0,367,125,52,47.2,91121,15,389,29,674,265,57,8,83,1356,982,374,348,13,1154,120,69,1167,1154,793,151,0,0,103,73,86,56,302,214,3208,0,9,59,294,0,328,2541,3479,1356,86,0,552.23,7,4,FIF St. George LLC -- Xfinity -- Utah Telecommunication Open Infrastructure Agency -- TDS Telecom -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271600,6958,6624,0,0,90,0,328,64.1,77862,0,1110,55,1292,532,208,173,148,3153,2889,264,381,0,2931,85,137,2960,2960,2435,103,73,73,117,85,368,337,543,474,6648,0,44,203,63,90,0,5878,6782,3153,144,0,1184.18,6,3,FIF St. George LLC -- Utah Telecommunication Open Infrastructure Agency -- TDS Telecom -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271702,15651,12650,349,6,166,524,1478,27.3,101273,0,1234,131,1944,729,196,196,567,4135,3446,689,2554,0,3927,158,50,3930,3930,3390,162,15,4,75,75,234,234,418,373,14746,0,112,476,317,72,9,8021,13783,4135,194,0,490.12,6,4,FIF St. George LLC -- TDS Telecom -- T-Mobile US -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271703,6240,5636,22,77,112,0,481,43.3,118906,0,391,16,1274,485,131,220,238,2152,1913,239,692,0,2060,35,57,2060,2060,1749,57,120,120,85,85,193,136,161,161,5928,0,121,164,27,53,33,4219,6036,2152,105,0,1476.97,5,3,FIF St. George LLC -- TDS Telecom -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271704,3740,3438,0,42,0,22,423,42.4,88015,0,604,47,420,423,66,80,0,1254,1077,177,493,0,1086,51,117,1086,1086,886,152,19,19,0,0,102,26,100,100,3610,0,29,81,20,32,0,2538,3356,1254,50,0,1928.57,4,2,FIF St. George LLC -- TDS Telecom -- Kayenta Technologies -- CenturyLink,0,0,1,1
49053271800,3635,3509,0,23,0,0,277,40.3,64491,0,411,130,437,241,34,31,295,1447,967,480,362,0,1198,185,64,1198,1198,957,221,27,19,135,103,268,172,136,118,3422,29,19,108,57,48,0,2432,3354,1447,68,0,2018.28,7,4,FIF St. George LLC -- Utah Telecommunication Open Infrastructure Agency -- TDS Telecom -- T-Mobile US -- Verizon -- Kayenta Technologies -- CenturyLink,0,0,1,1
49055979100,2532,2497,0,0,0,0,46,43.0,64870,0,392,22,269,87,9,50,162,1051,821,230,384,0,937,88,26,937,937,692,109,15,12,74,53,133,117,189,142,2426,0,5,14,87,14,0,1753,2378,1051,61,1,2.32,4,1,EXSTREAM -- SC BROADBAND -- Beehive Broadband -- Verizon,0,0,1,1
49057200100,4428,3474,13,46,186,16,890,31.8,67857,0,638,194,496,85,35,221,310,1554,1206,348,527,18,1450,0,86,1480,1462,1217,74,52,52,102,63,135,117,197,162,4156,0,35,205,32,52,61,3052,4156,1554,167,0,4316.1,7,4,Xfinity -- Verizon -- T-Mobile US -- Utah Broadband -- Optic Loop -- Rise Broadband -- CenturyLink,0,0,1,1
49057200202,3791,3232,89,16,12,0,1248,34.3,58373,90,744,95,308,88,0,151,129,1660,607,1053,368,0,1544,59,57,1581,1581,1015,71,85,78,173,153,325,320,110,110,3300,14,109,266,102,310,0,2505,3626,1660,166,0,4735.89,9,4,Xfinity -- Verizon -- Utah Telecommunication Open Infrastructure Agency -- Allstream Business US LLC -- T-Mobile US -- Utah Broadband -- Optic Loop -- Rise Broadband -- CenturyLink,0,0,1,1
49057200203,5405,3988,57,23,181,0,1929,28.7,72652,0,1178,203,455,134,32,52,145,1869,1517,352,802,0,1740,79,50,1751,1751,1507,68,8,8,126,72,132,99,319,319,4406,0,128,339,532,666,55,3191,4870,1869,186,0,6667.29,7,4,Xfinity -- Verizon -- T-Mobile US -- Utah Broadband -- Optic Loop -- Rise Broadband -- CenturyLink,0,0,1,1
