Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
32003003102,5323,1775,662,49,226,309,2662,31.9,41610,63,1339,183,326,31,17,367,627,1895,785,1110,506,0,1704,139,52,1715,1715,1409,118,99,99,67,67,468,427,540,445,3779,47,135,459,903,541,175,3417,4990,1895,735,0,10085.83,9,4,TPx Communications -- LV.Net -- Stimulus Technologies of Missouri -- Allstream Business US LLC -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003103,3865,1629,279,7,68,42,2130,33.6,69554,14,925,86,228,147,7,213,213,1156,590,566,467,0,972,139,45,978,978,749,148,63,60,33,6,163,157,140,140,2596,51,29,550,639,866,42,2557,3633,1156,382,0,12573.02,8,5,WeLink Communications Inc -- LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003104,4258,1526,1076,0,217,77,2060,32.3,48358,7,623,50,351,49,20,443,655,1636,297,1339,459,0,1358,89,189,1375,1375,1004,230,183,149,71,54,270,201,338,245,3199,4,9,283,763,761,106,2671,3853,1636,631,0,13075.89,6,3,LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003204,6543,4650,563,0,363,0,643,52.6,112163,0,850,78,1083,802,146,174,15,2821,2232,589,544,14,2511,249,47,2541,2527,2265,31,115,115,14,14,255,222,330,330,6045,15,29,213,241,18,33,5047,6336,2821,308,0,3003.2,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003208,3180,2071,70,7,408,0,525,43.3,123854,0,235,74,541,212,96,66,38,1049,998,51,406,0,935,114,0,935,935,833,90,18,18,10,10,123,97,23,23,2850,24,43,171,92,10,94,2222,3042,1049,167,0,3210.62,6,3,LV.Net -- Stimulus Technologies of Missouri -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003210,2329,2135,51,34,69,0,44,75.4,64018,8,457,61,473,202,51,71,48,1399,1219,180,0,8,1244,75,72,1252,1244,1072,125,68,40,65,30,189,163,230,230,2008,0,9,293,19,0,26,2320,2329,1399,131,0,2952.41,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003211,2918,2453,68,8,192,27,117,73.8,53517,0,480,49,623,417,138,167,71,1958,1679,279,17,0,1607,168,183,1633,1633,1228,260,166,78,84,49,472,392,198,183,2485,0,33,347,53,14,57,2900,2918,1958,168,0,3017.3,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003213,1623,1449,48,0,108,0,66,72.7,74565,0,417,32,361,178,46,101,28,1050,908,142,0,0,886,48,116,908,908,751,102,90,81,83,36,106,96,87,87,1409,9,0,176,29,19,34,1623,1623,1050,108,0,2286.77,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003214,1833,1392,150,8,114,0,70,72.4,69737,9,316,28,349,187,34,31,39,982,787,195,0,0,857,69,56,860,860,740,53,23,19,41,35,223,198,106,106,1574,0,16,183,60,14,93,1822,1833,982,87,0,2504.36,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003215,4347,2688,483,0,350,86,936,37.4,84443,0,500,94,679,239,39,51,54,1747,1142,605,414,0,1630,91,26,1630,1630,1443,46,17,17,50,38,150,150,165,164,3441,12,64,586,244,113,185,3075,4194,1747,345,0,7858.32,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003218,5376,3518,306,46,1038,58,663,48.3,108289,14,390,72,1110,482,205,336,163,2070,1666,404,564,0,1863,48,159,1874,1874,1769,154,83,83,108,97,207,70,143,143,4273,0,28,740,335,92,283,3945,5107,2070,178,0,3375.02,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003219,6951,3872,407,0,787,0,1824,46.5,77789,0,1234,55,1184,593,135,149,175,2714,1570,1144,518,51,2288,178,197,2339,2288,1848,234,63,0,195,59,186,66,296,286,4868,0,137,1175,771,114,432,5074,6691,2714,571,0,7494.65,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003220,6818,2874,715,37,467,23,3429,39.8,53954,123,1378,155,807,133,12,380,321,2773,1162,1611,793,0,2083,484,206,2083,2083,1759,269,238,161,107,55,450,319,513,442,4703,8,59,909,1139,1030,207,4718,6704,2773,590,0,5568.57,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003222,4666,2989,537,0,307,17,798,47.0,85036,0,672,43,878,395,86,308,91,2045,1273,772,513,22,1928,37,58,1950,1928,1827,83,142,134,36,28,157,135,91,82,3750,0,139,447,330,96,207,3417,4425,2045,228,0,5563.82,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
32003003223,3360,2377,18,6,805,0,124,54.5,136432,0,220,12,1022,237,372,203,12,1475,1066,409,354,0,1465,10,0,1465,1465,1287,0,91,91,20,20,164,164,40,40,2722,0,17,435,186,28,87,2638,3318,1475,165,0,1958.61,7,4,LV.Net -- Stimulus Technologies of Missouri -- T-Mobile US -- Cox Communications -- Verizon -- GeoLinks -- CenturyLink,0,0,1,1
