Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
35001000118,2750,1951,68,0,63,0,1032,34.2,70129,0,306,59,369,319,52,79,77,1099,614,485,443,0,909,145,45,921,921,797,140,64,37,22,11,210,183,179,173,2532,0,14,59,145,48,11,1688,2511,1099,180,0,4803.49,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000119,1829,1175,269,5,7,0,667,46.3,118500,0,161,2,310,312,55,59,15,708,537,171,216,5,663,0,40,674,663,625,34,27,15,17,17,48,37,60,55,1751,0,47,31,0,0,7,1420,1788,708,114,0,3985.13,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000120,2757,1677,100,358,109,0,981,34.5,37391,53,344,44,374,172,40,885,187,1052,613,439,305,0,861,114,77,861,861,656,137,126,63,94,64,284,198,85,85,2432,0,51,79,195,47,0,1858,2614,1052,94,0,5859.11,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000121,5217,3289,193,197,28,0,2102,38.3,43321,0,451,131,603,376,20,352,416,2410,1132,1278,421,18,2107,115,170,2138,2120,1684,254,278,216,255,209,381,329,459,383,4877,23,59,208,50,57,93,3648,5059,2410,453,0,5369.78,6,4,Xfinity -- UPN -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000122,4765,3309,25,171,81,0,2545,37.2,61307,0,410,109,547,386,14,583,95,1963,1157,806,492,10,1815,74,64,1825,1815,1668,138,32,22,78,78,226,184,382,368,4509,0,45,147,64,58,24,3227,4383,1963,302,0,4949.09,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000123,4781,3388,213,2,121,0,1846,38.6,69276,0,797,93,812,362,16,31,168,2003,1590,413,560,26,1791,81,105,1817,1791,1675,186,0,0,171,133,241,161,176,109,4491,0,5,180,105,136,74,3456,4382,2003,334,0,4586.18,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000124,3913,2496,247,148,9,0,2011,49.2,29564,0,676,90,582,190,73,328,608,2369,625,1744,186,0,1695,195,479,1701,1701,1182,613,288,165,744,261,245,209,186,186,3663,0,9,87,154,415,0,3297,3847,2369,328,0,6197.72,6,4,Xfinity -- UPN -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000125,4192,3415,27,50,382,0,908,42.6,116524,0,342,60,1085,504,167,78,55,1694,1545,149,340,0,1672,13,9,1681,1681,1459,13,39,39,37,37,74,65,108,108,3598,0,142,452,0,25,139,3279,4054,1694,286,0,4232.83,6,4,Xfinity -- UPN -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000126,2299,1559,9,17,58,0,832,41.1,60938,18,313,14,365,156,49,150,108,1167,656,511,187,9,994,145,19,1003,994,872,135,88,48,84,59,126,108,70,70,2156,60,27,54,2,23,26,1505,2204,1167,220,0,4404.85,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000127,2482,1861,0,120,18,0,847,45.7,77188,0,497,103,391,121,17,108,181,1110,921,189,262,16,1009,70,15,1025,1009,843,73,59,59,85,70,42,42,184,143,2436,0,0,46,0,2,48,1802,2420,1110,184,0,5161.17,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000128,3948,2300,43,437,28,0,2054,33.3,59209,35,548,116,353,116,45,183,269,1368,928,440,505,9,1219,67,73,1230,1221,914,108,107,69,39,18,137,101,204,204,3703,0,44,82,119,50,18,2658,3754,1368,204,0,6609.53,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000129,4774,2326,148,1034,180,0,2063,37.6,37313,0,645,338,439,145,203,450,511,2319,679,1640,672,0,2149,47,123,2161,2161,1800,158,119,119,335,315,687,667,143,143,4172,45,35,178,344,258,67,3514,4532,2319,376,0,8857.94,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
35001000203,2032,1133,217,131,33,0,619,32.1,39628,10,197,80,253,292,27,92,339,965,343,622,175,3,881,24,57,884,881,719,73,56,56,145,141,243,201,93,90,1949,0,17,20,46,10,5,1421,1981,965,155,0,4221.78,5,4,Xfinity -- NMSurf -- T-Mobile US -- Verizon -- CenturyLink,0,0,1,1
