Tract,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,High Cost,Tribal,ISP Desert,ACP Desert
29189215231,4522,3400,345,0,152,0,162,39.2,124756,0,286,20,1355,479,145,100,139,1686,1263,423,612,0,1623,33,30,1623,1623,1471,53,24,24,67,67,183,154,102,102,4305,0,14,86,117,8,26,3055,4136,1686,56,0,2555.0,7,4,Brown Dog Networks -- Charter Communications Inc -- Optimum -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189215233,5302,4158,314,0,488,22,123,41.1,116402,0,355,30,1452,848,342,67,34,2236,1671,565,659,0,2094,46,96,2094,2094,1918,112,0,0,60,33,180,145,151,135,4659,26,46,428,143,34,169,3984,4957,2236,75,0,2130.18,7,4,Brown Dog Networks -- Charter Communications Inc -- Cable America -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189215234,1455,1361,61,6,24,0,13,43.5,198750,0,43,15,272,181,121,0,16,478,478,0,108,0,435,25,18,435,435,418,43,0,0,16,16,10,10,0,0,1354,0,0,91,10,0,20,863,1414,478,15,0,723.3,5,4,Brown Dog Networks -- Charter Communications Inc -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189215235,5148,3842,112,0,962,0,137,52.2,138667,5,253,13,1086,645,681,171,0,2012,1785,227,749,0,1878,39,95,1878,1878,1700,117,31,14,31,31,91,76,174,127,3627,0,66,1066,389,35,211,3900,4999,2012,55,0,3485.56,8,4,Brown Dog Networks -- Charter Communications Inc -- Allstream Business US LLC -- Fusion -- T-Mobile US -- Everstream -- Verizon -- AT&T Inc,0,0,1,1
29189215236,3235,2915,37,0,237,0,28,53.1,127000,0,360,16,756,703,115,0,13,1196,1115,81,362,0,1125,13,58,1133,1133,1057,63,0,0,0,0,33,6,91,79,2651,0,11,267,306,17,218,2433,3120,1196,41,0,2266.11,8,4,Brown Dog Networks -- Charter Communications Inc -- TPx Communications -- Optimum -- T-Mobile US -- Everstream -- Verizon -- AT&T Inc,0,0,1,1
29189215301,4005,3141,241,0,536,0,14,49.7,116705,23,201,20,820,664,413,84,197,1777,1390,387,420,0,1701,58,18,1701,1701,1499,33,79,79,86,71,99,88,145,137,3398,0,10,316,281,0,123,2983,3846,1777,71,0,1624.09,8,4,Brown Dog Networks -- Charter Communications Inc -- Fusion -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215302,3115,2600,20,0,391,0,104,51.1,189808,0,64,3,767,506,227,20,59,1156,1125,31,344,0,1131,7,18,1131,1131,1071,25,37,37,17,17,101,101,25,25,2670,6,12,314,113,6,109,2214,3023,1156,25,0,1018.82,6,4,Brown Dog Networks -- Charter Communications Inc -- T-Mobile US -- Everstream -- Verizon -- AT&T Inc,0,0,1,1
29189215400,5688,4951,68,0,318,0,71,49.4,250001,0,172,3,1334,1425,598,25,0,2200,2077,123,795,0,2130,42,28,2130,2130,2037,39,14,14,0,0,40,40,87,87,5046,0,262,164,216,51,66,4085,5290,2200,71,0,1343.14,6,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Verizon -- AT&T Inc,0,0,1,1
29189215500,4986,3289,234,15,1255,0,46,45.4,141150,0,135,39,1071,948,475,68,83,1861,1792,69,809,0,1813,0,48,1813,1813,1712,48,47,16,53,53,133,133,53,53,4072,0,98,466,350,21,425,3361,4629,1861,272,0,2506.53,7,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
29189215600,4776,1626,2302,1,550,0,113,38.2,78231,15,584,34,785,418,46,209,265,1933,760,1173,691,0,1738,88,107,1752,1752,1521,128,110,96,140,118,177,159,171,111,3924,0,55,400,397,8,264,3186,4616,1933,319,0,1649.45,7,4,Brown Dog Networks -- Charter Communications Inc -- Everstream -- T-Mobile US -- Bluebird Network LLC -- Verizon -- AT&T Inc,0,0,1,1
