Data Month,metdiv23,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2022-05-01,12054,419,0,3296,6767,10482,22992,17,116349,51073,190431
2022-06-01,12054,327,-1,-1242,6780,5864,23319,16,115107,57853,196295
2022-07-01,12054,571,-6,-2747,6060,3878,23890,10,112360,63913,200173
2022-08-01,12054,302,0,-2172,5214,3344,24192,10,110188,69127,203517
2022-09-01,12054,598,0,806,5050,6454,24790,10,110994,74177,209971
2022-10-01,12054,356,-1,1388,4865,6608,25146,9,112382,79042,216579
2022-11-01,12054,216,0,-891,4253,3578,25362,9,111491,83295,220157
2022-12-01,12054,-3406,0,-3509,7593,678,21956,9,107982,90888,220835
2023-01-01,12054,359,-1,1664,5159,7181,22315,8,109646,96047,228016
2023-02-01,12054,853,0,432,5154,6439,23168,8,110078,101201,234455
2023-03-01,12054,786,-1,-1907,8343,7221,23954,7,108171,109544,241676
2023-04-01,12054,733,0,-2360,8472,6845,24687,7,105811,118016,248521
2023-05-01,12054,838,0,-2016,7145,5967,25525,7,103794,125161,254487
2023-06-01,12054,993,1,-2205,7823,6612,26518,8,101603,132994,261123
2023-07-01,12054,706,0,-1786,8035,6955,27224,8,99804,141022,268058
2023-08-01,12054,709,0,-1868,9271,8112,27933,8,97936,150293,276170
2023-09-23,12054,-387,-1,-3169,-403,-3960,27546,7,94767,149890,272210
2023-10-01,12054,344,-1,-1630,6081,4794,27890,6,93153,155990,277039
2023-11-01,12054,153,0,-2772,9874,7255,28043,6,90366,165841,284256
2023-12-01,12054,36,0,-7067,11012,3981,28079,6,83299,176853,288237
2022-01-01,14454,839,1,1437,1685,3962,5695,17,18937,12720,37369
2022-02-01,14454,397,-1,1301,2036,3733,6092,16,20238,14756,41102
2022-03-01,14454,357,0,2068,3014,5439,6449,16,22306,17770,46541
2022-04-01,14454,-186,-1,1016,3206,4035,6263,15,23322,20976,50576
2022-05-01,14454,-146,-1,293,3500,3646,6117,14,23615,24476,54222
2022-06-01,14454,-158,-1,-611,3773,3003,5959,13,23004,28249,57225
2022-07-01,14454,-111,-6,-571,2670,1982,5848,7,22433,30919,59207
2022-08-01,14454,-141,0,-1485,2067,441,5707,7,20948,32986,59648
2022-09-01,14454,-54,0,16,2980,2942,5653,7,20964,35966,62590
2022-10-01,14454,-99,0,58,1867,1826,5554,7,21022,37833,64416
2022-11-01,14454,-118,0,-998,1882,766,5436,7,20024,39715,65182
2022-12-01,14454,-2294,0,-425,2833,114,3142,7,19599,42548,65296
2023-01-01,14454,-35,0,-68,2525,2422,3107,7,19531,45072,67717
2023-02-01,14454,-67,0,260,2366,2559,3040,7,19791,47439,70277
2023-03-01,14454,-39,0,-47,3175,3089,3001,7,19744,50614,73366
2023-04-01,14454,-76,0,-294,4260,3890,2925,7,19450,54874,77256
2023-05-01,14454,3,0,661,3953,4617,2928,7,20111,58827,81873
2023-06-01,14454,-13,0,1289,3244,4520,2915,7,21400,62072,86394
2023-07-01,14454,19,0,699,2783,3501,2934,7,22099,64852,89892
2023-08-01,14454,51,0,1306,3161,4518,2985,7,23405,68013,94410
2023-09-23,14454,-815,0,290,-300,-825,2170,7,23695,67713,93585
2023-10-01,14454,-33,0,454,3527,3948,2137,7,24150,71242,97536
2023-11-01,14454,26,0,-2228,3438,1236,2163,7,21921,74678,98769
2023-12-01,14454,24,-1,-2136,3414,1301,2187,6,19785,78092,100070
2022-01-01,15764,697,-1,1446,2162,4304,4554,13,13543,13160,31270
2022-02-01,15764,357,0,1185,2226,3768,4911,13,14728,15386,35038
2022-03-01,15764,269,0,1686,2311,4266,5180,13,16414,17697,39304
2022-04-01,15764,-130,0,939,1996,2805,5050,13,17353,19693,42109
2022-05-01,15764,-109,-1,81,2027,1998,4941,12,17434,21720,44107
2022-06-01,15764,-62,-1,35,2085,2057,4879,11,17469,23805,46164
2022-07-01,15764,-60,-5,-283,2074,1726,4819,6,17186,25879,47890
2022-08-01,15764,-92,0,-756,2023,1175,4727,6,16430,27902,49065
2022-09-01,15764,-49,-1,172,2002,2124,4678,5,16602,29904,51189
2022-10-01,15764,-43,0,-179,1925,1703,4635,5,16423,31829,52892
2022-11-01,15764,-87,0,-615,1626,924,4548,5,15808,33455,53816
2022-12-01,15764,-1707,0,44,2345,682,2841,5,15852,35800,54498
2023-01-01,15764,-25,0,99,2385,2459,2816,5,15951,38185,56957
2023-02-01,15764,-18,0,-300,1963,1645,2798,5,15651,40148,58602
2023-03-01,15764,-26,0,-385,2504,2093,2772,5,15266,42652,60695
2023-04-01,15764,-50,0,-98,3431,3283,2722,5,15168,46083,63978
2023-05-01,15764,6,0,737,3602,4345,2728,5,15905,49685,68323
2023-06-01,15764,-38,0,1213,3243,4418,2690,5,17118,52928,72741
2023-07-01,15764,8,0,491,2377,2876,2698,5,17609,55305,75617
2023-08-01,15764,15,0,789,3038,3842,2713,5,18398,58343,79459
2023-09-23,15764,-798,0,93,634,-71,1915,5,18491,58977,79388
2023-10-01,15764,-48,0,106,2685,2743,1867,5,18597,61662,82131
2023-11-01,15764,18,0,-1391,2797,1424,1885,5,17206,64459,83555
2023-12-01,15764,-18,0,-1307,2873,1548,1867,5,15899,67332,85103
2022-01-01,15804,589,1,1060,855,2505,3885,4,10681,8268,22838
2022-02-01,15804,151,-2,896,1067,2112,4036,2,11577,9335,24950
2022-03-01,15804,35,0,1208,1244,2487,4071,2,12785,10579,27437
2022-04-01,15804,-152,0,-5,811,654,3919,2,12780,11390,28091
2022-05-01,15804,-138,0,445,1038,1345,3781,2,13225,12428,29436
2022-06-01,15804,-118,0,419,772,1073,3663,2,13644,13200,30509
2022-07-01,15804,-120,-1,114,1047,1040,3543,1,13758,14247,31549
2022-08-01,15804,-170,0,-12,946,764,3373,1,13746,15193,32313
2022-09-01,15804,-122,0,314,1049,1241,3251,1,14060,16242,33554
2022-10-01,15804,-111,0,235,1187,1311,3140,1,14295,17429,34865
2022-11-01,15804,-135,0,-424,565,6,3005,1,13871,17994,34871
2022-12-01,15804,-1785,0,86,1510,-189,1220,1,13957,19504,34682
2023-01-01,15804,-39,-1,240,1415,1615,1181,0,14197,20919,36297
2023-02-01,15804,-48,0,164,2352,2468,1133,0,14361,23271,38765
2023-03-01,15804,-46,0,-157,2208,2005,1087,0,14204,25479,40770
2023-04-01,15804,-40,0,-6,2004,1958,1047,0,14198,27483,42728
2023-05-01,15804,-38,0,-241,2339,2060,1009,0,13957,29822,44788
2023-06-01,15804,-26,0,23,2544,2541,984,0,13982,32373,47339
2023-07-01,15804,-33,0,129,1508,1604,950,0,14109,33872,48931
2023-08-01,15804,-33,0,261,1472,1700,917,0,14370,35344,50631
2023-09-23,15804,-621,0,-249,478,-392,296,0,14121,35822,50239
2023-10-01,15804,-31,0,-170,1661,1460,266,0,13953,37500,51719
2023-11-01,15804,-4,0,-813,2344,1527,262,0,13138,39822,53222
2023-12-01,15804,-7,0,-492,3339,2840,255,0,12646,43161,56062
2022-01-01,16984,3432,-1,5165,5815,14411,23136,40,77811,69049,170036
2022-02-01,16984,1373,4,5691,3166,10234,24509,44,83502,72215,180270
2022-03-01,16984,373,-1,8494,6882,15748,24882,43,91995,79097,196017
2022-04-01,16984,-1094,-1,6503,5692,11100,23788,42,98499,84789,207118
2022-05-01,16984,-1048,-2,4828,4467,8245,22740,40,103327,89256,215363
2022-06-01,16984,-862,-2,3353,4796,7285,21878,38,106680,94052,222648
2022-07-01,16984,-893,-9,3544,7662,10304,20985,29,110224,101714,232952
2022-08-01,16984,-1366,-1,-852,9841,7622,19619,28,109372,111555,240574
2022-09-01,16984,-740,-2,-445,9939,8752,18879,26,108927,121494,249326
2022-10-01,16984,-648,-1,-2277,8706,5780,18231,25,106650,130200,255106
2022-11-01,16984,-698,-1,-1737,6910,4474,17533,24,104913,137110,259580
2022-12-01,16984,-9535,-1,-1910,8721,-2725,7998,23,103003,145831,256855
2023-01-01,16984,-151,0,108,8244,8201,7847,23,103111,154075,265056
2023-02-01,16984,-287,-1,-1381,10119,8450,7560,22,101730,164194,273506
2023-03-01,16984,-253,-1,-1743,11965,9968,7307,21,99987,176159,283474
2023-04-01,16984,-168,0,82,13098,13012,7139,21,100069,189257,296486
2023-05-01,16984,-231,0,2886,11722,14377,6908,21,102955,200979,310863
2023-06-01,16984,-186,0,4672,11528,16014,6729,21,107718,212779,327247
2023-07-01,16984,-131,0,3518,10046,13433,6591,21,111143,222534,340289
2023-08-01,16984,-146,0,5203,11273,16330,6445,21,116346,233807,356619
2023-09-23,16984,-3273,0,2208,3196,2131,3172,21,118554,237003,358750
2023-10-01,16984,-242,-2,1226,10010,10992,2931,19,119886,247327,370163
2023-11-01,16984,-32,-1,-7180,17060,9847,2898,18,112596,264057,379569
2023-12-01,16984,-40,0,-7560,16125,8525,2858,18,105036,280182,388094
2022-01-01,19124,3595,-1,-209,3180,6565,46618,45,26941,31850,105454
2022-02-01,19124,4730,1,1206,504,6441,51348,46,28147,32354,111895
2022-03-01,19124,6011,-1,2004,3633,11647,57359,45,30151,35987,123542
2022-04-01,19124,3245,-3,-1638,4293,5897,60604,42,28513,40280,129439
2022-05-01,19124,5724,-2,-855,3935,8802,66328,40,27658,44215,138241
2022-06-01,19124,4840,-2,-965,4474,8347,71168,38,26693,48689,146588
2022-07-01,19124,6030,-15,-1195,4331,9151,77198,23,25498,53020,155739
2022-08-01,19124,4414,-2,-1967,3481,5926,81612,21,23531,56501,161665
2022-09-01,19124,4558,-1,301,3250,8108,86170,20,23832,59751,169773
2022-10-01,19124,3209,-2,18,3287,6512,89379,18,23850,63038,176285
2022-11-01,19124,2546,0,-1974,1606,2178,91925,18,21876,64644,178463
2022-12-01,19124,3474,0,1066,2383,6923,95399,18,22942,67027,185386
2023-01-01,19124,1130,0,201,3465,4796,96529,18,23143,70492,190182
2023-02-01,19124,3603,-1,155,4600,8357,100132,17,23298,75092,198539
2023-03-01,19124,3560,0,78,6478,10116,103692,17,23376,81570,208655
2023-04-01,19124,3048,0,-2807,7608,7849,106740,17,20569,89178,216504
2023-05-01,19124,3141,0,667,5074,8882,109881,17,21236,94252,225386
2023-06-01,19124,4083,0,550,5815,10448,114384,17,21828,100656,236885
2023-07-01,19124,2348,0,157,5043,7548,116297,17,21948,105070,243332
2023-08-01,19124,2907,11,598,5558,9074,119204,28,22546,110628,252406
2023-09-23,19124,2851,0,-2616,7485,7720,122055,28,19930,118113,260126
2023-10-01,19124,1077,1,837,4814,6729,123614,29,20807,123645,268095
2023-11-01,19124,-465,0,-19,5893,5409,122665,29,20745,128767,272206
2023-12-01,19124,-697,-1,-1596,30,-2264,121968,28,19149,128797,269942
2022-01-01,19804,1540,1,1671,2642,5854,10639,3,70243,32924,113809
2022-02-01,19804,440,0,2731,3533,6704,11079,3,72974,36457,120513
2022-03-01,19804,138,0,5866,3090,9094,11217,3,78840,39547,129607
2022-04-01,19804,-606,0,1821,651,1866,10611,3,80661,40198,131473
2022-05-01,19804,-479,0,1518,1377,2416,10132,3,82179,41575,133889
2022-06-01,19804,-421,0,-1171,3389,1797,9711,3,81008,44964,135686
2022-07-01,19804,-382,0,1610,2761,3989,9329,3,82618,47725,139675
2022-08-01,19804,-608,-1,-1953,3578,1016,8721,2,80665,51303,140691
2022-09-01,19804,-343,0,3160,4552,7369,8378,2,83825,55855,148060
2022-10-01,19804,-329,0,2484,4757,6912,8049,2,86309,60612,154972
2022-11-01,19804,-293,0,1023,5805,6535,7756,2,87332,66417,161507
2022-12-01,19804,-3160,0,-2730,5209,-681,4596,2,84602,71626,160826
2023-01-01,19804,-44,0,2352,3953,6261,4552,2,86954,75579,167087
2023-02-01,19804,57,0,482,4202,4741,4609,2,87436,79781,171828
2023-03-01,19804,14,0,-128,6158,6044,4623,2,87308,85939,177872
2023-04-01,19804,3,0,908,6612,7523,4626,2,88216,92551,185395
2023-05-01,19804,-32,0,2464,5846,8278,4594,2,90680,98397,193673
2023-06-01,19804,24,1,1179,5666,6870,4618,3,91861,104063,200545
2023-07-01,19804,-42,0,2182,6827,8967,4576,3,94042,110890,209511
2023-08-01,19804,14,0,3915,8248,12177,4590,3,97957,119138,221688
2023-09-23,19804,-981,0,2231,8629,9879,3609,3,100188,127767,231567
2023-10-01,19804,-67,-1,778,12525,13235,3542,2,100967,140294,244805
2023-11-01,19804,4,0,-4739,8905,4170,3546,2,96227,149196,248971
2023-12-01,19804,-94,0,-4894,18759,13771,3452,2,91333,167955,262742
2022-01-01,20994,275,-1,273,599,1146,2049,3,4372,4961,11385
2022-02-01,20994,124,0,138,560,822,2173,3,4510,5521,12207
2022-03-01,20994,75,0,379,654,1108,2248,3,4889,6175,13315
2022-04-01,20994,-78,0,204,604,730,2170,3,5093,6779,14045
2022-05-01,20994,-46,0,40,492,486,2124,3,5133,7271,14531
2022-06-01,20994,-42,0,107,639,704,2082,3,5240,7910,15235
2022-07-01,20994,-28,-1,136,908,1015,2054,2,5376,8818,16250
2022-08-01,20994,-87,0,-22,821,712,1967,2,5354,9639,16962
2022-09-01,20994,-42,0,-41,918,835,1925,2,5313,10557,17797
2022-10-01,20994,-34,0,-67,719,618,1891,2,5246,11276,18415
2022-11-01,20994,-35,0,0,506,471,1856,2,5246,11782,18886
2022-12-01,20994,-870,0,68,690,-112,986,2,5314,12472,18774
2023-01-01,20994,-7,0,251,926,1170,979,2,5565,13398,19944
2023-02-01,20994,8,-1,36,717,760,987,1,5601,14116,20705
2023-03-01,20994,-1,0,-175,876,700,986,1,5426,14992,21405
2023-04-01,20994,8,0,-81,978,905,994,1,5345,15970,22310
2023-05-01,20994,-5,0,-37,895,853,989,1,5308,16865,23163
2023-06-01,20994,-4,0,96,962,1054,985,1,5404,17829,24219
2023-07-01,20994,-6,0,83,816,893,979,1,5487,18643,25110
2023-08-01,20994,5,0,186,829,1020,984,1,5673,19471,26129
2023-09-23,20994,-329,0,7,168,-154,655,1,5680,19639,25975
2023-10-01,20994,-22,0,-12,986,952,633,1,5668,20627,26929
2023-11-01,20994,-10,0,-228,988,750,623,1,5440,21613,27677
2023-12-01,20994,-20,0,-236,1150,894,603,1,5204,22763,28571
2022-01-01,21794,198,1,153,304,656,1875,11,6552,3825,12263
2022-02-01,21794,114,0,289,162,565,1989,11,6841,3987,12828
2022-03-01,21794,45,-1,392,407,843,2034,10,7233,4394,13671
2022-04-01,21794,-70,-1,-402,456,-17,1964,9,6831,4850,13654
2022-05-01,21794,-73,-1,64,691,681,1891,8,6895,5541,14335
2022-06-01,21794,-59,0,-86,642,497,1832,8,6809,6183,14832
2022-07-01,21794,-67,-1,-125,579,386,1765,7,6684,6762,15218
2022-08-01,21794,-95,0,-222,419,102,1670,7,6462,7181,15320
2022-09-01,21794,-65,0,-63,536,408,1605,7,6399,7717,15728
2022-10-01,21794,-47,0,29,603,585,1558,7,6428,8320,16313
2022-11-01,21794,-69,0,-2,840,769,1489,7,6426,9160,17082
2022-12-01,21794,-888,0,-30,642,-276,601,7,6396,9802,16806
2023-01-01,21794,-17,0,85,570,638,584,7,6481,10372,17444
2023-02-01,21794,-12,-1,88,469,544,572,6,6569,10841,17988
2023-03-01,21794,-25,0,70,784,829,547,6,6639,11625,18817
2023-04-01,21794,-20,0,100,744,824,527,6,6739,12369,19641
2023-05-01,21794,-10,-1,-131,799,657,517,5,6608,13168,20298
2023-06-01,21794,-14,0,-101,751,636,503,5,6507,13919,20934
2023-07-01,21794,-11,0,-82,577,484,492,5,6425,14496,21418
2023-08-01,21794,-25,0,-50,686,611,467,5,6375,15182,22029
2023-09-23,21794,-15,0,18,703,706,452,5,6393,15885,22735
2023-10-01,21794,-271,0,77,504,310,181,5,6470,16389,23045
2023-11-01,21794,-29,0,122,441,534,152,5,6592,16830,23579
2023-12-01,21794,1,0,-30,821,792,153,5,6562,17651,24371
2022-01-01,22744,593,0,969,2286,3848,4819,3,16305,18106,39233
2022-02-01,22744,216,1,590,1903,2710,5035,4,16895,20009,41943
2022-03-01,22744,53,-1,908,3780,4740,5088,3,17803,23789,46683
2022-04-01,22744,-225,0,205,3201,3181,4863,3,18008,26990,49864
2022-05-01,22744,-204,0,-444,2779,2131,4659,3,17564,29769,51995
2022-06-01,22744,-170,0,-1625,2567,772,4489,3,15939,32336,52767
2022-07-01,22744,-160,0,-512,2407,1735,4329,3,15427,34743,54502
2022-08-01,22744,-331,0,-1716,3928,1881,3998,3,13711,38671,56383
2022-09-01,22744,-167,0,245,2505,2583,3831,3,13956,41176,58966
2022-10-01,22744,-140,0,1090,3284,4234,3691,3,15046,44460,63200
2022-11-01,22744,-156,0,678,3062,3584,3535,3,15724,47522,66784
2022-12-01,22744,-177,0,1474,3275,4572,3358,3,17198,50797,71356
2023-01-01,22744,-215,0,-1121,-2090,-3426,3143,3,16077,48707,67930
2023-02-01,22744,-109,0,-137,1148,902,3034,3,15940,49855,68832
2023-03-01,22744,-1808,0,-820,1799,-829,1226,3,15120,51654,68003
2023-04-01,22744,-48,0,-269,2975,2658,1178,3,14851,54629,70661
2023-05-01,22744,-45,0,-31,3016,2940,1133,3,14820,57645,73601
2023-06-01,22744,-38,0,191,2878,3031,1095,3,15015,60528,76641
2023-07-01,22744,-42,0,582,2596,3136,1053,3,15593,63118,79767
2023-08-01,22744,-45,0,477,4528,4960,1008,3,16070,67646,84727
2023-09-23,22744,-36,0,29,3198,3191,972,3,16099,70844,87918
2023-10-01,22744,-66,-1,-503,3682,3112,906,2,15600,74531,91039
2023-11-01,22744,-30,0,-1210,4629,3389,876,2,14386,79154,94418
2023-12-01,22744,-21,0,-979,4701,3701,855,2,13407,83855,98119
2022-01-01,23104,2111,3,-265,1531,3380,23558,29,13687,16125,53399
2022-02-01,23104,2450,0,775,188,3413,26008,29,14462,16313,56812
2022-03-01,23104,3139,0,1261,2346,6746,29147,29,15723,18659,63558
2022-04-01,23104,1965,-1,-1072,2557,3449,31112,28,14651,21217,67008
2022-05-01,23104,2876,0,-459,2771,5188,33988,28,14192,23988,72196
2022-06-01,23104,2522,-2,-23,2876,5373,36510,26,14169,26864,77569
2022-07-01,23104,2908,-14,-556,2368,4706,39418,12,13613,29232,82275
2022-08-01,23104,2035,0,-709,1996,3322,41453,12,12904,31228,85597
2022-09-01,23104,2274,0,142,2111,4527,43727,12,13046,33339,90124
2022-10-01,23104,1568,0,-9,2318,3877,45295,12,13037,35657,94001
2022-11-01,23104,1349,0,-963,1267,1653,46644,12,12074,36924,95654
2022-12-01,23104,1903,0,598,1710,4211,48547,12,12672,38634,99865
2023-01-01,23104,445,0,61,2449,2955,48992,12,12733,41083,102820
2023-02-01,23104,1703,0,81,2430,4214,50695,12,12814,43513,107034
2023-03-01,23104,1756,0,37,3584,5377,52451,12,12851,47097,112411
2023-04-01,23104,1510,-1,-1573,6058,5994,53961,11,11278,53155,118405
2023-05-01,23104,1776,0,343,3133,5252,55737,11,11621,56288,123657
2023-06-01,23104,2153,0,139,3139,5431,57892,11,11761,59452,129116
2023-07-01,23104,1311,-1,85,2768,4163,59200,10,11845,62191,133246
2023-08-01,23104,1734,0,410,2601,4745,60934,10,12255,64792,137991
2023-09-23,23104,1399,0,-1240,3847,4006,62333,10,11015,68639,141997
2023-10-01,23104,471,-2,402,2835,3706,62807,8,11419,71560,145794
2023-11-01,23104,-240,0,-61,3118,2817,62564,8,11355,74587,148514
2023-12-01,23104,-225,0,-967,-477,-1669,62339,8,10388,74110,146845
2022-01-01,23224,394,0,121,606,1121,2699,8,7062,4797,14566
2022-02-01,23224,135,0,250,16,401,2834,8,7312,4813,14967
2022-03-01,23224,67,0,453,644,1164,2901,8,7765,5457,16131
2022-04-01,23224,-118,-2,-294,544,130,2783,6,7472,6001,16262
2022-05-01,23224,-76,0,153,727,804,2707,6,7625,6728,17066
2022-06-01,23224,-69,0,22,577,530,2638,6,7647,7304,17595
2022-07-01,23224,-72,-2,129,527,582,2566,4,7776,7831,18177
2022-08-01,23224,-136,0,-28,706,542,2430,4,7748,8537,18719
2022-09-01,23224,-87,-1,159,734,805,2343,3,7907,9271,19524
2022-10-01,23224,-83,-1,43,1038,997,2260,2,7950,10309,20521
2022-11-01,23224,-77,0,-5,588,506,2183,2,7945,10897,21027
2022-12-01,23224,-1252,0,25,1514,287,931,2,7970,12411,21314
2023-01-01,23224,-21,0,305,1159,1443,910,2,8275,13570,22757
2023-02-01,23224,-24,0,122,983,1081,886,2,8397,14553,23838
2023-03-01,23224,-31,0,-46,1202,1125,855,2,8351,15755,24963
2023-04-01,23224,-35,0,-78,976,863,820,2,8273,16731,25826
2023-05-01,23224,-24,0,-47,1366,1295,796,2,8226,18097,27121
2023-06-01,23224,-24,0,120,1187,1283,772,2,8346,19286,28406
2023-07-01,23224,-21,0,342,1159,1480,751,2,8688,20443,29884
2023-08-01,23224,-41,0,398,1200,1557,710,2,9086,21643,31441
2023-09-23,23224,-454,0,-32,688,202,256,2,9054,22331,31643
2023-10-01,23224,-32,0,-82,1105,991,224,2,8972,23440,32638
2023-11-01,23224,-1,0,-423,978,554,223,2,8549,24414,33188
2023-12-01,23224,-7,0,-297,903,599,216,2,8252,25317,33787
2022-01-01,29404,240,0,212,485,937,1526,2,3045,4369,8942
2022-02-01,29404,78,0,171,270,519,1604,2,3216,4639,9461
2022-03-01,29404,49,0,263,619,931,1653,2,3479,5258,10392
2022-04-01,29404,-58,0,171,486,599,1595,2,3650,5744,10991
2022-05-01,29404,-55,0,58,270,273,1540,2,3708,6014,11264
2022-06-01,29404,-51,0,202,358,509,1489,2,3910,6372,11773
2022-07-01,29404,-69,-1,309,540,779,1420,1,4219,6912,12552
2022-08-01,29404,-107,0,120,677,690,1313,1,4339,7589,13242
2022-09-01,29404,-60,0,13,938,891,1253,1,4352,8527,14133
2022-10-01,29404,-54,0,42,536,524,1199,1,4394,9063,14657
2022-11-01,29404,-54,0,62,415,423,1145,1,4456,9478,15080
2022-12-01,29404,-665,0,96,503,-66,480,1,4552,9981,15014
2023-01-01,29404,-8,0,22,681,695,472,1,4574,10662,15709
2023-02-01,29404,-9,0,-114,491,368,463,1,4460,11153,16077
2023-03-01,29404,-15,0,-185,630,430,448,1,4275,11783,16507
2023-04-01,29404,-22,0,-88,624,514,426,1,4187,12407,17021
2023-05-01,29404,-24,0,71,758,805,402,1,4258,13165,17826
2023-06-01,29404,-12,0,236,743,967,390,1,4494,13908,18793
2023-07-01,29404,-19,0,434,584,999,371,1,4928,14492,19792
2023-08-01,29404,-7,0,287,528,808,364,1,5215,15020,20600
2023-09-23,29404,-229,0,93,83,-53,135,1,5308,15103,20547
2023-10-01,29404,-12,0,67,602,657,123,1,5375,15705,21204
2023-11-01,29404,1,0,-46,611,566,124,1,5329,16316,21770
2023-12-01,29404,-7,0,-109,760,644,117,1,5220,17076,22414
2022-01-01,29414,356,1,178,578,1113,2820,5,11658,6081,20564
2022-02-01,29414,154,0,450,465,1069,2974,5,12108,6546,21633
2022-03-01,29414,45,0,769,663,1477,3019,5,12877,7209,23110
2022-04-01,29414,-162,0,-493,749,94,2857,5,12384,7958,23204
2022-05-01,29414,-145,0,163,833,851,2712,5,12547,8791,24055
2022-06-01,29414,-140,0,380,746,986,2572,5,12927,9537,25041
2022-07-01,29414,-138,-1,26,1015,902,2434,4,12953,10552,25943
2022-08-01,29414,-230,0,374,442,586,2204,4,13327,10994,26529
2022-09-01,29414,-95,0,255,1002,1162,2109,4,13582,11996,27691
2022-10-01,29414,-89,-1,234,979,1123,2020,3,13816,12975,28814
2022-11-01,29414,-96,1,-34,806,677,1924,4,13782,13781,29491
