Data Month,state,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2023-12-01,36,-2678,-2,-20095,67907,45132,449968,146,399682,847587,1697383
2022-01-01,37,9972,0,5689,13183,28844,143775,194,95615,131373,370957
2022-02-01,37,11599,-7,4856,8867,25315,155374,187,100471,140240,396272
2022-03-01,37,14432,-3,6571,13744,34744,169806,184,107041,153984,431015
2022-04-01,37,13611,-5,1932,10647,26185,183417,179,108975,164633,457204
2022-05-01,37,16310,-3,-2213,4802,18896,199727,176,106762,169435,476100
2022-06-01,37,15038,-3,-2330,10984,23689,214765,173,104432,180418,499788
2022-07-01,37,19470,-22,-1509,8348,26287,234235,151,102921,188765,526072
2022-08-01,37,16526,-4,-4347,7276,19451,250761,147,98574,196041,545523
2022-09-01,37,15522,-4,3101,5776,24395,266283,143,101675,201817,569918
2022-10-01,37,11412,-3,7551,10547,29507,277695,140,109226,212364,599425
2022-11-01,37,14331,-5,7830,10493,32649,292026,135,117056,222857,632074
2022-12-01,37,14215,1,7246,13539,35001,306241,136,124302,236396,667075
2023-01-01,37,10879,-2,-5626,-1887,3364,317120,134,118676,234506,670436
2023-02-01,37,6952,-6,-578,9578,15946,324072,128,118098,244090,686388
2023-03-01,37,13009,-1,-3563,11550,20995,337081,127,114535,255640,707383
2023-04-01,37,11786,0,-1876,17530,27440,348867,127,112659,273170,734823
2023-05-01,37,10870,-5,-2004,20876,29737,359737,122,110655,294044,764558
2023-06-01,37,12810,-2,-1015,18911,30704,372551,120,109655,313048,795374
2023-07-01,37,7845,0,-1377,14698,21166,380392,120,108262,327651,816425
2023-08-01,37,9987,-3,-1165,14784,23603,390379,117,107097,342435,840028
2023-09-23,37,11752,-1,-2067,10960,20644,402131,116,105030,353395,860672
2023-10-01,37,3899,-1,-4820,3905,2983,406034,115,100227,357406,863782
2023-11-01,37,278,-5,-6141,17180,11312,406308,110,94070,374484,874972
2023-12-01,37,-1667,-2,-6158,21658,13831,404641,108,87912,396142,888803
2022-01-01,38,-1,1,-43,118,75,25,35,2014,2450,4526
2022-02-01,38,0,0,53,71,124,25,35,2067,2523,4650
2022-03-01,38,2,-1,151,451,603,27,34,2219,2969,5249
2022-04-01,38,-4,0,72,722,790,23,34,2293,3695,6045
2022-05-01,38,-3,-1,11,591,598,20,33,2304,4286,6643
2022-06-01,38,4,1,75,401,481,24,34,2376,4685,7120
2022-07-01,38,0,-2,55,458,511,24,32,2431,5136,7623
2022-08-01,38,-4,-1,139,435,569,20,31,2570,5570,8192
2022-09-01,38,-2,0,346,218,562,18,31,2914,5787,8751
2022-10-01,38,0,0,349,124,473,18,31,3262,5910,9222
2022-11-01,38,2,0,315,109,426,20,31,3578,6019,9648
2022-12-01,38,3,-1,160,319,481,23,30,3736,6338,10127
2023-01-01,38,4,0,217,622,843,27,30,3948,6958,10964
2023-02-01,38,-5,0,266,404,665,22,30,4221,7368,11640
2023-03-01,38,-6,1,338,463,796,16,31,4557,7830,12435
2023-04-01,38,4,0,142,446,592,20,31,4699,8277,13028
2023-05-01,38,-1,0,11,559,569,19,31,4709,8836,13596
2023-06-01,38,1,-2,-23,428,404,20,29,4689,9272,14010
2023-07-01,38,-5,0,57,439,491,15,29,4743,9703,14487
2023-08-01,38,3,0,-12,604,595,18,29,4731,10306,15085
2023-09-23,38,-3,0,40,634,671,15,29,4771,10941,15756
2023-10-01,38,-1,0,-98,117,18,14,29,4675,11070,15786
2023-11-01,38,3,0,-165,769,607,17,29,4508,11827,16381
2023-12-01,38,0,0,-66,586,520,17,29,4442,12412,16899
2022-01-01,39,12585,5,5443,7578,25611,174080,45,239641,92931,506697
2022-02-01,39,14528,-3,10465,2903,27893,188608,42,250106,95834,534590
2022-03-01,39,16008,-1,16343,7707,40057,204616,41,266445,103541,574643
2022-04-01,39,13612,-3,-9397,8222,12434,218227,38,257035,111760,587060
2022-05-01,39,17918,0,3112,12708,33738,236145,38,260147,124468,620798
2022-06-01,39,19322,-1,2711,13653,35685,255467,37,262857,138121,656482
2022-07-01,39,22727,-16,-16354,11686,18043,278194,21,246501,149807,674523
2022-08-01,39,20977,0,-2797,10117,28297,299171,21,243704,159924,702820
2022-09-01,39,18699,-1,-1112,10227,27813,317870,20,242591,170149,730630
2022-10-01,39,14543,-1,1154,8095,23791,332413,19,243744,178243,754419
2022-11-01,39,12496,-2,-1732,5471,16233,344909,17,242012,183714,770652
2022-12-01,39,16979,-1,-3842,9265,22401,361888,16,238170,192979,793053
2023-01-01,39,12457,-2,2945,10973,26373,374345,14,241110,203952,819421
2023-02-01,39,18310,-2,-294,11552,29566,392656,12,240818,215503,848989
2023-03-01,39,17418,0,-3785,17467,31100,410074,12,237032,232969,880087
2023-04-01,39,14548,0,-1268,18821,32101,424622,12,235764,251790,912188
2023-05-01,39,13910,0,-1506,22779,35183,438531,12,234258,274569,947370
2023-06-01,39,16714,-1,1065,22727,40505,455296,11,235406,297398,988111
2023-07-01,39,9122,0,1627,20055,30804,464363,11,236957,317340,1018671
2023-08-01,39,12810,0,4686,20686,38182,477173,11,241643,338026,1056853
2023-09-23,39,13807,-2,1674,17335,32814,490980,9,243317,355361,1089667
2023-10-01,39,5598,-2,-1958,13720,17358,496636,7,241434,369214,1107291
2023-11-01,39,2958,0,-11385,22960,14533,499535,7,229977,392035,1121554
2023-12-01,39,-741,0,-9030,29269,19498,498794,7,220947,421304,1141052
2022-01-01,40,484,16,165,2407,3072,16428,315,100505,23183,140431
2022-02-01,40,2615,7,2149,1568,6339,19043,322,102654,24751,146770
2022-03-01,40,2316,19,3704,4219,10258,21359,341,106357,28969,157026
2022-04-01,40,2346,11,-473,3828,5712,23705,352,105885,32798,162740
2022-05-01,40,2729,11,1916,3967,8623,26434,363,107801,36765,171363
2022-06-01,40,3392,0,2158,4356,9906,29826,363,109957,41122,181267
2022-07-01,40,3028,-29,215,3749,6963,32854,334,110171,44870,188228
2022-08-01,40,3205,5,3798,3638,10646,36059,339,113969,48508,198874
2022-09-01,40,3326,11,3300,4078,10715,39385,350,117269,52586,209590
2022-10-01,40,3077,4,3714,3240,10035,42421,354,119429,55699,217903
2022-11-01,40,2864,8,3184,3420,9476,45285,362,122613,59119,227379
2022-12-01,40,2409,2,-2229,3615,3797,47694,364,120384,62733,231175
2023-01-01,40,808,3,551,4999,6361,48502,367,120935,67732,237536
2023-02-01,40,3078,6,491,5226,8801,51580,373,121427,72958,246338
2023-03-01,40,2543,2,129,6779,9453,54123,375,121556,79737,255791
2023-04-01,40,2629,-1,747,6895,10270,56752,374,122303,86632,266061
2023-05-01,40,4918,-2,1194,6701,12811,61670,372,123497,93333,278872
2023-06-01,40,4525,-6,1705,5566,11790,66260,366,127347,99141,293114
2023-07-01,40,4666,-6,1631,5291,11582,70860,360,127014,104175,302409
2023-08-01,40,4369,-6,3146,5860,13369,75229,354,130160,110034,315777
2023-09-23,40,3650,-3,1226,5215,10088,78879,351,131386,115249,325865
2023-10-01,40,3477,-3,-4278,-161,-965,82436,348,128799,115464,327047
2023-11-01,40,3594,-1,-4671,10495,9417,86028,347,124103,125928,336406
2023-12-01,40,2901,-2,-2522,10984,11361,88929,345,121581,136912,347767
2022-01-01,41,2609,0,295,5067,7972,24524,42,24026,37302,85896
2022-02-01,41,2100,-1,-1480,6342,6961,26625,41,22546,43644,92858
2022-03-01,41,1558,-2,-1612,9623,9568,28183,39,20935,53268,102425
2022-04-01,41,624,-1,-1139,6471,5955,28807,38,19795,59733,108372
2022-05-01,41,1144,-1,-1787,4649,4006,29951,37,18008,64382,112378
2022-06-01,41,1648,0,-1898,6012,5762,31600,37,16109,70390,118137
2022-07-01,41,1824,-11,-1618,5428,5623,33423,26,14491,75816,123757
2022-08-01,41,1177,0,-3690,6341,3827,34601,26,10800,82157,127584
2022-09-01,41,1238,1,-449,6264,7054,35839,27,10352,88421,134639
2022-10-01,41,874,0,-674,6475,6675,36713,27,9678,94896,141314
2022-11-01,41,733,-1,-860,5307,5179,37446,26,8818,100202,146493
2022-12-01,41,-4512,-1,-1035,5397,-151,32935,25,7783,105598,146341
2023-01-01,41,257,0,-217,6058,6098,33192,25,7565,111654,152436
2023-02-01,41,1229,0,-322,6463,7370,34421,25,7243,118120,159809
2023-03-01,41,884,0,-86,6751,7548,35305,25,7157,124870,167358
2023-04-01,41,1067,-1,-162,6237,7143,36372,24,6995,131106,174499
2023-05-01,41,890,0,-173,3740,4459,37263,24,6822,134846,178955
2023-06-01,41,1128,0,-12,3923,5039,38468,24,6879,140632,186004
2023-07-01,41,725,0,-90,5348,5983,39115,24,6720,144067,189927
2023-08-01,41,1012,0,115,7931,9058,40127,24,6836,151999,198987
2023-09-23,41,583,0,25,7122,7731,40710,24,6861,159122,206717
2023-10-01,41,52,0,69,6848,6969,40836,24,6994,168123,215977
2023-11-01,41,-461,0,242,5657,5438,40305,24,7165,171561,219055
2023-12-01,41,-2242,0,-497,5737,2998,38063,24,6668,177298,222053
2022-01-01,42,5645,77,6658,7929,20309,44237,726,206675,90650,342288
2022-02-01,42,2114,84,12336,6258,20792,46351,810,219011,96908,363080
2022-03-01,42,1092,41,21377,10591,33101,47443,851,240378,107497,396169
2022-04-01,42,-1727,26,-1316,9244,6227,45716,877,239063,116717,402373
2022-05-01,42,-849,85,7080,15393,21709,44867,962,246143,132110,424082
2022-06-01,42,-658,56,8383,16105,23886,44209,1018,254524,148215,447966
2022-07-01,42,-440,-8,-8272,18443,9723,43767,1010,246247,166658,457682
2022-08-01,42,-1349,44,-6092,21089,13692,42418,1054,240155,187747,471374
2022-09-01,42,-411,-54,-1561,19939,17913,42007,1000,238592,207686,489285
2022-10-01,42,-326,-38,118,15754,15508,41681,962,238709,223436,504788
2022-11-01,42,-422,-26,-697,12606,11461,40956,936,237711,235879,515482
2022-12-01,42,-12803,-39,-4245,19807,2720,28467,897,233746,255867,518977
2023-01-01,42,367,-26,1994,19627,21962,28834,871,235738,275489,540932
2023-02-01,42,632,-18,-2958,20436,18092,29466,853,232783,295928,559030
2023-03-01,42,438,-33,-5376,22730,17759,29903,820,227407,318658,576788
2023-04-01,42,371,-21,-4266,22175,18259,30274,799,223141,340833,595047
2023-05-01,42,287,-24,-3492,26805,23576,30561,775,219649,367637,618622
2023-06-01,42,325,-24,3813,21114,25228,30892,752,223591,389008,644243
2023-07-01,42,159,-12,-3432,21531,18246,31044,739,220030,410266,662079
2023-08-01,42,265,-8,3,23882,24142,31309,731,220033,434147,686220
2023-09-23,42,490,-13,-1458,20826,19845,31799,718,218575,454973,706065
2023-10-01,42,-4098,-6,-5419,11552,2029,27707,713,213279,466858,708557
2023-11-01,42,-395,-14,-9194,22387,12784,27309,698,203969,488899,720875
2023-12-01,42,-163,-16,-8022,23687,15486,27146,682,195947,512586,736361
2022-01-01,44,309,1,691,33,1034,6060,2,15594,3979,25635
2022-02-01,44,1536,0,620,-12,2144,7596,2,16214,3967,27779
2022-03-01,44,1161,0,954,368,2483,8757,2,17168,4335,30262
2022-04-01,44,1078,0,-344,717,1451,9835,2,16824,5052,31713
2022-05-01,44,1248,0,546,777,2571,11083,2,17370,5829,34284
2022-06-01,44,1411,0,-198,852,2065,12494,2,17172,6681,36349
2022-07-01,44,1248,-1,-171,491,1567,13741,1,17001,7171,37914
2022-08-01,44,1403,0,-1271,918,1050,15144,1,15731,8088,38964
2022-09-01,44,1541,0,204,1215,2960,16685,1,15935,9303,41924
2022-10-01,44,1492,0,536,1703,3731,18177,1,16470,11006,45655
2022-11-01,44,1250,0,136,1679,3065,19427,1,16607,12685,48720
2022-12-01,44,1235,-1,-247,1334,2321,20662,0,16360,14019,51040
2023-01-01,44,599,0,60,823,1482,21261,0,16420,14842,52522
2023-02-01,44,1305,0,-1,987,2291,22566,0,16419,15829,54813
2023-03-01,44,1416,0,-109,1452,2759,23981,0,16310,17281,57572
2023-04-01,44,1098,0,-182,1994,2910,25079,0,16128,19274,60480
2023-05-01,44,1860,0,-426,2390,3824,26939,0,15702,21663,64304
2023-06-01,44,1562,0,-17,2061,3606,28507,0,15689,23725,67921
2023-07-01,44,1614,0,-18,1589,3185,30114,0,15667,25313,71093
2023-08-01,44,1414,0,606,1471,3491,31528,0,16273,26784,74584
2023-09-23,44,1610,0,186,962,2758,33137,0,16459,27746,77342
2023-10-01,44,1498,0,-305,505,1698,34644,0,16158,28255,79057
2023-11-01,44,1479,0,-361,1125,2243,36114,0,15793,29375,81281
2023-12-01,44,1390,0,-691,1474,2173,37504,0,15102,30849,83454
2022-01-01,45,4340,3,1368,4168,9879,56845,72,74146,49342,180405
2022-02-01,45,4778,-1,2912,2222,9911,61623,71,77058,51564,190316
2022-03-01,45,5131,-2,4301,4401,13831,66754,69,81359,55965,204147
2022-04-01,45,4206,-5,-2382,3567,5386,70957,64,78972,59528,209521
2022-05-01,45,5406,0,1012,4241,10659,76363,64,79984,63769,220180
2022-06-01,45,4614,-3,1629,5479,11719,80977,61,81613,69247,231898
2022-07-01,45,6333,-13,-1149,4514,9685,87310,48,80462,73760,241580
2022-08-01,45,4749,-1,34,4812,9594,92059,47,80496,78572,251174
2022-09-01,45,4555,0,736,4953,10244,96614,47,81232,83525,261418
2022-10-01,45,3623,0,4903,6925,15451,100237,47,86135,90450,276869
2022-11-01,45,4539,-1,5024,5658,15220,104776,46,91159,96108,292089
2022-12-01,45,4257,-1,5737,6867,16860,109033,45,96896,102975,308949
2023-01-01,45,2324,-1,-5165,2911,69,111357,44,91730,105882,309013
2023-02-01,45,1952,0,-1069,5562,6445,113309,44,90663,111448,315464
2023-03-01,45,3805,-1,-3069,6660,7395,117114,43,87593,118108,322858
2023-04-01,45,3930,0,-1920,8517,10527,121044,43,85673,126625,333385
2023-05-01,45,4085,-3,-2004,9161,11239,125129,40,83669,135786,344624
2023-06-01,45,4770,-1,-1199,9141,12711,130294,39,82747,145783,358863
2023-07-01,45,2456,0,-316,7154,9294,132339,39,82157,152055,366590
2023-08-01,45,3209,0,-333,8596,11472,135548,39,81824,160651,378062
2023-09-23,45,6958,-2,-534,8724,15146,142506,37,81290,169375,393208
2023-10-01,45,3547,-5,-1385,5143,7300,146503,32,80190,175547,402272
2023-11-01,45,3351,0,-364,9977,12964,149400,32,79545,184466,413443
2023-12-01,45,-2324,1,-2104,12645,8218,147076,33,77441,197111,421661
2022-01-01,46,-1,0,59,354,412,41,82,1642,2979,4745
2022-02-01,46,-6,5,93,691,784,35,87,1737,3671,5529
2022-03-01,46,4,0,127,1183,1314,39,87,1863,4852,6841
2022-04-01,46,-4,0,90,904,991,35,87,1954,5758,7834
2022-05-01,46,-3,2,63,1090,1152,32,89,2017,6847,8986
2022-06-01,46,0,-3,88,1408,1493,32,86,2105,8255,10477
2022-07-01,46,-1,-2,171,1153,1321,31,84,2277,9408,11798
2022-08-01,46,1,-2,148,1212,1359,32,82,2424,10618,13158
2022-09-01,46,0,0,76,603,679,33,82,2500,11221,13836
2022-10-01,46,2,0,28,400,430,35,82,2528,11618,14264
2022-11-01,46,4,0,41,165,210,39,82,2554,11738,14413
2022-12-01,46,-2,-2,15,334,343,37,80,2581,12117,14813
2023-01-01,46,0,0,57,982,1039,37,80,2638,13096,15848
2023-02-01,46,2,-1,141,599,741,39,79,2779,13697,16594
2023-03-01,46,-4,0,162,1201,1358,35,79,2941,14898,17950
2023-04-01,46,1,0,37,704,741,36,79,2976,15603,18693
2023-05-01,46,-1,-1,30,505,533,35,78,3008,16108,19229
2023-06-01,46,-2,0,18,649,665,33,78,3027,16766,19904
2023-07-01,46,-1,-1,7,910,916,32,77,3033,17666,20811
2023-08-01,46,3,0,-19,421,405,35,77,3013,18088,21213
2023-09-23,46,-2,0,-20,877,855,33,77,2993,18963,22067
2023-10-01,46,-9,-2,-306,-462,-780,24,75,2688,18514,21299
2023-11-01,46,1,-2,-38,1072,1032,25,73,2650,19577,22323
2023-12-01,46,-2,-1,-24,888,861,23,72,2624,20468,23186
2022-01-01,47,4492,9,4900,7640,17042,53748,532,72307,78035,204624
2022-02-01,47,3317,15,3219,7524,14075,57065,547,75525,85562,218698
2022-03-01,47,3371,14,5880,9711,18976,60436,561,81407,95272,237673
2022-04-01,47,1152,13,1933,7194,10292,61588,574,83341,102469,247970
2022-05-01,47,2640,19,-1665,2994,3988,64228,593,81676,105463,251958
2022-06-01,47,2728,-1,-192,8031,10567,66956,592,81485,113494,262524
2022-07-01,47,3422,-43,-701,4158,6836,70377,549,80783,117652,269362
2022-08-01,47,2347,4,1924,2169,6444,72724,553,82707,119822,275804
2022-09-01,47,2895,-5,7924,379,11192,75619,548,90630,120201,286996
2022-10-01,47,1700,-1,7567,1585,10851,77318,547,98197,121786,297848
2022-11-01,47,1494,-13,5451,735,7668,78812,534,103649,122521,305516
2022-12-01,47,-3349,-2,3905,5307,5861,75463,532,107554,127829,311376
2023-01-01,47,1439,-7,4437,6420,12288,76902,525,111989,134249,323665
2023-02-01,47,3128,-7,2935,5964,12020,80030,518,114926,140214,335686
2023-03-01,47,2609,-8,-130,10103,12575,82640,510,114795,150316,348258
2023-04-01,47,2490,-7,-500,10270,12252,85130,503,114294,160586,360510
2023-05-01,47,3034,-5,-1532,12084,13579,88164,498,112762,172670,374089
2023-06-01,47,3082,-3,-37,9793,12835,91246,495,112746,182488,386971
2023-07-01,47,1719,-1,-854,7046,7910,92965,494,111871,189507,394834
2023-08-01,47,2285,-3,-1213,9603,10672,95249,491,110657,199111,405507
2023-09-23,47,2289,-3,-1992,8749,9045,97538,488,108666,207859,414551
2023-10-01,47,-863,-10,-5297,-784,-6953,96675,478,103390,207103,407646
2023-11-01,47,-140,-13,-4386,9728,5190,96535,465,98988,216802,412791
2023-12-01,47,-176,-2,-3023,12121,8920,96359,463,95965,228924,421711
2022-01-01,48,22580,4,-2882,23354,43056,253038,554,178536,251028,683155
2022-02-01,48,22838,-10,8746,-4357,27217,275876,544,187281,246671,710372
2022-03-01,48,24893,-14,14755,35858,75492,300769,530,202036,282528,785864
2022-04-01,48,13932,-21,-13720,37241,37432,314701,510,188314,319748,823274
2022-05-01,48,22712,-9,-6504,39087,55286,337413,501,181810,358835,878559
2022-06-01,48,20088,-12,-6122,37051,51005,357500,489,175688,395882,929559
2022-07-01,48,24320,-138,-7415,31438,48205,381820,351,168270,427317,977758
2022-08-01,48,16583,-10,-10279,30093,36387,398403,341,157991,457410,1014144
2022-09-01,48,17824,-6,2002,27879,47699,416227,335,159992,485288,1061841
2022-10-01,48,12578,-4,2095,29216,43885,428805,331,162086,514503,1105724
2022-11-01,48,9812,-2,-11627,16880,15063,438617,329,150459,531383,1120787
2022-12-01,48,2667,-6,8705,25999,37365,441283,323,159163,557376,1158146
2023-01-01,48,5544,-5,2007,33847,41393,446827,318,161169,591219,1199533
2023-02-01,48,15691,-15,1145,31087,47908,462518,303,162314,622309,1247444
2023-03-01,48,15484,-12,471,40364,56307,478002,291,162785,662671,1303749
2023-04-01,48,14634,-2,-19459,54821,49994,492636,289,143322,717491,1353738
2023-05-01,48,14188,-5,4886,34606,53675,506824,284,148208,752095,1407410
2023-06-01,48,18105,0,2552,39138,59795,527109,284,150984,794715,1473090
2023-07-01,48,10463,5,1419,40673,52560,535292,288,152175,831701,1519454
2023-08-01,48,12550,56,5100,44549,62255,547842,344,157275,876250,1581709
2023-09-23,48,10542,39,-16887,53805,47499,558383,383,140388,930055,1629208
2023-10-01,48,2781,3,6379,32207,41370,563599,386,146993,966529,1677506
2023-11-01,48,-2167,32,-879,35947,32933,559003,418,145879,998081,1703380
2023-12-01,48,-5906,63,-11445,-26508,-43796,553097,481,134434,971573,1659584
2022-01-01,49,538,0,585,816,1938,3911,10,17853,9454,31229
2022-02-01,49,250,1,1320,564,2135,4161,11,19173,10018,33363
2022-03-01,49,108,0,1210,1208,2526,4269,11,20379,11223,35883
2022-04-01,49,-191,-1,-1340,1086,-446,4078,10,19044,12308,35440
2022-05-01,49,-163,-1,189,1316,1341,3915,9,19233,13625,36782
2022-06-01,49,-129,0,-8,1257,1120,3786,9,19225,14883,37902
2022-07-01,49,-130,-3,-383,1662,1146,3656,6,18841,16545,39049
2022-08-01,49,-225,-1,-47,1353,1080,3431,5,18795,17898,40129
2022-09-01,49,-125,0,453,1784,2111,3306,5,19247,19682,42238
2022-10-01,49,-89,0,357,1817,2085,3217,5,19604,21498,44324
2022-11-01,49,-137,0,310,595,768,3080,5,19914,22092,45092
2022-12-01,49,-1806,0,-198,1346,-659,1274,5,19716,23437,44432
2023-01-01,49,-45,0,487,1691,2133,1229,5,20200,25127,46561
2023-02-01,49,-37,0,10,1494,1468,1192,5,20209,26623,48033
2023-03-01,49,-44,0,0,2133,2089,1148,5,20209,28757,50121
2023-04-01,49,-43,0,17,2046,2022,1105,5,20227,30803,52141
2023-05-01,49,-37,0,-138,2978,2801,1068,5,20090,33782,54944
2023-06-01,49,-39,0,95,3264,3321,1035,5,20528,37576,59144
2023-07-01,49,-33,0,176,2169,2311,996,5,20359,39134,60491
2023-08-01,49,-31,3,247,3226,3444,965,8,20604,42358,63934
2023-09-23,49,-29,47,-121,2140,2037,936,55,20483,44498,65971
2023-10-01,49,-637,28,-620,1517,288,303,85,20230,46735,67352
2023-11-01,49,-45,-4,-238,2106,1818,256,79,19631,48117,68082
2023-12-01,49,-4,-5,-447,2590,2135,252,74,19184,50707,70216
2022-01-01,50,255,0,-99,389,545,1933,12,4819,3695,10459
2022-02-01,50,97,-1,355,359,810,2030,11,5174,4054,11269
2022-03-01,50,103,0,464,597,1164,2133,11,5636,4651,12431
2022-04-01,50,10,0,-719,517,-192,2143,11,4919,5168,12241
2022-05-01,50,42,0,29,602,673,2185,11,4948,5770,12914
2022-06-01,50,77,-1,116,504,696,2262,10,5064,6274,13610
2022-07-01,50,79,-4,-134,726,667,2341,6,4930,6999,14276
2022-08-01,50,81,0,-61,494,514,2422,6,4869,7493,14790
2022-09-01,50,89,0,-114,488,463,2511,6,4755,7981,15253
2022-10-01,50,79,0,111,301,491,2590,6,4866,8282,15744
2022-11-01,50,81,0,96,235,412,2671,6,4962,8517,16156
2022-12-01,50,-489,0,-8,793,296,2182,6,4954,9310,16452
2023-01-01,50,41,1,70,904,1016,2223,7,5024,10213,17467
2023-02-01,50,103,0,53,712,868,2326,7,5077,10926,18336
2023-03-01,50,72,0,-103,781,750,2398,7,4974,11707,19086
2023-04-01,50,66,0,-3,783,846,2464,7,4971,12490,19932
2023-05-01,50,38,0,-46,728,720,2502,7,4925,13218,20652
2023-06-01,50,88,0,-182,729,635,2598,7,4749,13991,21345
2023-07-01,50,50,0,-102,630,578,2639,7,4641,14577,21864
2023-08-01,50,36,0,-113,589,512,2675,7,4528,15166,22376
2023-09-23,50,40,0,-22,1705,1723,2715,7,4506,16871,24099
2023-10-01,50,-196,0,-126,200,-122,2528,7,4388,17126,24049
2023-11-01,50,-69,0,-96,632,467,2451,7,4282,17711,24451
2023-12-01,50,-51,0,-173,681,457,2400,7,4109,18392,24908
2022-01-01,51,2590,4,6271,7102,15966,36417,85,72464,71908,180873
2022-02-01,51,3144,0,4713,4958,12815,39561,85,77178,76866,193689
2022-03-01,51,2435,0,9265,8000,19700,41996,85,86443,84866,213390
2022-04-01,51,1539,-4,5349,5633,12517,43534,81,91796,90496,225908
2022-05-01,51,2135,-1,1749,2756,6639,45669,80,93546,93252,232546
2022-06-01,51,2410,-2,650,6350,9408,48079,78,94195,99602,241955
2022-07-01,51,1763,-14,867,8474,11091,49843,64,95061,108075,253041
2022-08-01,51,1852,-4,-3417,8424,6855,51695,60,91644,116498,259896
2022-09-01,51,2486,-1,1860,7675,12020,54181,59,93504,124173,271916
2022-10-01,51,2393,-2,256,7487,10134,56574,57,93759,131660,282048
2022-11-01,51,1596,-1,-1013,5566,6149,58170,56,92746,137226,288197
2022-12-01,51,-2816,-3,714,9926,7821,55354,53,93459,147151,296016
2023-01-01,51,-849,-1,2878,8569,10598,54505,52,96337,155720,306613
2023-02-01,51,2191,0,-229,9849,11811,56696,52,96109,165569,318425
2023-03-01,51,1815,-2,-2557,13665,12920,58511,50,93551,179234,331345
2023-04-01,51,1812,-1,-741,12619,13688,60323,49,92809,191853,345035
2023-05-01,51,4145,-1,279,12581,17005,64468,48,93088,204435,362040
2023-06-01,51,3638,-2,2103,9475,15214,68106,46,95214,213983,377348
2023-07-01,51,3440,0,1870,9813,15123,71546,46,97063,223722,392376
2023-08-01,51,3265,1,2217,12418,17901,74812,47,99280,236137,410274
2023-09-23,51,3457,0,989,9913,14360,78269,47,100269,246050,424634
2023-10-01,51,1539,-4,-1056,5362,5841,79808,43,99238,251491,430579
2023-11-01,51,2727,0,-2884,10369,10212,82535,43,96332,261783,440693
2023-12-01,51,2426,0,-2557,15661,15531,84961,43,93776,277445,456223
2022-01-01,53,3195,4,1426,4930,9554,30796,147,80835,46403,158180
2022-02-01,53,2400,-2,4052,3628,10078,33195,145,84887,50031,168257
2022-03-01,53,1694,-5,5731,6139,13558,34889,140,90615,56168,181813
2022-04-01,53,-34,-6,-5264,7082,1778,34855,134,85361,63257,183608
2022-05-01,53,319,-3,1214,8550,10079,35174,131,86575,71807,193687
2022-06-01,53,654,-2,-306,7497,7843,35827,129,86270,79304,201530
2022-07-01,53,886,-16,-889,7378,7359,36714,113,85376,86681,208884
2022-08-01,53,280,-1,-1373,5760,4666,36993,112,84004,92441,213550
2022-09-01,53,459,0,827,6420,7706,37452,112,84831,98861,221255
2022-10-01,53,215,0,1256,7214,8685,37667,112,86086,106074,229939
2022-11-01,53,-94,1,-551,5088,4444,37573,113,85535,111162,234382
2022-12-01,53,-7770,-2,-1567,7280,-2059,29802,111,83967,118442,232322
2023-01-01,53,55,-2,1106,8413,9572,29857,109,85073,126854,241893
2023-02-01,53,732,-2,135,7855,8720,30589,107,85208,134708,250612
2023-03-01,53,763,1,-280,10631,11115,31352,108,84928,145339,261727
2023-04-01,53,686,2,173,8742,9602,32038,110,85101,154081,271329
2023-05-01,53,678,-3,-1117,8947,8504,32715,107,83984,163027,279834
2023-06-01,53,738,-3,31,7656,8422,33453,104,84035,170718,288310
2023-07-01,53,466,-1,926,7319,8710,33918,103,84943,177999,296962
2023-08-01,53,613,-1,2365,8762,11738,34531,102,87307,186761,308700
2023-09-23,53,465,-1,1939,6868,9270,34996,101,89247,193628,317972
2023-10-01,53,-2575,-6,2325,3854,3598,32421,95,91587,197527,321630
2023-11-01,53,-250,-1,-168,7882,7463,32170,94,91404,205361,329030
2023-12-01,53,-149,-2,-1307,11755,10297,32021,92,90097,217116,339327
2022-01-01,54,354,-1,416,908,1678,4177,36,42115,13328,59656
2022-02-01,54,134,-1,1904,824,2861,4311,35,44018,14152,62516
2022-03-01,54,112,-2,3858,1881,5849,4423,33,47867,16033,68356
2022-04-01,54,-56,-2,-3748,1124,-2682,4366,31,44089,17148,65633
2022-05-01,54,51,-2,148,1727,1924,4417,29,44236,18875,67558
2022-06-01,54,70,0,293,2079,2442,4487,29,44530,20954,69999
2022-07-01,54,93,-7,-347,2504,2242,4580,22,44181,23457,72241
2022-08-01,54,-6,-3,-882,2953,2062,4574,19,43299,26411,74303
2022-09-01,54,27,1,337,2346,2711,4601,20,43635,28755,77011
2022-10-01,54,37,-1,1288,2456,3780,4638,19,44921,31211,80790
2022-11-01,54,-25,0,965,1665,2604,4613,19,45886,32876,83394
2022-12-01,54,-693,0,497,1960,1764,3920,19,46383,34836,85159
2023-01-01,54,32,0,749,2750,3530,3952,19,47131,37585,88688
2023-02-01,54,121,1,-51,2808,2879,4073,20,47082,40395,91571
2023-03-01,54,55,-1,-994,4107,3168,4128,19,46088,44502,94738
