Data Month,county,Net New Enrollments Alternative Verification Process,Net New Enrollments Verified by School,Net New Enrollments Lifeline,Net New Enrollments National Verifier Application,Net New Enrollments Total,Total Alternative Verification Process,Total Verified by School,Total Lifeline,Total National Verifier Application,Total Subscribers
2023-09-23,01005,37,0,-38,-45,-44,1542,1,671,1072,3284
2023-10-01,01005,17,0,-16,31,32,1558,1,655,1101,3315
2023-11-01,01005,-15,0,-32,59,13,1544,1,622,1159,3328
2023-12-01,01005,-41,0,-79,149,29,1503,1,543,1311,3356
2022-01-01,01007,0,0,15,21,37,14,5,172,297,487
2022-02-01,01007,-1,0,-1,16,15,14,5,171,312,501
2022-03-01,01007,0,0,22,29,50,14,5,191,340,551
2022-04-01,01007,0,-1,1,33,33,14,4,192,372,584
2022-05-01,01007,-2,0,-2,4,0,12,4,191,377,583
2022-06-01,01007,0,-1,2,24,25,12,3,192,400,612
2022-07-01,01007,-1,-2,0,26,25,12,1,191,427,632
2022-08-01,01007,-1,0,31,8,38,11,1,222,435,669
2022-09-01,01007,-1,0,8,13,20,10,1,231,447,691
2022-10-01,01007,1,0,-6,32,29,12,1,225,479,717
2022-11-01,01007,-1,0,10,79,89,10,1,238,559,807
2022-12-01,01007,1,0,1,59,60,12,1,239,615,866
2023-01-01,01007,0,0,29,68,95,12,1,266,684,964
2023-02-01,01007,0,0,13,37,50,12,1,277,719,1012
2023-03-01,01007,-2,0,5,26,28,11,1,282,747,1042
2023-04-01,01007,0,0,24,18,42,11,1,307,765,1084
2023-05-01,01007,0,0,-5,10,4,11,1,302,775,1088
2023-06-01,01007,0,0,-21,22,0,11,1,280,795,1090
2023-07-01,01007,-1,0,22,-3,19,11,1,303,793,1108
2023-08-01,01007,1,0,12,31,44,13,1,313,823,1152
2023-09-23,01007,0,0,-7,-15,-24,12,1,307,808,1130
2023-10-01,01007,1,0,-18,17,1,14,1,289,826,1134
2023-11-01,01007,0,0,-30,47,15,14,1,260,871,1147
2023-12-01,01007,0,0,-26,32,7,14,1,235,905,1154
2022-01-01,01009,25,-1,19,47,91,316,9,322,593,1245
2022-02-01,01009,19,0,16,63,99,337,9,339,658,1344
2022-03-01,01009,39,0,22,76,140,375,9,363,735,1482
2022-04-01,01009,19,0,5,103,129,396,9,368,842,1612
2022-05-01,01009,22,0,6,14,42,418,9,373,855,1654
2022-06-01,01009,35,0,13,74,121,450,9,386,929,1776
2022-07-01,01009,36,-1,11,47,91,486,8,396,974,1865
2022-08-01,01009,36,0,-14,33,55,524,8,383,1006,1919
2022-09-01,01009,18,0,51,44,110,540,8,434,1050,2031
2022-10-01,01009,18,0,26,52,99,559,8,461,1103,2127
2022-11-01,01009,17,0,-19,46,43,575,8,442,1149,2172
2022-12-01,01009,8,0,20,42,70,580,7,463,1192,2241
2023-01-01,01009,-2,0,22,62,83,580,7,484,1252,2324
2023-02-01,01009,22,0,6,68,99,604,7,491,1320,2423
2023-03-01,01009,37,0,-21,89,109,642,7,470,1413,2532
2023-04-01,01009,16,0,-10,102,110,658,7,461,1515,2638
2023-05-01,01009,21,0,-17,68,72,678,7,444,1581,2711
2023-06-01,01009,12,0,-16,110,106,691,7,428,1691,2814
2023-07-01,01009,16,0,-7,56,65,707,7,421,1746,2881
2023-08-01,01009,25,0,15,55,96,734,7,435,1802,2977
2023-09-23,01009,28,0,-21,-4,5,760,7,416,1799,2981
2023-10-01,01009,14,0,0,59,72,775,7,413,1857,3053
2023-11-01,01009,-1,0,-17,81,62,773,7,394,1940,3115
2023-12-01,01009,-5,0,-15,99,76,769,7,378,2038,3193
2022-01-01,01011,0,0,69,1,70,5,0,189,186,380
2022-02-01,01011,-2,0,47,53,96,3,0,237,238,477
2022-03-01,01011,0,0,5,12,17,3,0,242,250,495
2022-04-01,01011,0,0,28,1,29,3,0,271,252,526
2022-05-01,01011,-2,0,1,-3,-3,1,0,272,249,523
2022-06-01,01011,0,0,53,-5,46,1,0,324,243,570
2022-07-01,01011,-1,0,-1,19,18,0,0,323,262,587
2022-08-01,01011,0,0,-29,-8,-40,0,0,294,253,548
2022-09-01,01011,0,0,59,-9,49,0,0,353,243,598
2022-10-01,01011,0,0,23,2,24,0,0,375,245,621
2022-11-01,01011,0,0,7,13,22,0,0,382,259,644
2022-12-01,01011,0,0,8,3,10,0,0,391,262,655
2023-01-01,01011,0,0,37,29,66,0,0,428,293,721
2023-02-01,01011,0,0,-8,81,74,0,0,420,374,795
2023-03-01,01011,0,0,-22,19,-5,0,0,397,393,792
2023-04-01,01011,1,0,-9,37,29,1,0,389,430,821
2023-05-01,01011,-1,0,-11,33,20,0,0,377,461,841
2023-06-01,01011,0,0,-15,56,40,0,0,362,517,882
2023-07-01,01011,1,0,-15,27,13,1,0,347,546,896
2023-08-01,01011,-1,0,2,34,34,0,0,349,581,930
2023-09-23,01011,0,0,-19,-3,-22,0,0,331,578,908
2023-10-01,01011,0,0,-20,-17,-37,0,0,310,560,870
2023-11-01,01011,0,0,-11,26,14,0,0,299,586,884
2023-12-01,01011,0,0,-33,27,-8,0,0,266,610,877
2022-01-01,01013,41,0,14,5,60,661,3,363,483,1510
2022-02-01,01013,37,0,9,16,62,697,3,373,500,1571
2022-03-01,01013,48,0,23,34,106,745,3,395,534,1677
2022-04-01,01013,7,0,8,18,33,753,3,403,552,1712
2022-05-01,01013,30,0,-5,25,50,783,3,398,576,1759
2022-06-01,01013,26,0,-1,25,52,808,3,398,601,1811
2022-07-01,01013,39,-2,8,24,68,847,1,407,625,1879
2022-08-01,01013,82,0,-32,-10,41,929,1,375,616,1921
2022-09-01,01013,27,0,-8,5,25,956,1,367,620,1946
2022-10-01,01013,16,0,44,12,72,972,1,411,632,2017
2022-11-01,01013,-20,0,32,77,88,952,1,443,709,2105
2022-12-01,01013,-18,0,24,230,236,934,1,467,938,2340
2023-01-01,01013,1,0,21,109,133,935,1,489,1049,2474
2023-02-01,01013,41,0,-27,40,53,976,1,462,1089,2527
2023-03-01,01013,-9,0,1,211,202,968,1,462,1299,2732
2023-04-01,01013,29,0,-10,76,94,996,1,452,1374,2824
2023-05-01,01013,32,0,11,13,57,1027,1,462,1388,2881
2023-06-01,01013,39,0,-14,1,27,1066,1,448,1389,2907
2023-07-01,01013,20,0,-24,8,6,1087,1,426,1396,2913
2023-08-01,01013,14,0,-4,17,27,1100,1,422,1414,2939
2023-09-23,01013,33,0,-12,-70,-49,1133,1,409,1346,2890
2023-10-01,01013,-8,0,-18,0,-26,1126,1,392,1345,2864
2023-11-01,01013,8,0,-22,11,-6,1133,1,368,1356,2859
2023-12-01,01013,4,0,-29,27,2,1138,1,340,1383,2861
2022-01-01,01015,10,-1,95,127,231,229,7,1483,1700,3419
2022-02-01,01015,6,0,120,148,275,235,7,1603,1848,3694
2022-03-01,01015,25,-1,118,226,368,261,7,1721,2072,4061
2022-04-01,01015,10,-1,14,121,145,271,6,1735,2194,4208
2022-05-01,01015,21,0,-19,31,32,293,6,1717,2225,4239
2022-06-01,01015,8,0,153,186,347,301,6,1870,2411,4587
2022-07-01,01015,16,-1,117,193,326,317,5,1988,2606,4913
2022-08-01,01015,6,0,1,116,125,323,5,1988,2723,5038
2022-09-01,01015,12,0,155,45,212,336,5,2143,2769,5251
2022-10-01,01015,12,0,65,138,216,347,5,2207,2907,5466
2022-11-01,01015,2,0,-6,95,91,349,5,2202,3002,5559
2022-12-01,01015,2,0,-7,270,267,351,5,2194,3272,5823
2023-01-01,01015,7,0,66,193,266,358,5,2261,3465,6090
2023-02-01,01015,17,0,68,119,204,375,5,2328,3584,6293
2023-03-01,01015,21,0,-52,264,233,397,5,2277,3848,6526
2023-04-01,01015,8,0,-66,243,187,405,5,2211,4092,6713
2023-05-01,01015,18,0,-61,206,164,424,5,2152,4297,6878
2023-06-01,01015,9,0,-55,334,287,433,5,2096,4631,7166
2023-07-01,01015,14,-1,6,210,232,447,4,2102,4843,7397
2023-08-01,01015,10,0,13,352,374,457,4,2114,5194,7771
2023-09-23,01015,22,0,-97,51,-24,479,4,2018,5244,7747
2023-10-01,01015,1,-1,-82,305,224,480,3,1936,5548,7969
2023-11-01,01015,-3,0,-114,380,264,478,3,1823,5929,8232
2023-12-01,01015,-2,0,-184,311,125,476,3,1637,6241,8357
2022-01-01,01017,56,0,153,34,244,1092,1,757,516,2366
2022-02-01,01017,69,0,17,21,106,1162,1,775,536,2474
2022-03-01,01017,105,0,-33,25,96,1267,1,741,560,2569
2022-04-01,01017,50,0,-18,9,43,1318,1,721,570,2612
2022-05-01,01017,86,0,-37,30,80,1404,1,684,601,2692
2022-06-01,01017,5,0,2,255,261,1410,1,686,856,2954
2022-07-01,01017,85,-1,-17,138,205,1495,0,671,994,3158
2022-08-01,01017,46,0,161,38,248,1541,0,834,1031,3406
2022-09-01,01017,69,0,-93,-7,-31,1610,0,740,1025,3376
2022-10-01,01017,41,0,-31,32,41,1650,0,708,1057,3417
2022-11-01,01017,46,0,20,-20,45,1697,0,727,1038,3461
2022-12-01,01017,42,0,-34,3,13,1739,0,693,1040,3475
2023-01-01,01017,-52,0,24,29,0,1687,0,718,1071,3475
2023-02-01,01017,81,0,-31,48,95,1769,0,685,1115,3571
2023-03-01,01017,92,0,-30,31,92,1862,0,657,1147,3664
2023-04-01,01017,58,0,-24,75,109,1920,0,632,1220,3771
2023-05-01,01017,72,0,-27,101,147,1992,0,604,1320,3916
2023-06-01,01017,118,0,5,80,203,2109,0,608,1401,4119
2023-07-01,01017,78,0,-14,39,102,2188,0,594,1441,4220
2023-08-01,01017,47,0,-4,79,121,2235,0,589,1518,4344
2023-09-23,01017,72,0,-78,-40,-49,2305,0,511,1478,4295
2023-10-01,01017,6,0,29,67,103,2313,0,541,1547,4397
2023-11-01,01017,9,0,83,70,160,2321,0,623,1617,4559
2023-12-01,01017,4,0,114,57,174,2325,0,734,1673,4733
2022-01-01,01019,19,-1,16,19,55,272,65,238,301,874
2022-02-01,01019,16,-1,10,27,51,287,64,248,327,928
2022-03-01,01019,23,0,25,24,74,310,64,275,352,1001
2022-04-01,01019,9,0,14,15,39,319,64,289,371,1043
2022-05-01,01019,14,0,-17,-9,-12,334,64,271,362,1030
2022-06-01,01019,18,0,3,9,31,353,64,274,371,1063
2022-07-01,01019,16,-2,1,36,53,370,62,276,406,1117
2022-08-01,01019,21,-2,-5,24,38,391,60,271,430,1155
2022-09-01,01019,16,0,24,9,51,408,60,296,440,1207
2022-10-01,01019,19,-1,7,4,29,426,59,303,446,1235
2022-11-01,01019,10,0,4,21,34,436,59,306,466,1270
2022-12-01,01019,12,-1,-2,43,52,447,58,304,512,1322
2023-01-01,01019,9,-3,18,75,99,456,55,323,584,1424
2023-02-01,01019,25,0,-3,78,100,482,55,320,664,1521
2023-03-01,01019,25,0,-29,57,53,506,55,290,723,1576
2023-04-01,01019,17,0,-14,97,98,523,55,278,819,1675
2023-05-01,01019,20,0,1,83,102,543,55,278,901,1779
2023-06-01,01019,13,-2,3,46,58,558,53,279,947,1837
2023-07-01,01019,11,0,2,60,74,569,53,282,1007,1911
2023-08-01,01019,18,-1,6,42,66,587,52,287,1051,1978
2023-09-23,01019,17,0,-11,8,15,606,52,275,1057,1992
2023-10-01,01019,10,0,-7,40,43,615,52,268,1098,2034
2023-11-01,01019,-12,-1,-7,73,52,603,51,259,1172,2086
2023-12-01,01019,-2,0,-6,69,62,601,51,254,1244,2146
2022-01-01,01021,8,0,19,46,71,111,3,354,495,964
2022-02-01,01021,8,0,13,61,83,118,3,367,558,1046
2022-03-01,01021,6,0,32,48,87,125,3,401,606,1134
2022-04-01,01021,5,0,21,29,55,130,3,421,636,1190
2022-05-01,01021,9,0,-6,-18,-16,139,3,415,617,1176
2022-06-01,01021,7,0,-7,24,24,146,3,408,643,1200
2022-07-01,01021,9,-3,12,47,64,156,0,421,690,1263
2022-08-01,01021,6,0,-4,7,9,162,0,417,694,1274
2022-09-01,01021,5,0,22,35,62,166,0,438,731,1336
2022-10-01,01021,4,0,32,64,100,171,0,469,794,1434
2022-11-01,01021,5,0,9,76,88,176,0,477,870,1520
2022-12-01,01021,5,0,5,52,60,181,0,482,919,1581
2023-01-01,01021,-3,0,37,59,94,178,0,519,980,1674
2023-02-01,01021,11,0,15,129,154,188,0,534,1106,1827
2023-03-01,01021,5,0,-29,92,67,192,0,503,1197,1895
2023-04-01,01021,7,0,-15,75,66,201,0,489,1271,1959
2023-05-01,01021,2,0,10,76,89,202,0,497,1348,2048
2023-06-01,01021,4,0,2,56,63,207,0,502,1405,2110
2023-07-01,01021,2,0,-9,34,26,209,0,491,1438,2136
2023-08-01,01021,9,0,1,74,84,217,0,493,1511,2219
2023-09-23,01021,10,0,-15,-20,-24,227,0,476,1491,2194
2023-10-01,01021,4,0,-19,71,57,232,0,459,1563,2251
2023-11-01,01021,3,0,-37,89,58,235,0,421,1652,2309
2023-12-01,01021,-1,0,-28,99,70,234,0,393,1751,2379
2022-01-01,01023,0,1,4,12,18,7,8,207,266,488
2022-02-01,01023,-1,0,-6,10,3,6,8,202,276,491
2022-03-01,01023,-2,4,51,26,79,4,12,254,302,569
2022-04-01,01023,0,-1,11,4,15,4,11,264,308,587
2022-05-01,01023,0,0,0,-10,-9,4,11,264,299,579
2022-06-01,01023,0,0,18,26,44,4,11,282,325,622
2022-07-01,01023,0,-2,6,26,30,4,9,287,351,651
2022-08-01,01023,-1,0,15,-2,12,3,9,304,349,665
2022-09-01,01023,-1,0,61,2,62,2,9,365,349,724
2022-10-01,01023,1,0,39,-5,36,3,9,404,344,760
2022-11-01,01023,0,0,-5,-2,-7,3,9,399,342,754
2022-12-01,01023,0,0,10,10,20,3,9,409,352,773
2023-01-01,01023,1,0,29,20,50,4,9,439,373,823
2023-02-01,01023,-1,1,-1,25,23,3,10,437,396,847
2023-03-01,01023,-1,-2,-2,22,17,2,8,436,419,864
2023-04-01,01023,0,0,-24,39,15,2,8,411,456,879
2023-05-01,01023,0,0,-12,43,32,2,8,401,500,910
2023-06-01,01023,0,0,-11,52,42,2,8,390,553,953
2023-07-01,01023,0,0,2,32,35,2,8,392,585,986
2023-08-01,01023,0,-1,-12,57,45,2,7,381,640,1031
2023-09-23,01023,0,0,-21,2,-17,2,7,361,643,1013
2023-10-01,01023,0,-1,-16,5,-12,2,6,345,649,1002
2023-11-01,01023,0,0,-20,66,46,2,6,325,714,1046
2023-12-01,01023,0,0,-46,75,29,2,6,279,789,1076
2022-01-01,01025,-5,0,33,48,76,113,34,177,636,961
2022-02-01,01025,-3,1,-6,44,36,110,35,172,680,996
2022-03-01,01025,-95,0,16,115,36,15,35,188,794,1033
2022-04-01,01025,-7,-2,34,212,237,8,34,223,1008,1272
2022-05-01,01025,-3,-1,14,86,96,5,32,237,1094,1368
2022-06-01,01025,-1,-1,39,56,94,4,31,276,1150,1462
2022-07-01,01025,0,-2,24,142,164,4,29,300,1292,1625
2022-08-01,01025,-1,-2,6,176,180,3,27,307,1469,1805
2022-09-01,01025,-1,1,52,16,67,2,28,358,1485,1872
2022-10-01,01025,-1,3,10,-10,2,1,31,368,1474,1873
2022-11-01,01025,-1,4,71,16,91,0,36,440,1489,1965
2022-12-01,01025,0,-1,91,43,135,0,35,531,1534,2099
2023-01-01,01025,0,-1,16,48,63,0,34,547,1580,2162
2023-02-01,01025,0,0,-23,35,12,0,34,526,1615,2174
2023-03-01,01025,1,-3,-16,97,78,1,31,508,1712,2253
2023-04-01,01025,0,0,-19,42,23,1,31,490,1754,2276
2023-05-01,01025,0,0,-8,34,25,1,31,482,1788,2301
2023-06-01,01025,0,0,-13,50,36,1,31,469,1837,2338
2023-07-01,01025,0,0,-12,29,17,1,30,457,1866,2354
2023-08-01,01025,0,1,-17,66,49,1,31,439,1932,2404
2023-09-23,01025,1,0,-29,-177,-205,2,32,410,1755,2199
2023-10-01,01025,0,-1,-7,58,51,2,31,403,1814,2249
2023-11-01,01025,-1,-2,-17,65,45,1,29,386,1880,2295
2023-12-01,01025,0,0,-40,66,26,1,29,346,1945,2321
2022-01-01,01027,15,0,9,8,31,211,2,92,156,463
2022-02-01,01027,9,0,20,16,45,221,2,113,172,508
2022-03-01,01027,8,0,5,12,26,229,2,117,185,534
2022-04-01,01027,14,-1,-1,5,18,242,1,116,191,552
2022-05-01,01027,17,0,-1,-3,12,261,1,114,187,563
2022-06-01,01027,10,0,13,17,41,271,1,126,205,605
2022-07-01,01027,11,-1,12,12,34,283,0,141,216,638
2022-08-01,01027,6,0,2,1,10,290,0,144,219,649
2022-09-01,01027,8,0,-1,4,10,298,0,141,222,659
2022-10-01,01027,10,0,14,7,28,307,0,155,228,688
2022-11-01,01027,-3,0,14,48,58,304,0,171,276,747
2022-12-01,01027,19,0,-5,43,56,323,0,165,318,803
2023-01-01,01027,-4,0,6,25,27,319,0,171,343,831
2023-02-01,01027,25,0,-2,25,49,343,0,167,368,880
2023-03-01,01027,11,0,0,32,43,356,0,165,400,925
2023-04-01,01027,11,0,1,25,37,366,0,166,426,961
2023-05-01,01027,23,0,-12,18,28,389,0,156,444,990
2023-06-01,01027,15,0,-4,28,37,404,0,150,471,1028
2023-07-01,01027,3,0,2,0,6,408,0,153,472,1033
2023-08-01,01027,6,0,9,12,29,414,0,165,484,1061
2023-09-23,01027,13,0,-12,14,15,426,0,153,499,1078
2023-10-01,01027,-1,0,2,29,29,426,0,153,527,1105
2023-11-01,01027,1,0,-9,23,14,425,0,141,550,1119
2023-12-01,01027,-11,0,-20,27,-3,415,0,121,580,1116
2022-01-01,01029,0,0,12,8,21,13,3,133,109,257
2022-02-01,01029,-3,0,7,13,18,11,3,140,121,275
2022-03-01,01029,1,0,8,13,23,12,3,148,136,299
2022-04-01,01029,0,0,-1,11,11,12,3,147,147,309
2022-05-01,01029,0,0,2,-7,-5,11,3,149,139,303
2022-06-01,01029,1,0,-2,10,11,12,3,148,151,314
2022-07-01,01029,1,-1,14,8,22,12,2,162,159,335
2022-08-01,01029,2,0,11,-4,8,14,2,173,154,343
2022-09-01,01029,-1,-1,0,-1,-2,14,1,173,155,342
2022-10-01,01029,0,0,20,7,28,14,1,194,162,370
2022-11-01,01029,0,0,-4,65,61,14,1,190,226,431
2022-12-01,01029,0,0,10,20,31,14,1,200,247,462
2023-01-01,01029,0,0,16,1,17,14,1,216,246,478
2023-02-01,01029,1,0,3,4,8,15,1,219,251,486
2023-03-01,01029,0,0,-14,15,0,15,1,205,266,486
2023-04-01,01029,0,0,-1,28,27,15,1,204,293,512
2023-05-01,01029,1,0,-8,25,16,16,1,195,317,529
2023-06-01,01029,0,0,-16,13,-3,16,1,179,330,526
2023-07-01,01029,0,0,0,18,19,16,1,180,348,545
2023-08-01,01029,0,0,-1,34,32,17,1,178,381,577
2023-09-23,01029,2,0,-8,16,9,18,1,169,396,586
2023-10-01,01029,-1,0,-5,69,63,18,1,165,465,649
2023-11-01,01029,-1,0,6,4,10,17,1,171,470,659
2023-12-01,01029,0,0,-17,24,7,16,1,154,494,665
2022-01-01,01031,87,0,31,48,166,1101,2,503,676,2284
2022-02-01,01031,71,0,-17,125,177,1171,1,487,800,2461
2022-03-01,01031,54,0,25,34,112,1226,1,510,836,2575
2022-04-01,01031,48,0,11,96,155,1273,1,521,932,2728
2022-05-01,01031,74,0,28,-34,67,1348,1,547,898,2795
2022-06-01,01031,58,0,-10,24,73,1406,1,537,924,2870
2022-07-01,01031,82,0,-20,19,78,1489,1,517,944,2951
2022-08-01,01031,78,0,-15,26,89,1568,1,498,973,3039
2022-09-01,01031,54,0,53,0,107,1623,1,552,971,3147
2022-10-01,01031,20,0,140,-9,153,1642,1,695,964,3302
2022-11-01,01031,16,0,-35,-3,-24,1658,1,662,959,3279
2022-12-01,01031,43,0,-2,70,113,1701,1,660,1029,3391
2023-01-01,01031,-43,0,91,21,70,1659,1,751,1053,3461
2023-02-01,01031,48,0,26,67,140,1707,1,778,1119,3602
2023-03-01,01031,41,0,-8,103,138,1749,1,769,1222,3740
2023-04-01,01031,50,0,-32,117,134,1800,1,736,1341,3877
2023-05-01,01031,44,0,-34,83,92,1844,1,701,1424,3968
2023-06-01,01031,54,0,-29,77,99,1898,1,669,1502,4069
2023-07-01,01031,28,0,-30,88,88,1927,1,639,1590,4157
2023-08-01,01031,76,0,-22,62,116,2003,1,617,1653,4273
2023-09-23,01031,68,0,-33,-4,31,2072,1,583,1651,4305
2023-10-01,01031,52,0,-29,46,70,2125,1,553,1694,4374
2023-11-01,01031,29,0,-38,54,42,2152,1,515,1750,4418
2023-12-01,01031,-9,0,21,91,102,2143,1,536,1841,4519
2022-01-01,01033,41,0,37,65,143,354,1,585,756,1697
2022-02-01,01033,20,0,44,44,108,373,1,629,800,1805
2022-03-01,01033,-26,0,69,402,445,347,1,699,1204,2250
2022-04-01,01033,-12,0,23,143,154,335,1,721,1347,2404
2022-05-01,01033,-11,0,-19,135,105,324,1,702,1481,2508
2022-06-01,01033,-1,0,-35,96,60,323,1,667,1577,2568
2022-07-01,01033,4,0,6,128,138,327,1,673,1705,2707
2022-08-01,01033,-15,0,0,-3,-19,312,1,673,1703,2687
2022-09-01,01033,-9,0,105,80,175,303,1,777,1782,2863
2022-10-01,01033,-5,0,61,39,96,297,1,839,1822,2959
2022-11-01,01033,-7,0,-19,3,-24,290,1,819,1824,2935
2022-12-01,01033,-96,0,17,73,-7,194,1,836,1896,2928
2023-01-01,01033,-20,0,17,81,77,174,1,854,1978,3005
2023-02-01,01033,1,0,-5,86,81,175,1,848,2063,3087
2023-03-01,01033,5,0,-34,97,68,179,1,813,2160,3154
2023-04-01,01033,4,0,-33,56,27,182,1,781,2216,3181
2023-05-01,01033,5,0,-24,102,83,188,1,757,2318,3266
2023-06-01,01033,0,0,-17,112,95,188,1,740,2431,3361
2023-07-01,01033,-3,0,-7,88,78,186,1,733,2519,3439
2023-08-01,01033,0,0,-3,173,169,185,1,728,2693,3608
2023-09-23,01033,-17,0,-22,49,11,168,1,706,2742,3618
2023-10-01,01033,-3,-1,-30,92,58,166,0,677,2834,3676
2023-11-01,01033,2,0,-43,92,49,167,0,634,2926,3726
2023-12-01,01033,4,0,-31,139,112,171,0,602,3065,3838
2022-01-01,01035,0,0,12,12,24,52,2,283,238,573
2022-02-01,01035,-3,0,52,14,63,49,2,336,253,639
2022-03-01,01035,-44,0,4,38,0,5,2,340,290,638
2022-04-01,01035,-1,-1,5,19,23,5,1,346,309,658
2022-05-01,01035,0,0,-11,-8,-19,5,1,334,301,642
2022-06-01,01035,0,0,-58,23,-37,5,1,276,324,607
2022-07-01,01035,0,0,41,54,99,5,1,318,383,706
2022-08-01,01035,-1,0,-32,20,-13,4,1,285,401,692
2022-09-01,01035,1,0,-1,28,29,5,1,286,429,721
2022-10-01,01035,0,0,-29,36,9,6,1,258,466,731
2022-11-01,01035,0,0,10,39,50,5,1,270,504,778
2022-12-01,01035,-1,0,5,47,53,4,1,275,555,833
2023-01-01,01035,1,0,2,44,49,5,1,277,597,879
2023-02-01,01035,0,0,-7,87,81,5,1,271,684,961
