puma22,metdiv20,stab,MetDivName,PUMA22name,pop20,afact
0102000,99999,AL,[not in any metro division],"Tallapoosa, Chambers, Macon, Coosa & Bullock Counties",116359,1 
0102101,99999,AL,[not in any metro division],Lee County (West)--Auburn & Opelika Cities,127904,1 
0102201,99999,AL,[not in any metro division],Lee (East) & Russell Counties--Phenix City & Smiths Station Cities,105520,1 
0102300,99999,AL,[not in any metro division],"Houston, Geneva & Henry Counties--Dothan City",151007,1 
0102400,99999,AL,[not in any metro division],Coffee & Dale Counties,102791,1 
0102500,99999,AL,[not in any metro division],"Covington, Pike, Barbour, Butler & Crenshaw Counties",128047,1 
0102600,99999,AL,[not in any metro division],Southwest Alabama,129866,1 
0102701,99999,AL,[not in any metro division],"Baldwin County (North)--Daphne, Fairhope & Spanish Fort Cities",118618,1 
0102702,99999,AL,[not in any metro division],"Baldwin County (South)--Foley, Gulf Shores & Robertsdale Cities",113149,1 
0102801,99999,AL,[not in any metro division],Mobile County (Outer)--Prichard & Saraland Cities,139133,1 
0102802,99999,AL,[not in any metro division],Mobile City (West) & Tillmans Corner CDP,129797,1 
0102803,99999,AL,[not in any metro division],Mobile City (East),145879,1 
0200101,99999,AK,[not in any metro division],Anchorage Municipality (North),131989,1 
0200102,99999,AK,[not in any metro division],Anchorage Municipality (South),159258,1 
0200200,99999,AK,[not in any metro division],Matanuska-Susitna & Kenai Peninsula Boroughs,165880,1 
0200300,99999,AK,[not in any metro division],"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",163324,1 
0200400,99999,AK,[not in any metro division],Subsistence Alaska,112940,1 
0400101,99999,AZ,[not in any metro division],Maricopa County--Mesa City (East),185881,1 
0400102,99999,AZ,[not in any metro division],Maricopa County--Mesa City (North Central),144062,1 
0400103,99999,AZ,[not in any metro division],Maricopa County--Mesa City (West),120951,1 
0400104,99999,AZ,[not in any metro division],Maricopa County--Mesa City (South Central),106653,1 
0400105,99999,AZ,[not in any metro division],Maricopa County--Gilbert Town (North),165935,1 
0400106,99999,AZ,[not in any metro division],Maricopa County--Chandler City (Northeast),122710,1 
0400107,99999,AZ,[not in any metro division],Maricopa County--Chandler City (South),128103,1 
0400108,99999,AZ,[not in any metro division],Maricopa County--Tempe (South) & Chandler (Northwest) Cities,107998,1 
0400109,99999,AZ,[not in any metro division],Maricopa County--Tempe City (North),108516,1 
0400110,99999,AZ,[not in any metro division],Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,128498,1 
0400111,99999,AZ,[not in any metro division],Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,111602,1 
0400112,99999,AZ,[not in any metro division],"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",130727,1 
0400113,99999,AZ,[not in any metro division],Phoenix City (Northeast),104693,1 
0400114,99999,AZ,[not in any metro division],Phoenix City (Northeast Central),111355,1 
0400115,99999,AZ,[not in any metro division],Phoenix City (Northwest Central),109655,1 
0400116,99999,AZ,[not in any metro division],Phoenix City (Uptown),110648,1 
0400117,99999,AZ,[not in any metro division],Phoenix City (East),109946,1 
0400118,99999,AZ,[not in any metro division],Phoenix City--Downtown & Sky Harbor International Airport,116146,1 
0400119,99999,AZ,[not in any metro division],Phoenix City (South),117231,1 
0400120,99999,AZ,[not in any metro division],Phoenix City--Ahwatukee & South Mountain,108700,1 
0400121,99999,AZ,[not in any metro division],Phoenix (Southwest) & Tolleson Cities,166779,1 
0400122,99999,AZ,[not in any metro division],Phoenix City--Maryvale (East),102202,1 
0400123,99999,AZ,[not in any metro division],Phoenix City--Maryvale (West),115847,1 
0400124,99999,AZ,[not in any metro division],Maricopa County--Glendale City (South),114445,1 
0400125,99999,AZ,[not in any metro division],Phoenix City (West),114546,1 
0400126,99999,AZ,[not in any metro division],Maricopa County--Glendale City (North),129933,1 
0400127,99999,AZ,[not in any metro division],Maricopa County--Peoria City (South & Central),121259,1 
0400128,99999,AZ,[not in any metro division],Phoenix City (North),110257,1 
0400129,99999,AZ,[not in any metro division],Phoenix (Far North) & Peoria (Northwest) Cities,140573,1 
0400130,99999,AZ,[not in any metro division],Maricopa County--El Mirage & Sun City,126627,1 
0400131,99999,AZ,[not in any metro division],Maricopa County--Surprise City (Central),123399,1 
0400132,99999,AZ,[not in any metro division],"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",146751,1 
0400133,99999,AZ,[not in any metro division],Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,122883,1 
0400134,99999,AZ,[not in any metro division],Maricopa County (West) & Gila River Indian Community (Northwest),168686,1 
0400135,99999,AZ,[not in any metro division],Maricopa County--Gilbert (South) & Queen Creek Towns,166371,1 
0400400,99999,AZ,[not in any metro division],"Gila, Graham, Greenlee Counties",101368,1 
0400500,99999,AZ,[not in any metro division],Coconino County,145101,1 
0400601,99999,AZ,[not in any metro division],Mohave County North--City of Kingman & Bullhead City,111199,1 
0400602,99999,AZ,[not in any metro division],Mohave County South--Lake Havasu City,102068,1 
0400701,99999,AZ,[not in any metro division],"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",106732,1 
0400803,99999,AZ,[not in any metro division],Pinal County (North)--Apache Junction City,147577,1 
0400805,99999,AZ,[not in any metro division],"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",122686,1 
0400807,99999,AZ,[not in any metro division],"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",144191,1 
0400900,99999,AZ,[not in any metro division],Cochise & Santa Cruz Counties--Sierra Vista City,173116,1 
0401000,99999,AZ,[not in any metro division],Navajo & Apache Counties,172738,1 
0401101,99999,AZ,[not in any metro division],Yuma County--Yuma City,113706,1 
0401901,99999,AZ,[not in any metro division],Pima County (West),111360,1 
0401902,99999,AZ,[not in any metro division],Tucson City (West) & Marana Town,137371,1 
0401903,99999,AZ,[not in any metro division],Pima County (North Central)--Oro Valley Town,116541,1 
0401904,99999,AZ,[not in any metro division],Pima County (Northeast),109666,1 
0401905,99999,AZ,[not in any metro division],Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,111121,1 
0401906,99999,AZ,[not in any metro division],Tucson City (Northeast),113591,1 
0401907,99999,AZ,[not in any metro division],Tucson City (Northwest),116589,1 
0401908,99999,AZ,[not in any metro division],Tucson City (South),115015,1 
0401909,99999,AZ,[not in any metro division],Tucson City (Southeast),122989,1 
0402502,99999,AZ,[not in any metro division],Yavapai Urban,135474,1 
0402503,99999,AZ,[not in any metro division],Yavapai Rural,100735,1 
0500101,99999,AR,[not in any metro division],Benton County (Outer),171025,1 
0500102,99999,AR,[not in any metro division],Benton County (Central)--Bentonville & Rogers Cities,113308,1 
0500201,99999,AR,[not in any metro division],Washington County (Outer)--Springdale City,140215,1 
0500202,99999,AR,[not in any metro division],Washington County (Central)--Fayetteville City,105656,1 
0500300,99999,AR,[not in any metro division],"Baxter, Boone & Carroll Counties",155660,1 
0500400,99999,AR,[not in any metro division],"Independence, Cleburne & Van Buren Counties",116456,1 
0500500,99999,AR,[not in any metro division],Northeast Arkansas,112346,1 
0500600,99999,AR,[not in any metro division],East Arkansas,153939,1 
0500700,99999,AR,[not in any metro division],Craighead & Poinsett Counties,134196,1 
0500800,99999,AR,[not in any metro division],"White, Lonoke & Woodruff Counties",114927,1 
0500900,99999,AR,[not in any metro division],Faulkner & Lonoke Counties,197513,1 
0501000,99999,AR,[not in any metro division],"Pope, Johnson & Conway Counties",130108,1 
0501100,99999,AR,[not in any metro division],"Sebastian, Crawford & Franklin Counties",205029,1 
0501200,99999,AR,[not in any metro division],West Arkansas,133438,1 
0501300,99999,AR,[not in any metro division],West Central Arkansas,173321,1 
0501400,99999,AR,[not in any metro division],"Saline, Grant & Perry Counties",151393,1 
0501501,99999,AR,[not in any metro division],"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",200774,1 
0501502,99999,AR,[not in any metro division],Pulaski County (Central)--Little Rock City,198351,1 
0501600,99999,AR,[not in any metro division],Southeast Arkansas,173460,1 
0501700,99999,AR,[not in any metro division],Southwest Arkansas,130409,1 
0600101,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (North)--Berkeley & Albany Cities,144592,1 
0600111,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland),106433,1 
0600112,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (Northwest)--Oakland City (Oakland Hills),106896,1 
0600113,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland),125840,1 
0600114,36084,CA,"Oakland-Berkeley-Livermore, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",194852,1 
0600115,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (Northwest)--Castro Valley & Ashland,107913,1 
0600116,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (Central)--Hayward City (East),102035,1 
0600117,36084,CA,"Oakland-Berkeley-Livermore, CA","Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",105721,1 
0600118,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (South)--Fremont (Northeast) & Union City (East) Cities,125765,1 
0600119,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (Central)--Pleasanton & Dublin (West) Cities,126178,1 
0600120,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (East)--Livermore & Dublin (East) Cities,118663,1 
0600121,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (South)--Fremont City (Southeast),115687,1 
0600122,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (West)--Hayward City (West),100310,1 
0600123,36084,CA,"Oakland-Berkeley-Livermore, CA",Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale),101468,1 
0600300,99999,CA,[not in any metro division],"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",191932,1 
0600700,99999,CA,[not in any metro division],Butte County--Chico City,211632,1 
0601100,99999,CA,[not in any metro division],"Colusa, Glenn, Tehama & Trinity Counties",132697,1 
0601301,36084,CA,"Oakland-Berkeley-Livermore, CA",Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,129420,1 
0601305,36084,CA,"Oakland-Berkeley-Livermore, CA",Contra Costa County (South)--San Ramon City & Danville Town,143688,1 
0601308,36084,CA,"Oakland-Berkeley-Livermore, CA",Contra Costa County (Northeast)--Antioch City,120154,1 
0601309,36084,CA,"Oakland-Berkeley-Livermore, CA",Contra Costa County (East)--Brentwood & Oakley Cities,125676,1 
0601310,36084,CA,"Oakland-Berkeley-Livermore, CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",140962,1 
0601311,36084,CA,"Oakland-Berkeley-Livermore, CA","Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",122701,1 
0601312,36084,CA,"Oakland-Berkeley-Livermore, CA","Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",103075,1 
0601313,36084,CA,"Oakland-Berkeley-Livermore, CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",177708,1 
0601314,36084,CA,"Oakland-Berkeley-Livermore, CA",Contra Costa County (North)--Pittsburg & Concord (North) Cities,102543,1 
0601500,99999,CA,[not in any metro division],"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",133039,1 
0601700,99999,CA,[not in any metro division],"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",191185,1 
0601901,99999,CA,[not in any metro division],"Fresno County (West)--Selma, Kerman & Coalinga Cities",147233,1 
0601902,99999,CA,[not in any metro division],Fresno County (North Central)--Fresno City (North),190983,1 
0601903,99999,CA,[not in any metro division],Fresno County (Central)--Fresno City (East Central),110562,1 
0601904,99999,CA,[not in any metro division],Fresno County (Central)--Fresno City (Southwest),180060,1 
0601905,99999,CA,[not in any metro division],Fresno County (Central)--Fresno City (Southeast),116597,1 
0601906,99999,CA,[not in any metro division],Fresno County (Central)--Clovis City,129784,1 
0601907,99999,CA,[not in any metro division],"Fresno County (East)--Sanger, Reedley & Parlier Cities",133435,1 
0602300,99999,CA,[not in any metro division],Humboldt County,136463,1 
0602500,99999,CA,[not in any metro division],Imperial County--El Centro City,179702,1 
0602903,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Northeast),168325,1 
0602904,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Southeast),113912,1 
0602905,99999,CA,[not in any metro division],"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",192671,1 
0602906,99999,CA,[not in any metro division],"Kern County (West)--Delano, Wasco & Shafter Cities",157085,1 
0602907,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Northwest) & Rosedale,107020,1 
0602908,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Southwest),170222,1 
0603100,99999,CA,[not in any metro division],Kings County--Hanford City,152486,1 
0603300,99999,CA,[not in any metro division],Lake & Mendocino Counties,159764,1 
0603703,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North Central)--Lancaster City,180992,1 
0603704,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North Central)--Palmdale City,187217,1 
0603705,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),179412,1 
0603706,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),143024,1 
0603707,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,149090,1 
0603708,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",137084,1 
0603709,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--San Gabriel Valley Region (North),111527,1 
0603710,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",181086,1 
0603711,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",164821,1 
0603712,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--Pomona City,151939,1 
0603713,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--Covina & Walnut Cities,115271,1 
0603714,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",107378,1 
0603715,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--West Covina City,120624,1 
0603716,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--La Puente & Industry Cities,104622,1 
0603717,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",190304,1 
0603718,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Pasadena City,136675,1 
0603719,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Glendale City,196543,1 
0603720,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Burbank City,122786,1 
0603721,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village),135948,1 
0603722,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),166269,1 
0603723,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM,142813,1 
0603724,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),174337,1 
0603725,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",182789,1 
0603728,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southwest)--Santa Monica City,106835,1 
0603730,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),167510,1 
0603731,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,109232,1 
0603732,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (East Central & Hollywood),172212,1 
0603733,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Central/Koreatown),113324,1 
0603734,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",192514,1 
0603735,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",183205,1 
0603736,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Alhambra & South Pasadena Cities,115745,1 
0603737,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Monterey Park & Rosemead Cities,126123,1 
0603738,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--El Monte & South El Monte Cities,127671,1 
0603739,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Whittier City & Hacienda Heights,171513,1 
0603740,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Pico Rivera & Montebello Cities,127928,1 
0603741,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",133387,1 
0603742,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",128584,1 
0603743,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--East Los Angeles,116045,1 
0603744,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM,190188,1 
0603745,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Southeast/East Vernon),121879,1 
0603746,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park),109171,1 
0603747,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills),164789,1 
0603748,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities,189044,1 
0603750,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--LA City (South Central/Westmont),178716,1 
0603751,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--LA City (South Central/Watts),158065,1 
0603752,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--South Gate & Lynwood Cities,166850,1 
0603753,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--Downey City,112920,1 
0603754,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities,135779,1 
0603757,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Compton City & West Rancho Dominquez,158642,1 
0603758,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",157965,1 
0603759,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Hawthorne City,115060,1 
0603760,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",144082,1 
0603761,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Torrance City,127249,1 
0603762,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Carson City,119407,1 
0603763,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Long Beach City (North),145286,1 
0603764,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUM",162735,1 
0603766,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--Long Beach City (Southwest & Port),102364,1 
0603767,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--LA City (South/San Pedro),179879,1 
0603768,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southwest)--Palos Verdes Peninsula,112382,1 
0603770,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",101081,1 
0603771,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--Santa Clarita City (South),109406,1 
0603772,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North/Unincorporated)--Castaic,103912,1 
0603773,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--Santa Clarita City (North),127759,1 
0603774,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",141081,1 
0603775,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Central),116054,1 
0603776,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles),106278,1 
0603778,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Inglewood City,111631,1 
0603779,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Long Beach City (East),118467,1 
0603780,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities,113902,1 
0603781,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Norwalk City,104684,1 
0603782,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Bellflower & Paramount Cities,132923,1 
0603900,99999,CA,[not in any metro division],Madera County--Madera City,156255,1 
0604103,42034,CA,"San Rafael, CA",Marin County (North & West)--Novato & San Rafael (North) Cities,103006,1 
0604104,42034,CA,"San Rafael, CA","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",159315,1 
0604701,99999,CA,[not in any metro division],Merced County (West & South)--Los Banos & Livingston Cities,116427,1 
0604702,99999,CA,[not in any metro division],Merced County (Northeast)--Merced & Atwater Cities,164775,1 
0605301,99999,CA,[not in any metro division],"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUM",183635,1 
0605302,99999,CA,[not in any metro division],Monterey County (Northeast)--Salinas City,177254,1 
0605303,99999,CA,[not in any metro division],Monterey (South & East) & San Benito Counties,142355,1 
0605500,99999,CA,[not in any metro division],"Napa County--Napa, American Canyon & St. Helena Cities",138019,1 
0605700,99999,CA,[not in any metro division],Nevada & Sierra Counties,105477,1 
0605906,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (North)--Yorba Linda, La Habra & Brea Cities",191861,1 
0605907,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (North Central)--Fullerton & Placentia Cities,197785,1 
0605908,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities",185233,1 
0605909,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (North Central)--Anaheim City (West),147609,1 
0605912,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities",170318,1 
0605913,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Northwest)--Garden Grove City (East),160453,1 
0605914,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Northwest)--Huntington Beach City,196817,1 
0605916,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Santa Ana City (West),145406,1 
0605917,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Santa Ana City (East),156226,1 
0605918,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Costa Mesa & Fountain Valley Cities,180550,1 
0605919,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (North Central)--Anaheim City (East),195610,1 
0605920,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Orange & Villa Park Cities,146112,1 
0605921,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado",141087,1 
0605922,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Irvine (Northwest) & Tustin Cities,126879,1 
0605923,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Irvine City (Central),142279,1 
