metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
99999,0,0,0,0,0,0,0,0,0,0,4356,0,0,0,0,0,0,66
99999,0,0,0,0,0,0,0,0,0,0,4356,0,0,0,4356,0,0,132
99999,0,0,0,0,0,0,0,0,0,0,4489,0,0,0,0,0,-1980,67
99999,0,0,0,0,0,0,0,0,0,0,4489,0,0,0,0,0,83,67
99999,0,0,0,0,0,0,0,0,0,0,4489,0,0,4489,4489,0,0,67
99999,0,0,0,0,0,0,0,0,0,0,4624,0,0,4624,0,0,0,68
99999,0,0,0,0,0,0,0,0,0,0,4624,4624,0,4624,0,0,63,68
99999,0,0,0,0,0,0,0,0,0,0,4761,0,0,0,0,0,0,138
99999,0,0,0,0,0,0,0,0,0,0,4761,0,0,0,4761,4761,0,69
99999,0,0,0,0,0,0,0,0,0,0,4761,4761,0,0,0,0,10,69
99999,0,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,0,70
99999,0,0,0,0,0,0,0,0,0,0,4900,0,4900,4900,0,0,0,70
99999,0,0,0,0,0,0,0,0,0,0,4900,4900,0,0,0,0,25015,70
99999,0,0,0,0,0,0,0,0,0,0,5041,0,0,0,0,0,0,142
99999,0,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,0,72
99999,0,0,0,0,0,0,0,0,0,0,5184,0,0,5184,0,0,21,72
99999,0,0,0,0,0,0,0,0,0,0,5625,0,0,0,0,0,0,75
99999,0,0,0,0,0,0,0,0,0,0,5625,0,0,5625,0,0,0,75
99999,0,0,0,0,0,0,0,0,0,0,5625,0,0,5625,5625,0,0,75
99999,0,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,0,76
99999,0,0,0,0,0,0,0,0,0,0,5929,0,0,5929,0,0,0,77
99999,0,0,0,0,0,0,0,0,0,0,5929,0,0,5929,5929,0,0,77
99999,0,0,0,0,0,0,0,0,0,0,6084,0,0,0,0,0,0,78
99999,0,0,0,0,0,0,0,0,0,0,6241,0,0,6241,0,0,0,79
99999,0,0,0,0,0,0,0,0,0,0,6400,0,0,0,0,0,104,80
99999,0,0,0,0,0,0,0,0,0,0,6889,0,0,0,0,0,0,83
99999,0,0,0,0,0,0,0,0,0,0,6889,0,0,0,6889,0,0,83
99999,0,0,0,0,0,0,0,0,0,0,6889,0,0,6889,0,0,0,83
99999,0,0,0,0,0,0,0,0,0,0,6889,6889,0,6889,0,0,0,83
99999,0,0,0,0,0,0,0,0,0,0,7056,0,0,0,0,0,0,84
