puma22,metdiv23,stab,MetDivName,PUMA22name,hus20,afact
0401904,99999,AZ,[not in any metro division],Pima County (Northeast),55924,1 
0401905,99999,AZ,[not in any metro division],Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,45716,1 
0401906,99999,AZ,[not in any metro division],Tucson City (Northeast),60365,1 
0401907,99999,AZ,[not in any metro division],Tucson City (Northwest),57618,1 
0401908,99999,AZ,[not in any metro division],Tucson City (South),42651,1 
0401909,99999,AZ,[not in any metro division],Tucson City (Southeast),51861,1 
0402502,99999,AZ,[not in any metro division],Yavapai Urban,67531,1 
0402503,99999,AZ,[not in any metro division],Yavapai Rural,53623,1 
0500101,99999,AR,[not in any metro division],Benton County (Outer),67886,1 
0500102,99999,AR,[not in any metro division],Benton County (Central)--Bentonville & Rogers Cities,45202,1 
0500201,99999,AR,[not in any metro division],Washington County (Outer)--Springdale City,52697,1 
0500202,99999,AR,[not in any metro division],Washington County (Central)--Fayetteville City,47811,1 
0500300,99999,AR,[not in any metro division],"Baxter, Boone & Carroll Counties",79783,1 
0500400,99999,AR,[not in any metro division],"Independence, Cleburne & Van Buren Counties",61552,1 
0500500,99999,AR,[not in any metro division],Northeast Arkansas,52179,1 
0500600,99999,AR,[not in any metro division],East Arkansas,69526,1 
0500700,99999,AR,[not in any metro division],Craighead & Poinsett Counties,57066,1 
0500800,99999,AR,[not in any metro division],"White, Lonoke & Woodruff Counties",51498,1 
0500900,99999,AR,[not in any metro division],Faulkner & Lonoke Counties,81797,1 
0501000,99999,AR,[not in any metro division],"Pope, Johnson & Conway Counties",57269,1 
0501100,99999,AR,[not in any metro division],"Sebastian, Crawford & Franklin Counties",89765,1 
0501200,99999,AR,[not in any metro division],West Arkansas,62922,1 
0501300,99999,AR,[not in any metro division],West Central Arkansas,87206,1 
0501400,99999,AR,[not in any metro division],"Saline, Grant & Perry Counties",64651,1 
0501501,99999,AR,[not in any metro division],"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",93564,1 
0501502,99999,AR,[not in any metro division],Pulaski County (Central)--Little Rock City,96947,1 
0501600,99999,AR,[not in any metro division],Southeast Arkansas,80782,1 
0501700,99999,AR,[not in any metro division],Southwest Arkansas,65162,1 
0600101,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (North)--Berkeley & Albany Cities,60238,1 
0600111,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland),51987,1 
0600112,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (Northwest)--Oakland City (Oakland Hills),49256,1 
0600113,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland),39189,1 
0600114,36084,CA,"Oakland-Fremont-Berkeley, CA","Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",77893,1 
0600115,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (Northwest)--Castro Valley & Ashland,37986,1 
0600116,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (Central)--Hayward City (East),34518,1 
0600117,36084,CA,"Oakland-Fremont-Berkeley, CA","Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",32772,1 
0600118,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (South)--Fremont (Northeast) & Union City (East) Cities,43143,1 
0600119,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (Central)--Pleasanton & Dublin (West) Cities,46125,1 
0600120,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (East)--Livermore & Dublin (East) Cities,42383,1 
0600121,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (South)--Fremont City (Southeast),38440,1 
0600122,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (West)--Hayward City (West),29996,1 
0600123,36084,CA,"Oakland-Fremont-Berkeley, CA",Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale),38032,1 
0600300,99999,CA,[not in any metro division],"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",112000,1 
0600700,99999,CA,[not in any metro division],Butte County--Chico City,90133,1 
0601100,99999,CA,[not in any metro division],"Colusa, Glenn, Tehama & Trinity Counties",54518,1 
0601301,36084,CA,"Oakland-Fremont-Berkeley, CA",Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,42801,1 
0601305,36084,CA,"Oakland-Fremont-Berkeley, CA",Contra Costa County (South)--San Ramon City & Danville Town,50578,1 
0601308,36084,CA,"Oakland-Fremont-Berkeley, CA",Contra Costa County (Northeast)--Antioch City,38313,1 
0601309,36084,CA,"Oakland-Fremont-Berkeley, CA",Contra Costa County (East)--Brentwood & Oakley Cities,42473,1 
0601310,36084,CA,"Oakland-Fremont-Berkeley, CA","Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",53012,1 
0601311,36084,CA,"Oakland-Fremont-Berkeley, CA","Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",48348,1 
0601312,36084,CA,"Oakland-Fremont-Berkeley, CA","Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",42997,1 
0601313,36084,CA,"Oakland-Fremont-Berkeley, CA","Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",72740,1 
0601314,36084,CA,"Oakland-Fremont-Berkeley, CA",Contra Costa County (North)--Pittsburg & Concord (North) Cities,32080,1 
0601500,99999,CA,[not in any metro division],"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",66383,1 
0601700,99999,CA,[not in any metro division],"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",93467,1 
0601901,99999,CA,[not in any metro division],"Fresno County (West)--Selma, Kerman & Coalinga Cities",41636,1 
0601902,99999,CA,[not in any metro division],Fresno County (North Central)--Fresno City (North),74876,1 
0601903,99999,CA,[not in any metro division],Fresno County (Central)--Fresno City (East Central),36059,1 
0601904,99999,CA,[not in any metro division],Fresno County (Central)--Fresno City (Southwest),58914,1 
0601905,99999,CA,[not in any metro division],Fresno County (Central)--Fresno City (Southeast),33529,1 
0601906,99999,CA,[not in any metro division],Fresno County (Central)--Clovis City,47060,1 
0601907,99999,CA,[not in any metro division],"Fresno County (East)--Sanger, Reedley & Parlier Cities",46367,1 
0602300,99999,CA,[not in any metro division],Humboldt County,62120,1 
0602500,99999,CA,[not in any metro division],Imperial County--El Centro City,56625,1 
0602903,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Northeast),54815,1 
0602904,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Southeast),32339,1 
0602905,99999,CA,[not in any metro division],"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",77722,1 
0602906,99999,CA,[not in any metro division],"Kern County (West)--Delano, Wasco & Shafter Cities",42947,1 
0602907,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Northwest) & Rosedale,36251,1 
0602908,99999,CA,[not in any metro division],Kern County (Central)--Bakersfield City (Southwest),56935,1 
0603100,99999,CA,[not in any metro division],Kings County--Hanford City,46287,1 
0603300,99999,CA,[not in any metro division],Lake & Mendocino Counties,75590,1 
0603703,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North Central)--Lancaster City,58774,1 
0603704,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North Central)--Palmdale City,55275,1 
0603705,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),63913,1 
0603706,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),43122,1 
0603707,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,37094,1 
0603708,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",43886,1 
0603709,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--San Gabriel Valley Region (North),42506,1 
0603710,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",53348,1 
0603711,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",59413,1 
0603712,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--Pomona City,43414,1 
0603713,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--Covina & Walnut Cities,36947,1 
0603714,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",35730,1 
0603715,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--West Covina City,35701,1 
0603716,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (East Central)--La Puente & Industry Cities,26336,1 
0603717,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",67740,1 
0603718,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Pasadena City,61121,1 
0603719,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Glendale City,80193,1 
0603720,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Burbank City,53306,1 
0603721,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village),57793,1 
0603722,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),63643,1 
0603723,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM,40788,1 
0603724,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),64373,1 
0603725,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",68736,1 
0603728,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southwest)--Santa Monica City,60116,1 
0603730,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),80105,1 
0603731,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,66882,1 
0603732,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (East Central & Hollywood),88520,1 
0603733,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Central/Koreatown),51934,1 
0603734,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",82065,1 
0603735,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",65320,1 
0603736,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Alhambra & South Pasadena Cities,44974,1 
0603737,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Monterey Park & Rosemead Cities,40600,1 
0603738,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--El Monte & South El Monte Cities,34507,1 
0603739,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Whittier City & Hacienda Heights,55923,1 
0603740,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Pico Rivera & Montebello Cities,38578,1 
0603741,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",35734,1 
0603742,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",33422,1 
0603743,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--East Los Angeles,31685,1 
0603744,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM,78759,1 
0603745,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Southeast/East Vernon),29557,1 
0603746,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park),35811,1 
0603747,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills),64754,1 
0603748,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities,93362,1 
0603750,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--LA City (South Central/Westmont),54125,1 
0603751,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--LA City (South Central/Watts),39783,1 
0603752,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--South Gate & Lynwood Cities,42569,1 
0603753,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--Downey City,35679,1 
0603754,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities,41264,1 
0603757,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Compton City & West Rancho Dominquez,40941,1 
0603758,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",53905,1 
0603759,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Hawthorne City,39552,1 
0603760,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",63531,1 
0603761,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Torrance City,50106,1 
0603762,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Carson City,36024,1 
0603763,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South Central)--Long Beach City (North),47001,1 
0603764,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUM",52886,1 
0603766,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--Long Beach City (Southwest & Port),38578,1 
0603767,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (South)--LA City (South/San Pedro),63449,1 
0603768,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southwest)--Palos Verdes Peninsula,46312,1 
0603770,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",49649,1 
0603771,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--Santa Clarita City (South),37753,1 
0603772,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (North/Unincorporated)--Castaic,34113,1 
0603773,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Northwest)--Santa Clarita City (North),43383,1 
0603774,31084,CA,"Los Angeles-Long Beach-Glendale, CA","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",62017,1 
0603775,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--LA City (Central),57144,1 
0603776,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles),47599,1 
0603778,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Central)--Inglewood City,40521,1 
0603779,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Long Beach City (East),51742,1 
0603780,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities,47503,1 
0603781,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Norwalk City,29011,1 
0603782,31084,CA,"Los Angeles-Long Beach-Glendale, CA",Los Angeles County (Southeast)--Bellflower & Paramount Cities,40081,1 
0603900,99999,CA,[not in any metro division],Madera County--Madera City,49572,1 
0604103,42034,CA,"San Rafael, CA",Marin County (North & West)--Novato & San Rafael (North) Cities,44113,1 
0604104,42034,CA,"San Rafael, CA","Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",67451,1 
0604701,99999,CA,[not in any metro division],Merced County (West & South)--Los Banos & Livingston Cities,35015,1 
0604702,99999,CA,[not in any metro division],Merced County (Northeast)--Merced & Atwater Cities,52768,1 
0605301,99999,CA,[not in any metro division],"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUM",75789,1 
0605302,99999,CA,[not in any metro division],Monterey County (Northeast)--Salinas City,48647,1 
0605303,99999,CA,[not in any metro division],Monterey (South & East) & San Benito Counties,39560,1 
0605500,99999,CA,[not in any metro division],"Napa County--Napa, American Canyon & St. Helena Cities",55448,1 
0605700,99999,CA,[not in any metro division],Nevada & Sierra Counties,55754,1 
0605906,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (North)--Yorba Linda, La Habra & Brea Cities",66905,1 
0605907,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (North Central)--Fullerton & Placentia Cities,68440,1 
0605908,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities",66484,1 
0605909,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (North Central)--Anaheim City (West),44821,1 
0605912,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities",52898,1 
0605913,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Northwest)--Garden Grove City (East),44035,1 
0605914,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Northwest)--Huntington Beach City,81685,1 
0605916,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Santa Ana City (West),35743,1 
0605917,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Santa Ana City (East),40708,1 
0605918,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Costa Mesa & Fountain Valley Cities,70498,1 
0605919,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (North Central)--Anaheim City (East),63194,1 
0605920,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Orange & Villa Park Cities,49336,1 
0605921,11244,CA,"Anaheim-Santa Ana-Irvine, CA","Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado",49146,1 
0605922,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Irvine (Northwest) & Tustin Cities,50707,1 
0605923,11244,CA,"Anaheim-Santa Ana-Irvine, CA",Orange County (Central)--Irvine City (Central),53751,1 
