state,puma22,stab,PUMA22name,hus20,afact
04,0400111,AZ,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,59433,1 
04,0400112,AZ,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",65624,1 
04,0400113,AZ,Phoenix City (Northeast),48722,1 
04,0400114,AZ,Phoenix City (Northeast Central),50696,1 
04,0400115,AZ,Phoenix City (Northwest Central),47277,1 
04,0400116,AZ,Phoenix City (Uptown),53568,1 
04,0400117,AZ,Phoenix City (East),55045,1 
04,0400118,AZ,Phoenix City--Downtown & Sky Harbor International Airport,54543,1 
04,0400119,AZ,Phoenix City (South),36389,1 
04,0400120,AZ,Phoenix City--Ahwatukee & South Mountain,44737,1 
04,0400121,AZ,Phoenix (Southwest) & Tolleson Cities,47703,1 
04,0400122,AZ,Phoenix City--Maryvale (East),28824,1 
04,0400123,AZ,Phoenix City--Maryvale (West),33228,1 
04,0400124,AZ,Maricopa County--Glendale City (South),39601,1 
04,0400125,AZ,Phoenix City (West),40321,1 
04,0400126,AZ,Maricopa County--Glendale City (North),50880,1 
04,0400127,AZ,Maricopa County--Peoria City (South & Central),48209,1 
04,0400128,AZ,Phoenix City (North),42808,1 
04,0400129,AZ,Phoenix (Far North) & Peoria (Northwest) Cities,54490,1 
04,0400130,AZ,Maricopa County--El Mirage & Sun City,70059,1 
04,0400131,AZ,Maricopa County--Surprise City (Central),50946,1 
04,0400132,AZ,"Maricopa County--Goodyear, Glendale (West) & Litchfield Park (Northwest) Cities",53237,1 
04,0400133,AZ,Maricopa County--Avondale (Central) & Litchfield Park (Central) Cities,40753,1 
04,0400134,AZ,Maricopa County (West) & Gila River Indian Community (Northwest),61926,1 
04,0400135,AZ,Maricopa County--Gilbert (South) & Queen Creek Towns,53299,1 
04,0400400,AZ,"Gila, Graham, Greenlee Counties",50466,1 
04,0400500,AZ,Coconino County,69108,1 
04,0400601,AZ,Mohave County North--City of Kingman & Bullhead City,57068,1 
04,0400602,AZ,Mohave County South--Lake Havasu City,60582,1 
04,0400701,AZ,"La Paz & Yuma Counties--Parker, Quartzsite, Wellton Somerton & San Luis Cities",55342,1 
04,0400803,AZ,Pinal County (North)--Apache Junction City,65565,1 
04,0400805,AZ,"Pinal County (Central)--Florence Town, Eloy (Northeast) & Coolidge Cities",43611,1 
04,0400807,AZ,"Pinal County (West)--Maricopa, Casa Grande & Eloy (Southeast) Cities",57436,1 
04,0400900,AZ,Cochise & Santa Cruz Counties--Sierra Vista City,77377,1 
04,0401000,AZ,Navajo & Apache Counties,84903,1 
04,0401101,AZ,Yuma County--Yuma City,50163,1 
04,0401901,AZ,Pima County (West),46183,1 
04,0401902,AZ,Tucson City (West) & Marana Town,60851,1 
04,0401903,AZ,Pima County (North Central)--Oro Valley Town,55229,1 
04,0401904,AZ,Pima County (Northeast),55924,1 
04,0401905,AZ,Pima County (Southeast)--Tucson City (Far Southeast) & Sahuarita Town,45716,1 
04,0401906,AZ,Tucson City (Northeast),60365,1 
04,0401907,AZ,Tucson City (Northwest),57618,1 
04,0401908,AZ,Tucson City (South),42651,1 
04,0401909,AZ,Tucson City (Southeast),51861,1 
04,0402502,AZ,Yavapai Urban,67531,1 
04,0402503,AZ,Yavapai Rural,53623,1 
05,0500101,AR,Benton County (Outer),67886,1 
05,0500102,AR,Benton County (Central)--Bentonville & Rogers Cities,45202,1 
05,0500201,AR,Washington County (Outer)--Springdale City,52697,1 
05,0500202,AR,Washington County (Central)--Fayetteville City,47811,1 
05,0500300,AR,"Baxter, Boone & Carroll Counties",79783,1 
05,0500400,AR,"Independence, Cleburne & Van Buren Counties",61552,1 
05,0500500,AR,Northeast Arkansas,52179,1 
05,0500600,AR,East Arkansas,69526,1 
05,0500700,AR,Craighead & Poinsett Counties,57066,1 
05,0500800,AR,"White, Lonoke & Woodruff Counties",51498,1 
05,0500900,AR,Faulkner & Lonoke Counties,81797,1 
05,0501000,AR,"Pope, Johnson & Conway Counties",57269,1 
05,0501100,AR,"Sebastian, Crawford & Franklin Counties",89765,1 
05,0501200,AR,West Arkansas,62922,1 
05,0501300,AR,West Central Arkansas,87206,1 
05,0501400,AR,"Saline, Grant & Perry Counties",64651,1 
05,0501501,AR,"Pulaski County (Outer)--North Little Rock, Sherwood & Jacksonville Cities",93564,1 
05,0501502,AR,Pulaski County (Central)--Little Rock City,96947,1 
05,0501600,AR,Southeast Arkansas,80782,1 
05,0501700,AR,Southwest Arkansas,65162,1 
06,0600101,CA,Alameda County (North)--Berkeley & Albany Cities,60238,1 
06,0600111,CA,Alameda County (Northwest)--Oakland City (Downtown/West Oakland/North Oakland),51987,1 
06,0600112,CA,Alameda County (Northwest)--Oakland City (Oakland Hills),49256,1 
06,0600113,CA,Alameda County (West)--Oakland City (Elmhurst/Central/East Oakland),39189,1 
06,0600114,CA,"Alameda County (West)--San Leandro, Alameda, Emeryville & Piedmont Cities",77893,1 
06,0600115,CA,Alameda County (Northwest)--Castro Valley & Ashland,37986,1 
06,0600116,CA,Alameda County (Central)--Hayward City (East),34518,1 
06,0600117,CA,"Alameda County (South)--Newark, Union City (West) & Fremont (West) Cities",32772,1 
06,0600118,CA,Alameda County (South)--Fremont (Northeast) & Union City (East) Cities,43143,1 
06,0600119,CA,Alameda County (Central)--Pleasanton & Dublin (West) Cities,46125,1 
06,0600120,CA,Alameda County (East)--Livermore & Dublin (East) Cities,42383,1 
06,0600121,CA,Alameda County (South)--Fremont City (Southeast),38440,1 
06,0600122,CA,Alameda County (West)--Hayward City (West),29996,1 
06,0600123,CA,Alameda County (Northwest)--Oakland City (San Antonio/Fruitvale),38032,1 
06,0600300,CA,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",112000,1 
06,0600700,CA,Butte County--Chico City,90133,1 
06,0601100,CA,"Colusa, Glenn, Tehama & Trinity Counties",54518,1 
06,0601301,CA,Contra Costa County (Far Southwest)--Richmond (Southwest) & San Pablo Cities,42801,1 
06,0601305,CA,Contra Costa County (South)--San Ramon City & Danville Town,50578,1 
06,0601308,CA,Contra Costa County (Northeast)--Antioch City,38313,1 
06,0601309,CA,Contra Costa County (East)--Brentwood & Oakley Cities,42473,1 
06,0601310,CA,"Contra Costa County (Far Northwest)--Richmond (North), Hercules & El Cerrito Cities P",53012,1 
06,0601311,CA,"Contra Costa County (West)--Concord (West), Martinez & Pleasant Hill Cities",48348,1 
06,0601312,CA,"Contra Costa County (West)--Walnut Creek (West), Lafayette & Orinda Cities",42997,1 
06,0601313,CA,"Contra Costa County (Central)--Concord (South), Walnut Creek (East) & Clayton Cities",72740,1 
06,0601314,CA,Contra Costa County (North)--Pittsburg & Concord (North) Cities,32080,1 
06,0601500,CA,"Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",66383,1 
06,0601700,CA,"El Dorado County--El Dorado Hills, South Lake Tahoe City & Placerville City",93467,1 
06,0601901,CA,"Fresno County (West)--Selma, Kerman & Coalinga Cities",41636,1 
06,0601902,CA,Fresno County (North Central)--Fresno City (North),74876,1 
06,0601903,CA,Fresno County (Central)--Fresno City (East Central),36059,1 
06,0601904,CA,Fresno County (Central)--Fresno City (Southwest),58914,1 
06,0601905,CA,Fresno County (Central)--Fresno City (Southeast),33529,1 
06,0601906,CA,Fresno County (Central)--Clovis City,47060,1 
06,0601907,CA,"Fresno County (East)--Sanger, Reedley & Parlier Cities",46367,1 
06,0602300,CA,Humboldt County,62120,1 
06,0602500,CA,Imperial County--El Centro City,56625,1 
06,0602903,CA,Kern County (Central)--Bakersfield City (Northeast),54815,1 
06,0602904,CA,Kern County (Central)--Bakersfield City (Southeast),32339,1 
06,0602905,CA,"Kern County (East)--Ridgecrest, Arvin, Tehachapi & California City Cities",77722,1 
06,0602906,CA,"Kern County (West)--Delano, Wasco & Shafter Cities",42947,1 
06,0602907,CA,Kern County (Central)--Bakersfield City (Northwest) & Rosedale,36251,1 
06,0602908,CA,Kern County (Central)--Bakersfield City (Southwest),56935,1 
06,0603100,CA,Kings County--Hanford City,46287,1 
06,0603300,CA,Lake & Mendocino Counties,75590,1 
06,0603703,CA,Los Angeles County (North Central)--Lancaster City,58774,1 
06,0603704,CA,Los Angeles County (North Central)--Palmdale City,55275,1 
06,0603705,CA,Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch),63913,1 
06,0603706,CA,Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar),43122,1 
06,0603707,CA,Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities,37094,1 
06,0603708,CA,"Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",43886,1 
06,0603709,CA,Los Angeles County (Central)--San Gabriel Valley Region (North),42506,1 
06,0603710,CA,"Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",53348,1 
06,0603711,CA,"Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities P",59413,1 
06,0603712,CA,Los Angeles County (East Central)--Pomona City,43414,1 
06,0603713,CA,Los Angeles County (East Central)--Covina & Walnut Cities,36947,1 
06,0603714,CA,"Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights PUM",35730,1 
06,0603715,CA,Los Angeles County (East Central)--West Covina City,35701,1 
06,0603716,CA,Los Angeles County (East Central)--La Puente & Industry Cities,26336,1 
06,0603717,CA,"Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",67740,1 
06,0603718,CA,Los Angeles County (Central)--Pasadena City,61121,1 
06,0603719,CA,Los Angeles County (Central)--Glendale City,80193,1 
06,0603720,CA,Los Angeles County (Central)--Burbank City,53306,1 
06,0603721,CA,Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village),57793,1 
06,0603722,CA,Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks),63643,1 
06,0603723,CA,Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City) PUM,40788,1 
06,0603724,CA,Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana),64373,1 
06,0603725,CA,"Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",68736,1 
06,0603728,CA,Los Angeles County (Southwest)--Santa Monica City,60116,1 
06,0603730,CA,Los Angeles County (West Central)--LA City (Central/Hancock Park & Mid-Wilshire),80105,1 
06,0603731,CA,Los Angeles County (Central)--West Hollywood & Beverly Hills Cities,66882,1 
06,0603732,CA,Los Angeles County (Central)--LA City (East Central & Hollywood),88520,1 
06,0603733,CA,Los Angeles County (Central)--LA City (Central/Koreatown),51934,1 
06,0603734,CA,"Los Angeles County--LA City (East Central/Silver Lake, Echo Park & Westlake)",82065,1 
06,0603735,CA,"Los Angeles County--LA City (Mount Washington, Highland Park & Glassell Park)",65320,1 
06,0603736,CA,Los Angeles County (Central)--Alhambra & South Pasadena Cities,44974,1 
06,0603737,CA,Los Angeles County (Central)--Monterey Park & Rosemead Cities,40600,1 
06,0603738,CA,Los Angeles County (Central)--El Monte & South El Monte Cities,34507,1 
06,0603739,CA,Los Angeles County (Southeast)--Whittier City & Hacienda Heights,55923,1 
06,0603740,CA,Los Angeles County (Central)--Pico Rivera & Montebello Cities,38578,1 
06,0603741,CA,"Los Angeles County (Central)--Bell Gardens, Bell, Maywood, Cudahy & Commerce Cities P",35734,1 
06,0603742,CA,"Los Angeles County (Central)--Huntington Park City, Florence-Graham & Walnut Park PUM",33422,1 
06,0603743,CA,Los Angeles County (Central)--East Los Angeles,31685,1 
06,0603744,CA,Los Angeles County (Central)--LA City (East Central/Central City & Boyle Heights) PUM,78759,1 
06,0603745,CA,Los Angeles County (Central)--LA City (Southeast/East Vernon),29557,1 
06,0603746,CA,Los Angeles County--LA City (Central/Univ. of Southern California & Exposition Park),35811,1 
06,0603747,CA,Los Angeles County (Central)--LA City (Central/West Adams & Baldwin Hills),64754,1 
06,0603748,CA,Los Angeles County--LA (Southwest/Marina del Rey & Westchester) & Culver City Cities,93362,1 
06,0603750,CA,Los Angeles County (South Central)--LA City (South Central/Westmont),54125,1 
06,0603751,CA,Los Angeles County (South Central)--LA City (South Central/Watts),39783,1 
06,0603752,CA,Los Angeles County (South)--South Gate & Lynwood Cities,42569,1 
06,0603753,CA,Los Angeles County (South)--Downey City,35679,1 
06,0603754,CA,Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities,41264,1 
06,0603757,CA,Los Angeles County (South Central)--Compton City & West Rancho Dominquez,40941,1 
06,0603758,CA,"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens",53905,1 
06,0603759,CA,Los Angeles County (South Central)--Hawthorne City,39552,1 
06,0603760,CA,"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities",63531,1 
06,0603761,CA,Los Angeles County (South Central)--Torrance City,50106,1 
06,0603762,CA,Los Angeles County (South Central)--Carson City,36024,1 
06,0603763,CA,Los Angeles County (South Central)--Long Beach City (North),47001,1 
06,0603764,CA,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUM",52886,1 
06,0603766,CA,Los Angeles County (South)--Long Beach City (Southwest & Port),38578,1 
06,0603767,CA,Los Angeles County (South)--LA City (South/San Pedro),63449,1 
06,0603768,CA,Los Angeles County (Southwest)--Palos Verdes Peninsula,46312,1 
06,0603770,CA,"Los Angeles County (West Central)--LA City (West Los Angeles, Century City & Palms) P",49649,1 
06,0603771,CA,Los Angeles County (Northwest)--Santa Clarita City (South),37753,1 
06,0603772,CA,Los Angeles County (North/Unincorporated)--Castaic,34113,1 
06,0603773,CA,Los Angeles County (Northwest)--Santa Clarita City (North),43383,1 
06,0603774,CA,"Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",62017,1 
06,0603775,CA,Los Angeles County (Central)--LA City (Central),57144,1 
06,0603776,CA,Los Angeles County (West Central)--LA City (Central/Westwood & West Los Angeles),47599,1 
06,0603778,CA,Los Angeles County (Central)--Inglewood City,40521,1 
06,0603779,CA,Los Angeles County (Southeast)--Long Beach City (East),51742,1 
06,0603780,CA,Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities,47503,1 
06,0603781,CA,Los Angeles County (Southeast)--Norwalk City,29011,1 
06,0603782,CA,Los Angeles County (Southeast)--Bellflower & Paramount Cities,40081,1 
06,0603900,CA,Madera County--Madera City,49572,1 
06,0604103,CA,Marin County (North & West)--Novato & San Rafael (North) Cities,44113,1 
06,0604104,CA,"Marin County (Southeast)--San Rafael (South), Mill Valley & Sausalito Cities",67451,1 
06,0604701,CA,Merced County (West & South)--Los Banos & Livingston Cities,35015,1 
06,0604702,CA,Merced County (Northeast)--Merced & Atwater Cities,52768,1 
06,0605301,CA,"Monterey County (North Central)--Seaside, Monterey, Marina & Pacific Grove Cities PUM",75789,1 
06,0605302,CA,Monterey County (Northeast)--Salinas City,48647,1 
06,0605303,CA,Monterey (South & East) & San Benito Counties,39560,1 
06,0605500,CA,"Napa County--Napa, American Canyon & St. Helena Cities",55448,1 
06,0605700,CA,Nevada & Sierra Counties,55754,1 
06,0605906,CA,"Orange County (North)--Yorba Linda, La Habra & Brea Cities",66905,1 
06,0605907,CA,Orange County (North Central)--Fullerton & Placentia Cities,68440,1 
06,0605908,CA,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities",66484,1 
06,0605909,CA,Orange County (North Central)--Anaheim City (West),44821,1 
06,0605912,CA,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities",52898,1 
06,0605913,CA,Orange County (Northwest)--Garden Grove City (East),44035,1 
06,0605914,CA,Orange County (Northwest)--Huntington Beach City,81685,1 
06,0605916,CA,Orange County (Central)--Santa Ana City (West),35743,1 
06,0605917,CA,Orange County (Central)--Santa Ana City (East),40708,1 
06,0605918,CA,Orange County (Central)--Costa Mesa & Fountain Valley Cities,70498,1 
06,0605919,CA,Orange County (North Central)--Anaheim City (East),63194,1 
06,0605920,CA,Orange County (Central)--Orange & Villa Park Cities,49336,1 
06,0605921,CA,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado",49146,1 
06,0605922,CA,Orange County (Central)--Irvine (Northwest) & Tustin Cities,50707,1 
06,0605923,CA,Orange County (Central)--Irvine City (Central),53751,1 
06,0605924,CA,Orange County (Central)--Irvine City (South),40383,1 
06,0605925,CA,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Woods Cities",89752,1 
06,0605926,CA,Orange County (South Central)--Mission Viejo and Laguna Hills Cities,43916,1 
06,0605927,CA,Orange County (Southeast)--Rancho Santa Margarita City & Ladera Ranch,39087,1 
06,0605928,CA,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities P",78296,1 
06,0606101,CA,Placer County (Southwest)--Roseville City,59652,1 
06,0606102,CA,"Placer County (Central)--Rocklin, Lincoln Cities & Loomis Town",50369,1 
06,0606103,CA,Placer County (East/High Country Region)--Auburn & Colfax Cities,62335,1 
06,0606501,CA,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities",66080,1 
06,0606502,CA,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities",84406,1 
06,0606507,CA,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PU",59955,1 
06,0606509,CA,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley",36346,1 
06,0606511,CA,Riverside County (Northwest)--Riverside City (West),52712,1 
06,0606514,CA,Riverside County (Northwest)--Jurupa Valley & Eastvale Cities,46867,1 
06,0606515,CA,"Riverside County (Central)--Palm Desert, La Quinta (West) & Desert Hot Springs Cities",90369,1 
06,0606516,CA,Riverside County (Southwest)--Lake Elsinore & Canyon Lake Cities,33604,1 
06,0606517,CA,Riverside County (Southwest)--Menifee City,40444,1 
06,0606518,CA,Riverside County (Northwest)--Moreno Valley City (North),30237,1 
06,0606519,CA,Riverside County (Northwest)--Moreno Valley City (South),27169,1 
06,0606520,CA,Riverside County (Northwest)--Riverside City (East),49738,1 
06,0606521,CA,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens",31582,1 
06,0606522,CA,Riverside County (West Central)--Corona (Northwest) & Norco Cities,42816,1 
06,0606523,CA,Riverside County (Southwest)--Temecula City,47726,1 
06,0606524,CA,Riverside County (Southwest)--Murrieta & Wildomar Cities,59376,1 
06,0606525,CA,Riverside County (Southwest)--Hemet City & East Hemet,49122,1 
06,0606701,CA,Sacramento County (North Central)--Citrus Heights City,45714,1 
06,0606703,CA,"Sacramento County (North Central)--Arden-Arcade, Carmichael & Fair Oaks (West)",50080,1 
06,0606704,CA,"Sacramento County (North Central)--North Highlands, Foothill Farms & McClellan Park P",52525,1 
06,0606705,CA,Sacramento County (Northwest)--Sacramento City (Northwest/Natomas),45801,1 
06,0606706,CA,"Sacramento County (North)--Sacramento City (North), Antelope & Rio Linda",39260,1 
06,0606707,CA,Sacramento County (West)--Sacramento City (Central/Downtown & Midtown),63979,1 
06,0606709,CA,"Sacramento County--Sacramento City (Southwest/Pocket, Meadowview & North Laguna)",51716,1 
06,0606712,CA,"Sacramento County (Northeast)--Folsom City, Orangevale & Fair Oaks (East)",45113,1 
06,0606713,CA,Sacramento County (Central)--Rancho Cordova City,41194,1 
06,0606714,CA,"Sacramento County--Sacramento City (Southeast/Fruitridge, Avondale & Depot Park)",49648,1 
06,0606715,CA,Sacramento County (Central)--Elk Grove City (West),34279,1 
06,0606716,CA,Sacramento County (Central)--Elk Grove City (East),33066,1 
06,0606717,CA,"Sacramento County--Galt, Isleton Cities, Delta Region & Rural",35176,1 
06,0607101,CA,San Bernardino County (Northeast)--Twentynine Palms & Barstow Cities,64590,1 
06,0607102,CA,San Bernardino County (West Central)--Victorville & Adelanto Cities,54767,1 
06,0607103,CA,San Bernardino County (West Central)--Hesperia City & Apple Valley Town,60200,1 
06,0607104,CA,"San Bernardino County (Southwest)--Phelan, Lake Arrowhead & Big Bear City",73978,1 
06,0607105,CA,San Bernardino County (Southwest)--Redlands & Yucaipa Cities,54939,1 
06,0607107,CA,San Bernardino County (Southwest)--San Bernardino City (East),33882,1 
06,0607108,CA,San Bernardino County (Southwest)--San Bernardino City (West),51270,1 
06,0607110,CA,San Bernardino County (Southwest)--Fontana City (East),29910,1 
06,0607111,CA,San Bernardino County (Southwest)--Rancho Cucamonga City,60130,1 
06,0607112,CA,San Bernardino County (Southwest)--Upland & Montclair Cities,42508,1 
06,0607115,CA,San Bernardino County (Southwest)--Fontana City (West),31539,1 
06,0607116,CA,"San Bernardino County (Southwest)--Colton, Loma Linda & Grand Terrace Cities",36623,1 
06,0607117,CA,San Bernardino County (Southwest)--Rialto City,29446,1 
06,0607118,CA,San Bernardino County (Southwest)--Ontario City,55011,1 
06,0607119,CA,San Bernardino County (Southwest)--Chino & Chino Hills Cities,53106,1 
06,0607301,CA,San Diego County (Northwest)--Oceanside City & Camp Pendleton,68478,1 
06,0607302,CA,"San Diego County (North & East)--Fallbrook, Alpine & Valley Center",49852,1 
06,0607306,CA,San Diego County (Northwest)--Escondido City (East),46222,1 
06,0607307,CA,"San Diego County (Central)--Lakeside, Winter Gardens & Ramona",40230,1 
06,0607308,CA,San Diego County (Central)--San Diego (Northeast/Rancho Bernardo) & Poway Cities,48880,1 
06,0607310,CA,San Diego County (West)--San Diego City (Southwest/Central Coastal),82199,1 
06,0607311,CA,San Diego County (West Central)--San Diego City (Northwest/Del Mar Mesa),44350,1 
06,0607312,CA,San Diego County (Central)--San Diego City (Central/Mira Mesa & University Heights) P,45081,1 
06,0607313,CA,San Diego County (Central)--El Cajon & Santee Cities,66703,1 
06,0607314,CA,San Diego County (Central)--San Diego (East Central/Navajo) & La Mesa Cities,66275,1 
06,0607315,CA,San Diego County (West Central)--San Diego City (Central/Clairemont & Kearny Mesa) PU,69070,1 
06,0607316,CA,San Diego County (South Central)--San Diego City (Central/Centre City & Balboa Park),95224,1 
06,0607317,CA,San Diego County (South Central)--San Diego City (Central/Mid-City),61328,1 
06,0607322,CA,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay),41331,1 
06,0607323,CA,San Diego County (Northwest)--Vista City,38914,1 
06,0607324,CA,San Diego County (Northwest)--Carlsbad City,54359,1 
06,0607325,CA,San Diego County (Northwest)--San Marcos & Escondido (West) Cities,44884,1 
06,0607326,CA,San Diego County (West)--San Diego (Northwest/San Dieguito) & Encinitas Cities,68160,1 
06,0607327,CA,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline),42420,1 
06,0607328,CA,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley",43835,1 
06,0607329,CA,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East),52118,1 
06,0607330,CA,San Diego County (Southwest)--Chula Vista (West) & National City Cities,58592,1 
06,0607507,CA,San Francisco County (South Central)--Bayview & Hunters Point,34560,1 
06,0607508,CA,"San Francisco County (Northwest)--Richmond, Western Addition & Presidio",45236,1 
06,0607509,CA,"San Francisco County (Northeast)--Chinatown, North Beach & Russian Hill",70103,1 
06,0607510,CA,San Francisco County (Southeast)--South of Market & Mission,55624,1 
06,0607511,CA,San Francisco County (Southwest)--Central & Bernal Heights,63983,1 
06,0607512,CA,San Francisco County (Southwest)--Outer Sunset & Inner Sunset,40165,1 
06,0607513,CA,San Francisco County (Southwest)--Ingleside & South Central,37696,1 
06,0607514,CA,San Francisco County (Northwest)--Western Addition & Marina,59261,1 
06,0607705,CA,San Joaquin County (Central)--Stockton City (North),65127,1 
06,0607706,CA,San Joaquin County (Central)--Stockton City (South),52213,1 
06,0607707,CA,San Joaquin County (West)--Tracy City,38303,1 
06,0607708,CA,"San Joaquin County (East)--Lodi, Ripon & Escalon Cities",57485,1 
06,0607709,CA,San Joaquin County (South)--Lathrop & Manteca Cities,38325,1 
06,0607901,CA,San Luis Obispo County (West)--Coastal Region,77745,1 
