geography_id,geography_desc,geography_desc_full,total_units,"Calculated percentage of units for broadband serviceable locations contained within the geography for which providers report residential fixed broadband service with Copper, Cable, Fiber to the Premises, or Licensed Fixed Wireless technology and speeds of at least 25 / 3 Mbps."
48459,Upshur County,"Upshur County, TX",22594,0.79280001
41027,Hood River County,"Hood River County, OR",12352,0.79299998
45005,Allendale County,"Allendale County, SC",5542,0.79299998
21155,Marion County,"Marion County, KY",10742,0.7931
45009,Bamberg County,"Bamberg County, SC",10367,0.7931
48043,Brewster County,"Brewster County, TX",7504,0.79320002
20133,Neosho County,"Neosho County, KS",9459,0.79400003
24023,Garrett County,"Garrett County, MD",22012,0.79400003
51005,Alleghany County,"Alleghany County, VA",10005,0.79430002
20125,Montgomery County,"Montgomery County, KS",19047,0.79470003
54033,Harrison County,"Harrison County, WV",38005,0.79479998
8113,San Miguel County,"San Miguel County, CO",7506,0.79509997
31185,York County,"York County, NE",8513,0.79509997
18103,Miami County,"Miami County, IN",17951,0.79540002
46033,Custer County,"Custer County, SD",6753,0.7956
8043,Fremont County,"Fremont County, CO",23143,0.79570001
48385,Real County,"Real County, TX",3733,0.79610002
12003,Baker County,"Baker County, FL",11577,0.79659998
37029,Camden County,"Camden County, NC",4852,0.79680002
29167,Polk County,"Polk County, MO",15863,0.79729998
47117,Marshall County,"Marshall County, TN",16931,0.79759997
21065,Estill County,"Estill County, KY",8523,0.79769999
48423,Smith County,"Smith County, TX",120654,0.79769999
21209,Scott County,"Scott County, KY",25993,0.79790002
31135,Perkins County,"Perkins County, NE",2048,0.79790002
40117,Pawnee County,"Pawnee County, OK",9537,0.7985
8027,Custer County,"Custer County, CO",5033,0.79909998
5057,Hempstead County,"Hempstead County, AR",12647,0.79930001
46093,Meade County,"Meade County, SD",15783,0.79949999
31121,Merrick County,"Merrick County, NE",4920,0.79960001
29159,Pettis County,"Pettis County, MO",21842,0.79979998
29121,Macon County,"Macon County, MO",9838,0.7999
19039,Clarke County,"Clarke County, IA",5902,0.80010003
40025,Cimarron County,"Cimarron County, OK",2090,0.80049998
28039,George County,"George County, MS",12797,0.80070001
8049,Grand County,"Grand County, CO",19426,0.801
42063,Indiana County,"Indiana County, PA",44141,0.801
56003,Big Horn County,"Big Horn County, WY",6395,0.80140001
45023,Chester County,"Chester County, SC",18174,0.8017
72095,Maunabo Municipio,"Maunabo Municipio, PR",5970,0.8017
54057,Mineral County,"Mineral County, WV",15144,0.80180001
20115,Marion County,"Marion County, KS",7639,0.80190003
13071,Colquitt County,"Colquitt County, GA",23170,0.80199999
20143,Ottawa County,"Ottawa County, KS",3791,0.80220002
42111,Somerset County,"Somerset County, PA",50669,0.80269998
31029,Chase County,"Chase County, NE",2752,0.80309999
39135,Preble County,"Preble County, OH",21100,0.80309999
40049,Garvin County,"Garvin County, OK",16041,0.80330002
21233,Webster County,"Webster County, KY",7960,0.80379999
48049,Brown County,"Brown County, TX",24544,0.8039
54079,Putnam County,"Putnam County, WV",29206,0.8039
1003,Baldwin County,"Baldwin County, AL",141884,0.80409998
37141,Pender County,"Pender County, NC",36705,0.80430001
46117,Stanley County,"Stanley County, SD",1921,0.80430001
12123,Taylor County,"Taylor County, FL",13857,0.80440003
41001,Baker County,"Baker County, OR",10534,0.80440003
6069,San Benito County,"San Benito County, CA",24420,0.80449998
21051,Clay County,"Clay County, KY",10554,0.8046
46047,Fall River County,"Fall River County, SD",5813,0.8046
48335,Mitchell County,"Mitchell County, TX",5103,0.8046
5067,Jackson County,"Jackson County, AR",9215,0.80470002
12129,Wakulla County,"Wakulla County, FL",16430,0.80470002
