State FIPS,State Name,Census Block Group,High Cost Block Group
6,California,060830019051,High Cost
6,California,060830029321,High Cost
6,California,060830031021,High Cost
6,California,060839801001,High Cost
6,California,060855135001,High Cost
6,California,060890126031,High Cost
6,California,060890126034,High Cost
6,California,060890126041,High Cost
6,California,060890126051,High Cost
6,California,060890126061,High Cost
6,California,060910100003,High Cost
6,California,060910100004,High Cost
6,California,060971540001,High Cost
6,California,060971540002,High Cost
6,California,060971541004,High Cost
6,California,060971543041,High Cost
6,California,061050001012,High Cost
6,California,061050001013,High Cost
6,California,061050002001,High Cost
6,California,061050005001,High Cost
6,California,061050005002,High Cost
6,California,061070027012,High Cost
6,California,061090042013,High Cost
6,California,061090042014,High Cost
6,California,061090052012,High Cost
6,California,061099852021,High Cost
8,Colorado,080190147021,High Cost
8,Colorado,080299648003,High Cost
8,Colorado,080330001003,High Cost
8,Colorado,080370003021,High Cost
8,Colorado,080410046022,High Cost
8,Colorado,080439790012,High Cost
8,Colorado,080439790013,High Cost
8,Colorado,080439794002,High Cost
8,Colorado,080439803001,High Cost
8,Colorado,080490001001,High Cost
8,Colorado,080519639001,High Cost
8,Colorado,080590120584,High Cost
8,Colorado,080690024031,High Cost
8,Colorado,080690024032,High Cost
8,Colorado,080690025033,High Cost
8,Colorado,080710001001,High Cost
8,Colorado,080710003001,High Cost
8,Colorado,080710003002,High Cost
8,Colorado,080710008002,High Cost
8,Colorado,080770019002,High Cost
8,Colorado,080810006002,High Cost
8,Colorado,080930004002,High Cost
8,Colorado,081039511001,High Cost
8,Colorado,081039511002,High Cost
8,Colorado,081190102031,High Cost
9,Connecticut,090010101013,High Cost
12,Florida,120090699051,High Cost
12,Florida,120099801001,High Cost
12,Florida,120119800001,High Cost
12,Florida,120130102002,High Cost
12,Florida,120430002012,High Cost
12,Florida,120510006011,High Cost
12,Florida,120579802001,High Cost
12,Florida,120779800001,High Cost
12,Florida,120791104002,High Cost
12,Florida,120839800001,High Cost
12,Florida,120879800001,High Cost
12,Florida,120910203062,High Cost
12,Florida,120970438022,High Cost
12,Florida,120999804001,High Cost
12,Florida,121199800001,High Cost
13,Georgia,130179602001,High Cost
13,Georgia,132999501001,High Cost
15,Hawaii,150010211011,High Cost
15,Hawaii,150030089311,High Cost
15,Hawaii,150039806001,High Cost
16,Idaho,160099501004,High Cost
16,Idaho,160119503001,High Cost
16,Idaho,160219702001,High Cost
16,Idaho,160259701001,High Cost
16,Idaho,160359701001,High Cost
16,Idaho,160359701002,High Cost
16,Idaho,160499400005,High Cost
16,Idaho,160499601001,High Cost
16,Idaho,160499601002,High Cost
16,Idaho,160499602024,High Cost
16,Idaho,160499603002,High Cost
16,Idaho,160570055002,High Cost
16,Idaho,160619400022,High Cost
16,Idaho,160619503001,High Cost
16,Idaho,160699607001,High Cost
16,Idaho,160739502001,High Cost
16,Idaho,160739502003,High Cost
16,Idaho,160739502004,High Cost
16,Idaho,160799602006,High Cost
16,Idaho,160859701002,High Cost
16,Idaho,160859701005,High Cost
16,Idaho,160859702001,High Cost
16,Idaho,160859703021,High Cost
16,Idaho,160879703001,High Cost
17,Illinois,170230601005,High Cost
17,Illinois,171018808003,High Cost
17,Illinois,171030001003,High Cost
17,Illinois,171239613001,High Cost
17,Illinois,171599779003,High Cost
17,Illinois,171979800001,High Cost
18,Indiana,180731012001,High Cost
18,Indiana,181279800021,High Cost
20,Kansas,201211001003,High Cost
20,Kansas,202050971001,High Cost
20,Kansas,202050972001,High Cost
20,Kansas,202050972002,High Cost
21,Kentucky,210472011003,High Cost
21,Kentucky,210619801001,High Cost
21,Kentucky,211439801001,High Cost
21,Kentucky,212219801001,High Cost
22,Louisiana,220119606003,High Cost
22,Louisiana,220150110023,High Cost
22,Louisiana,220250001001,High Cost
22,Louisiana,220250001003,High Cost
22,Louisiana,220279502022,High Cost
22,Louisiana,220290005001,High Cost
22,Louisiana,220350002001,High Cost
22,Louisiana,220350002002,High Cost
22,Louisiana,220419504001,High Cost
22,Louisiana,220430201001,High Cost
22,Louisiana,220659601001,High Cost
22,Louisiana,220659602001,High Cost
22,Louisiana,220690008001,High Cost
22,Louisiana,220690009021,High Cost
22,Louisiana,220819601002,High Cost
22,Louisiana,220850004002,High Cost
22,Louisiana,221070002001,High Cost
22,Louisiana,221070002002,High Cost
22,Louisiana,221230003002,High Cost
22,Louisiana,221259517031,High Cost
22,Louisiana,221279601001,High Cost
23,Maine,230079706022,High Cost
23,Maine,230190255002,High Cost
23,Maine,230239702004,High Cost
23,Maine,230259653024,High Cost
24,Maryland,240479800001,High Cost
25,Massachusetts,250219800001,High Cost
25,Massachusetts,250259801011,High Cost
26,Michigan,260339803001,High Cost
26,Michigan,260539507001,High Cost
26,Michigan,260539508001,High Cost
26,Michigan,260710002001,High Cost
26,Michigan,260839801001,High Cost
26,Michigan,260959602001,High Cost
26,Michigan,260992473014,High Cost
26,Michigan,261030026003,High Cost
26,Michigan,261099601001,High Cost
26,Michigan,261259810001,High Cost
26,Michigan,261476430002,High Cost
27,Minnesota,270017704022,High Cost
27,Minnesota,270017905011,High Cost
27,Minnesota,270717905002,High Cost
27,Minnesota,271370112004,High Cost
27,Minnesota,271370113002,High Cost
28,Mississippi,280119501003,High Cost
28,Mississippi,280119504001,High Cost
28,Mississippi,280279502002,High Cost
28,Mississippi,280539501001,High Cost
28,Mississippi,280559501002,High Cost
28,Mississippi,280839501001,High Cost
28,Mississippi,280839501002,High Cost
28,Mississippi,281039501005,High Cost
28,Mississippi,281039502003,High Cost
28,Mississippi,281199501002,High Cost
28,Mississippi,281259501001,High Cost
28,Mississippi,281510001001,High Cost
28,Mississippi,281639501004,High Cost
28,Mississippi,281639504002,High Cost
29,Missouri,290079502001,High Cost
29,Missouri,290119602002,High Cost
29,Missouri,290130701002,High Cost
29,Missouri,290154602001,High Cost
29,Missouri,290154608011,High Cost
29,Missouri,290179503002,High Cost
29,Missouri,290359602003,High Cost
29,Missouri,290430205023,High Cost
29,Missouri,290574802001,High Cost
29,Missouri,290574802002,High Cost
29,Missouri,290574802003,High Cost
29,Missouri,290659601004,High Cost
29,Missouri,290659602003,High Cost
29,Missouri,290679501001,High Cost
29,Missouri,290679501002,High Cost
29,Missouri,290679501003,High Cost
29,Missouri,290679502002,High Cost
29,Missouri,290854701001,High Cost
29,Missouri,290939501001,High Cost
29,Missouri,291059602023,High Cost
29,Missouri,291239601002,High Cost
29,Missouri,291239601004,High Cost
29,Missouri,291379601004,High Cost
29,Missouri,291379602001,High Cost
29,Missouri,291399701002,High Cost
29,Missouri,291399702001,High Cost
29,Missouri,291494801002,High Cost
29,Missouri,291494801004,High Cost
29,Missouri,291494803002,High Cost
29,Missouri,291494803003,High Cost
29,Missouri,291534701021,High Cost
29,Missouri,291534702001,High Cost
29,Missouri,291534702002,High Cost
29,Missouri,291534702003,High Cost
29,Missouri,291594804002,High Cost
29,Missouri,291793801001,High Cost
29,Missouri,291818702001,High Cost
29,Missouri,291854801001,High Cost
29,Missouri,291854803003,High Cost
29,Missouri,292034701001,High Cost
29,Missouri,292034701002,High Cost
29,Missouri,292034701003,High Cost
29,Missouri,292034702001,High Cost
29,Missouri,292154802011,High Cost
29,Missouri,292154802013,High Cost
29,Missouri,292154804011,High Cost
29,Missouri,292214605001,High Cost
29,Missouri,292236901002,High Cost
29,Missouri,292236901003,High Cost
29,Missouri,292236902003,High Cost
29,Missouri,292236904002,High Cost
29,Missouri,292294901001,High Cost
29,Missouri,292294901004,High Cost
30,Montana,300030001004,High Cost
30,Montana,300039405002,High Cost
30,Montana,300090001001,High Cost
30,Montana,300230005001,High Cost
30,Montana,300290001012,High Cost
30,Montana,300290017032,High Cost
30,Montana,300359404001,High Cost
30,Montana,300359404004,High Cost
30,Montana,300359800001,High Cost
30,Montana,300439623001,High Cost
30,Montana,300490003001,High Cost
30,Montana,300530001001,High Cost
