metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
11694,66,0,0,0,0,0,0,0,0,0,12544,0,0,12544,12544,0,41692,112
11694,67,0,0,1,1,0,0,961,0,0,961,0,0,0,961,0,12820,31
11694,70,0,0,1,1,0,0,12100,0,0,12100,0,0,0,0,0,25015,110
11694,71,0,0,0,0,4489,0,0,0,0,4489,0,0,4489,4489,0,12508,67
11694,74,0,0,0,1,0,0,0,0,0,5476,0,0,0,0,0,21367,74
11694,75,0,0,0,0,0,0,0,0,0,22500,0,0,0,22500,0,11778,150
11694,80,0,0,0,0,0,0,0,0,0,5476,0,5476,5476,5476,0,14488,74
11694,81,1,0,1,1,0,0,0,0,0,30976,0,0,0,30976,0,33354,176
11694,82,0,0,0,0,0,0,0,0,0,5041,0,0,5041,0,0,11882,71
11694,82,0,0,0,0,0,0,0,0,0,249001,0,0,0,0,0,64623,499
11694,85,0,0,0,1,0,0,0,0,0,9025,0,9025,9025,9025,0,12195,95
11694,87,0,0,0,0,0,0,0,0,0,4900,0,0,0,4900,0,20846,70
11694,89,0,0,0,0,0,0,0,0,0,26569,0,0,26569,0,0,12508,163
11694,91,0,0,0,0,0,0,0,0,0,11236,0,0,0,0,0,20846,106
11694,91,0,0,0,1,0,0,0,0,0,6561,0,6561,6561,6561,0,16364,81
11694,91,0,0,1,1,0,0,0,0,0,12996,0,12996,0,0,0,41692,114
11694,91,0,0,1,1,0,0,2401,0,0,0,0,0,0,0,0,31269,49
11694,91,0,1,1,1,0,0,0,0,0,19881,0,0,0,19881,0,17719,141
11694,93,0,0,0,0,0,0,55696,0,0,0,0,0,0,55696,0,22305,236
11694,94,1,0,1,1,0,0,0,0,0,3969,0,0,3969,3969,0,18657,63
11694,95,0,0,0,0,0,0,0,0,0,1296,0,0,1296,0,0,13759,36
11694,96,0,0,0,0,0,0,0,0,0,13456,0,0,13456,13456,0,17719,116
11694,99,0,0,0,0,0,0,0,0,0,18496,0,0,0,0,0,35439,136
11694,100,0,0,1,1,0,0,0,0,0,15376,0,0,15376,15376,0,31478,124
11694,101,0,0,0,0,0,0,89401,0,0,89401,89401,0,0,0,0,35439,299
11694,103,0,0,0,0,0,0,0,0,0,5929,0,5929,5929,0,0,15009,77
11694,103,0,0,0,0,0,0,0,0,0,16384,0,0,0,16384,0,15635,128
11694,103,0,0,0,0,0,0,0,0,0,29584,0,0,29584,29584,0,15009,172
11694,103,0,0,1,0,0,0,0,0,0,3481,0,0,3481,3481,0,18970,59
11694,104,0,0,0,0,0,0,0,0,0,4225,0,4225,4225,0,0,18762,65
11694,107,0,0,1,1,2704,0,0,0,0,2704,2704,0,0,2704,0,25015,52
11694,109,0,0,1,1,0,0,0,0,0,2704,0,0,0,2704,0,20846,52
11694,111,1,1,1,1,0,0,0,0,0,60025,0,0,0,60025,0,17302,245
11694,113,0,0,1,1,0,0,0,0,0,191844,0,0,0,0,0,26058,438
11694,115,0,0,0,0,0,0,0,0,0,2601,0,0,2601,0,0,27309,51
11694,115,0,0,0,0,0,0,0,0,0,9409,0,0,9409,0,0,15635,97
11694,116,0,0,1,0,0,2401,0,0,0,2401,2401,2401,2401,2401,0,16885,49
11694,117,0,0,0,0,0,0,0,0,0,11236,0,11236,11236,11236,0,17302,106
11694,118,0,0,0,1,0,0,0,0,0,484,0,0,0,484,0,17511,22
11694,119,0,0,1,0,0,0,0,0,0,367236,0,0,0,367236,367236,36481,606
11694,120,0,0,0,0,0,0,0,0,0,3844,0,0,0,3844,0,18762,62
11694,120,0,0,1,0,0,0,0,0,0,44521,44521,0,0,0,0,59182,211
11694,123,0,0,0,0,0,4761,0,0,0,4761,0,4761,4761,4761,4761,25015,69
11694,123,0,0,1,1,0,0,0,0,0,2304,0,0,2304,0,0,17969,48
11694,125,0,0,0,0,0,0,0,0,0,5625,0,0,5625,0,0,18136,75
11694,125,0,0,1,1,0,0,5776,0,0,5776,0,0,5776,5776,0,38044,76
11694,126,0,0,0,0,0,0,0,0,0,9216,0,9216,9216,9216,0,17719,96
11694,126,0,0,0,0,0,0,0,0,0,36100,0,36100,0,36100,0,19804,190
11694,128,0,1,1,1,0,0,0,0,0,69169,0,0,69169,69169,0,21993,263
11694,129,1,0,1,0,0,0,19600,0,0,19600,0,0,0,19600,0,64832,140
11694,130,0,0,0,0,0,0,0,0,0,9604,0,9604,9604,9604,0,104544,98
11694,132,0,0,1,0,0,0,0,0,0,3481,0,0,0,3481,0,52116,59
11694,132,0,0,1,1,2500,0,0,0,0,2500,0,2500,2500,2500,0,22827,50
11694,134,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,52116,70
11694,134,0,0,0,0,0,0,0,0,0,59049,0,0,0,0,0,50031,243
11694,135,0,0,0,0,0,0,0,0,0,6889,0,0,0,6889,0,20846,83
11694,136,0,0,0,0,0,0,0,0,0,6084,0,0,0,6084,0,95059,78
11694,136,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,167708,113
11694,137,0,0,1,1,0,0,40401,0,0,0,0,0,0,0,0,41692,201
11694,139,0,0,0,0,0,0,0,0,0,15376,0,0,0,0,0,20742,124
11694,139,0,0,1,1,0,0,0,0,0,5184,0,0,0,0,0,77861,72
11694,140,0,0,0,0,0,0,0,0,0,4900,0,0,0,0,0,74004,70
11694,141,0,0,0,0,0,0,0,0,0,5776,0,0,5776,0,0,20012,76
11694,143,0,0,1,0,0,0,0,0,0,6241,0,0,0,0,0,29185,79
11694,145,0,0,1,0,0,0,0,0,0,20449,0,0,0,20449,0,53887,143
11694,146,0,0,0,0,0,0,0,0,0,361,0,0,0,0,0,44298,19
11694,146,0,0,1,0,0,0,0,0,0,5776,0,5776,5776,0,0,20846,76
11694,147,0,0,0,0,0,0,30276,0,0,0,0,0,0,0,0,22931,174
11694,149,0,0,1,0,0,0,0,0,0,3249,0,0,3249,0,0,21680,57
11694,150,0,0,0,0,0,0,14884,0,0,0,0,14884,14884,14884,0,26714,122
11694,150,0,0,1,1,0,6400,6400,0,0,6400,0,0,0,0,0,45757,80
11694,151,0,0,0,0,0,0,0,0,0,3481,0,0,3481,0,0,48676,59
