County,Total Population,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Hispanic,Median Age,Median Household Income,Less than 9th grade,High school graduate,GED or alternative credential,Bachelor's degree,Master's degree,Doctorate degree,Under 50% of poverty level,50% to 99% of poverty level,Total housing units,Owner occupied,Renter occupied,Households with one more more people under 18,Computer with dial-up Internet subscription alone,Computer and Broadband Internet subscription,Computer and no Internet access,No computer,Internet Subscription,Any Broadband Internet subscription,"Cable, fiber optic, or DSL Internet subscription",No Internet access,"Less than $10,000 household income","Less than $10,000 household income with Broadband Internet subscription",$10K to $20K household income,$10K to $20K household income with Broadband Internet subscription,$20K to $35K household income,$20K to $35K household income with Broadband Internet subscription,$35K to $50K household income,$35K to $50K household income with Broadband Internet subscription,Born in the United States,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",Born abroad to American parent(s),Naturalized U.S. citizen,Not a U.S. citizen,"Speak English less than ""very well"" (Spanish)","Speak English less than ""very well"" (other than Spanish)",Total Over 25 Years Old,Total Over 5 Years Old,Total Households,2016 Total Households with Computer and have Internet Sub,2017 Total Households with Computer and have Internet Sub,2018 Total Households with Computer and have Internet Sub,2019 Total Households with Computer and have Internet Sub,2021 Total Households with Computer and have Internet Sub,2022 Total Households with Computer and have Internet Sub,Total ACP Subscribed Households as of 2023-12-01,rural,pop_density,ISPs Count,ISPs ACP Count,All ISPs,Served Percentage,High Cost,Tribal,ISP Desert,ACP Desert
19103,153360,121054,11355,287,9441,80,9082,30.6,72977,522,11984,2120,26707,12688,4484,15112,9535,61414,36319,25095,15151,130,54728,4290,2266,55062,54896,48924,3434,4218,3452,4572,3181,6990,5741,6541,5557,134996,200,1301,5858,11005,1736,6091,90653,145023,61414,50535,53359,54824,53969,53980,56143,4634,0,247.69,23,11,Pavlov Media -- ICS Advanced Technologies -- T-Mobile US -- Verizon -- Aureon Communications L.L.C. -- ImOn Communications LLC -- Metronet Holdings -- UPN -- Sharon Telephone Company -- Allstream Business US LLC -- WIN LLC -- TDS Telecom -- GigFire -- LTD Broadband -- Rise Broadband -- CenturyLink -- Nextlink -- West LIberty Telephone Company -- Windstream Buffalo Valley Inc. -- South Slope Cooperative Telephone Company CLEC -- Kalona Cooperative Telephone Company -- MCC_Georgia_LLC -- Wellman Cooperative Telephone Association,0.98269999,0,0,1,1
19105,20733,19264,472,43,132,0,472,43.4,68781,127,4867,918,2322,813,74,986,1232,8062,6494,1568,2226,15,6845,229,973,6919,6904,5427,1029,357,198,526,304,906,709,973,773,20413,0,126,101,93,40,46,14978,19634,8062,5833,6545,6043,6921,6979,7185,508,1,35.93,26,8,Southern Plains Cable LLC -- T-Mobile US -- Verizon -- Wyoming Mutual Telephone Company -- Aureon Communications L.L.C. -- Maquoketa Valley Electric Cooperative -- Cascade Communications -- Lost Nation-Elwood Telephone Company -- TDS Telecom -- Onslow Cooperative Telephone Association -- LTD Broadband -- GigFire -- Rise Broadband -- CenturyLink -- Martelle Communications Cooperative -- Comelec Internet Services -- Baldwin Nashville Telephone Company Inc. -- Olin Telephone Company -- Nextlink -- Windstream Buffalo Valley Inc. -- Center Junction Telephone Company -- Mechanicsville Telephone Company -- Cedar Communications LLC -- Springville Cooperative Telephone Association Inc. -- MCC_Georgia_LLC -- Bernard Telephone Company,0.96399999,0,0,1,1
19107,10026,9682,60,8,12,0,218,42.7,60016,57,2764,323,816,258,34,526,681,4085,3206,879,1081,27,3307,332,419,3364,3337,2079,620,143,75,451,310,575,340,500,432,9901,0,17,40,68,50,2,6987,9460,4085,0,0,0,0,0,0,349,1,17.35,14,6,MCG -- Farmers_&_Merchants_Mutual_Tel._Co. -- LISCOFIBER -- West LIberty Telephone Company -- MCC_Georgia_LLC -- Modern Cooperative Telephone Company -- TDS Telecom -- Nextlink -- T-Mobile US -- Wellman Cooperative Telephone Association -- Verizon -- North English Cooperative Telephone Company -- Rise Broadband -- Windstream Buffalo Valley Inc.,0.98290002,0,0,1,1
19109,14718,13841,124,18,84,6,561,45.1,62553,84,3205,404,1513,401,98,417,1097,6421,4739,1682,1510,14,5258,427,722,5330,5316,4110,887,180,100,649,254,719,525,964,843,14202,0,57,130,329,298,23,10439,13921,6421,0,0,0,0,0,0,314,1,15.24,21,8,Winnebago Cooperative Telecom Association -- Titonka Telephone Company -- T-Mobile US -- Verizon -- Communications 1 Network Inc. -- Lone Rock Cooperative Telephone Company -- TDS Telecom -- LTD Broadband -- GigFire -- Rise Broadband -- Fenton Coop Tel. Co. -- Northwest Communications Inc. -- Nextlink -- River Valley Telecommunications Coop -- Bevcomm -- Windstream Buffalo Valley Inc. -- WMTel -- MCC_Georgia_LLC -- Router12 Networks LLC -- Independent Networks -- Algona Municipal Utilities,0.9598,0,0,1,1
19111,33442,30954,956,61,143,13,1251,43.5,58094,171,7718,1323,3476,1032,215,1913,2179,14246,10783,3463,3775,28,11730,1134,1354,11918,11890,8735,1970,718,457,1475,880,2007,1462,2122,1702,32866,12,107,277,180,57,9,23857,31459,14246,9892,11810,11230,12132,11386,12244,2124,1,65.16,12,5,Farmers_&_Merchants_Mutual_Tel._Co. -- FullSpeed LLC -- MCC_Georgia_LLC -- LISCOFIBER -- Van Buren Telephone Co. Inc. -- TDS Telecom -- T-Mobile US -- Nextlink -- Verizon -- Danville Mutual Telephone Company -- Windstream Buffalo Valley Inc. -- CenturyLink,0.87,0,0,1,1
19113,229308,196168,13388,433,5324,406,8229,38.2,75457,535,35176,5738,36999,12544,3056,8623,12616,94291,69894,24397,27890,268,84712,4712,4599,85657,85365,72426,6135,2884,2035,5757,4136,10870,8650,10989,9918,216697,144,891,5622,5954,936,4556,155869,215616,94291,73169,77203,79565,82806,86977,88062,9693,0,318.76,28,11,Southern Plains Cable LLC -- ICS Advanced Technologies -- T-Mobile US -- Verizon -- Aureon Communications L.L.C. -- ImOn Communications LLC -- UPN -- East Buchanan Telephone Cooperative -- Maquoketa Valley Electric Cooperative -- Palo Cooperative Telephone Association -- TDS Telecom -- WIN LLC -- GigFire -- LTD Broadband -- Rise Broadband -- CenturyLink -- Atkins Telephone Company -- Martelle Communications Cooperative -- Comelec Internet Services -- NexGen Connected Communities -- Nextlink -- SHLB CATV BPLN CU -- Windstream Buffalo Valley Inc. -- South Slope Cooperative Telephone Company CLEC -- Mechanicsville Telephone Company -- Springville Cooperative Telephone Association Inc. -- MCC_Georgia_LLC -- Fusion,0.98229998,0,0,1,1
19115,10823,9014,75,46,220,0,1765,42.2,72500,89,2603,361,864,159,47,340,732,4112,3202,910,1295,21,3485,249,357,3525,3504,2173,479,131,80,280,146,476,306,473,411,9812,3,79,355,574,657,104,7582,10190,4112,0,0,0,0,0,0,345,1,27.11,12,5,Louisa Communications -- Farmers_&_Merchants_Mutual_Tel._Co. -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- Nextlink -- Muscatine Power & Water -- Verizon -- West LIberty Telephone Company -- MTC Technologies -- Windstream Buffalo Valley Inc. -- CenturyLink,0.78609997,0,0,1,1
19117,8666,8368,30,2,36,0,219,42.9,63405,104,2326,349,651,192,43,419,1003,3621,2888,733,1035,19,2778,361,463,2833,2814,1576,680,136,88,490,275,467,297,346,274,8419,0,11,126,110,56,191,6066,8150,3621,0,0,0,0,0,0,334,1,20.08,6,4,MCC_Georgia_LLC -- Grand River Mutual Telephone Corporation -- TDS Telecom -- Verizon -- Rise Broadband -- Windstream Buffalo Valley Inc.,0.67210001,0,0,1,1
19119,12023,11453,24,20,40,35,365,38.3,73735,147,2940,275,1174,184,84,138,321,4412,3700,712,1528,28,3801,234,349,3893,3865,3153,434,96,49,280,137,373,263,598,545,11789,0,35,77,122,83,20,7724,11175,4412,0,0,0,0,0,0,108,1,20.34,15,10,Community Internet Service -- Lismore Cooperative Telephone Company -- Alliance Communications Cooperative Inc. -- MCC_Georgia_LLC -- UFTC -- MVTV Wireless -- TDS Telecom -- T-Mobile US -- LTD Broadband -- GigFire -- Verizon -- FRONTIER -- Rise Broadband -- Premier Communications -- CenturyLink,0.98479998,0,0,1,1
19121,16609,15906,213,12,64,0,401,40.9,88110,89,3491,364,2186,579,95,464,543,6475,5337,1138,2101,13,5528,543,391,5543,5530,3809,816,82,44,263,142,750,423,644,459,16366,0,51,129,63,15,58,11322,15734,6475,0,0,0,0,0,0,318,1,29.26,13,6,OmniTel-Farmers Mutual -- BTWI -- Grand River Mutual Telephone Corporation -- MCC_Georgia_LLC -- TDS Telecom -- T-Mobile US -- Nextlink -- Coon Valley Co-op Telephone Association Inc. -- Verizon -- Aureon Communications L.L.C. -- Rise Broadband -- Windstream Buffalo Valley Inc. -- CenturyLink,0.82020003,0,0,1,1
