metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,HH Income,WGTP
40484,51,0,0,1,1,0,6724,0,0,0,0,0,0,0,0,6724,7817,82
40484,52,0,0,0,0,0,0,0,0,0,11881,0,0,11881,0,0,7609,109
40484,53,0,0,1,0,0,0,0,0,0,2704,0,0,2704,0,0,28455,52
40484,54,0,0,0,0,0,0,0,0,0,10000,0,0,10000,0,0,7609,100
40484,54,0,0,0,0,0,0,0,0,0,23104,0,0,23104,0,0,10423,152
40484,55,0,0,1,0,0,0,0,0,0,8649,0,0,0,0,0,8297,93
40484,55,0,1,0,1,0,0,0,0,0,53824,0,0,53824,53824,0,20325,232
40484,56,0,0,0,0,31329,0,0,0,0,31329,0,31329,31329,31329,0,9381,177
40484,59,0,0,1,0,0,0,0,0,0,53824,0,0,53824,53824,0,10944,232
40484,60,0,0,0,0,0,0,0,0,0,225,0,225,225,0,0,113091,15
40484,61,0,0,0,0,0,0,0,0,0,67081,0,0,0,67081,0,12195,259
40484,61,0,1,1,1,0,0,0,0,0,4761,0,0,0,0,0,9485,69
40484,63,0,0,0,0,0,0,0,0,0,20164,0,0,20164,0,0,11361,142
40484,63,0,0,1,0,0,0,0,0,0,4096,0,0,4096,0,0,12205,64
40484,65,0,0,0,0,0,0,0,0,0,5776,0,0,0,0,5776,9798,76
40484,66,0,0,0,0,0,0,0,0,0,7921,0,0,0,0,7921,10423,89
40484,66,0,0,0,0,0,3844,0,0,0,3844,0,0,0,0,0,48989,62
40484,66,0,1,1,1,0,0,0,0,0,24336,0,0,24336,24336,0,17719,156
40484,67,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,10006,20
40484,68,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,44298,36
40484,68,0,0,0,0,0,0,0,0,0,5625,0,0,5625,0,0,9589,75
40484,69,0,0,0,0,0,0,0,0,0,7225,0,0,0,0,0,10423,85
40484,69,1,1,1,1,0,0,0,0,0,15376,0,0,0,15376,0,10694,124
40484,70,0,1,1,1,0,1089,0,0,0,0,0,0,0,0,0,10736,33
40484,71,0,0,0,0,0,0,0,0,0,7744,0,0,7744,7744,0,11048,88
40484,71,0,0,1,1,0,0,0,0,0,11236,0,0,0,11236,0,16260,106
40484,73,0,0,0,0,0,0,0,0,0,8100,0,0,0,8100,0,11465,90
40484,73,0,0,1,1,0,0,0,0,0,77284,0,0,0,77284,0,11361,278
40484,74,1,0,1,0,0,0,0,0,0,8836,0,0,0,0,0,96935,94
40484,75,1,1,1,1,0,0,0,0,0,58564,0,0,0,58564,0,23660,242
40484,79,0,0,0,0,0,0,0,0,0,35344,0,0,35344,35344,0,11174,188
40484,79,1,0,1,1,0,0,0,0,0,40401,0,0,40401,40401,0,10976,201
40484,82,0,0,0,0,0,0,0,0,0,20449,0,0,0,20449,0,13029,143
40484,83,0,0,0,0,0,0,0,0,0,4624,0,4624,4624,4624,0,15322,68
40484,83,0,0,0,0,0,0,0,0,0,10816,0,10816,10816,10816,0,11778,104
40484,84,0,0,0,0,0,0,0,0,0,0,14400,0,14400,0,0,45132,120
40484,84,0,0,0,0,0,0,0,0,0,23104,0,0,0,0,0,13029,152
40484,84,0,0,0,0,0,0,0,0,0,57121,0,0,0,0,0,12508,239
40484,85,0,0,0,0,0,0,0,0,0,11664,0,0,11664,0,0,11570,108
40484,85,0,0,0,0,0,38416,0,0,0,0,0,0,0,0,38416,13237,196
40484,85,0,0,1,0,0,0,0,0,0,44100,0,0,44100,0,0,12716,210
40484,87,0,0,0,0,0,0,0,0,0,7569,0,0,7569,0,0,12508,87
40484,87,0,0,0,0,0,0,0,0,0,17424,0,0,17424,17424,0,17928,132
40484,88,0,0,1,0,0,0,0,0,0,361,0,361,361,0,0,15947,19
40484,90,0,0,1,1,0,0,0,0,0,12996,0,0,0,0,0,31790,114
40484,90,0,1,1,1,0,0,0,0,0,23716,0,0,23716,0,0,36168,154
40484,94,0,0,0,0,0,0,0,0,0,2601,0,2601,2601,0,0,13550,51
40484,95,0,0,0,0,0,0,0,0,0,113569,0,0,113569,0,113569,13133,337
40484,95,0,0,1,0,0,0,0,0,0,16129,0,0,16129,0,0,13029,127
40484,97,0,0,0,0,0,0,0,0,0,8464,0,0,8464,8464,0,14071,92
40484,98,0,0,0,0,0,0,0,0,0,4225,0,0,4225,0,0,13550,65
40484,98,0,0,0,1,0,0,0,0,0,24025,0,0,24025,0,0,13967,155
40484,98,0,0,1,0,0,0,0,0,0,14161,0,0,14161,14161,0,14280,119
40484,100,0,0,0,0,0,0,0,0,0,61009,0,0,61009,61009,0,13967,247
40484,102,0,0,1,0,0,0,0,0,0,51076,0,0,0,0,0,30227,226
40484,103,0,0,1,1,0,0,0,0,0,10201,0,0,0,10201,0,28299,101
